"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","townHallWeaponLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","wallWrecker","battleBlimp","electroDragon","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"139155","5219","#PVPYUJ0L9","Ares丶何大胆","109","174","0","#280PLRJP8","大明湖畔、","MDIGYhu3Kda1B7TNuGluqC-DyKGPwQlc13IfKAEZTcE","5242","2373","8","NULL","6","435","514","542","2019-01","139155","5219","2019-01","139155","5219","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","12","8","7","8","12","NULL","12","NULL","5","2","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","5","11","150","8","1699","1","506097135","541335781","5242","4","23633","2533","6527","2677","116","39812","4125","2769215","22","1102","491","514","101198331","87","1035","0","6","1","426","2373","2","1","44890"
"150027","5192","#8PURYPG0","Matze0103","92","196","1","#VY8R8LU","BL im Krieg","IuD30W8lcoKfT3JwrVAesVApTmgMTPaNCJakp5FaaR4","5234","1467","8","NULL","5","163","127","262","2019-01","150027","5192","2019-01","150027","5192","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","8","8","1","7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","NULL","11","NULL","8","2003","1","377789768","372000771","5234","4","16838","1363","4239","1754","704","7630","1977","1830183","22","743","319","127","20058483","46","339","1","5","1","219","1467","0","1","12930"
"151539","5188","#9JG2UC889","#snakehead","94","120","3","#28CCRPRQU","13 DEC 2K18","3BhL3JPqzF-UGhbY8ddbbBPbcrsPWSZ7jevXoRLzPqw","5201","1312","8","NULL","4","71","263","329","2019-01","151539","5188","2019-01","151539","5188","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","7","6","4","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","NULL","11","NULL","8","1218","1","237869115","249154242","5201","4","10582","1242","3385","1328","292","25398","1964","1229534","22","556","196","263","91843322","46","871","1","4","1","78","1312","0","1","5200"
"165003","5157","#Y9VL22RQP","⚡️JOHN WICK⚡️","128","148","3","#GUUPVU0V","Bang Hội","JMe3SPkziLGyLOd7WgIqVokwUa4BLvWlE-jI7WSj_00","5261","3461","8","NULL","8","1515","460","463","2018-11","106315","5261","2019-01","165003","5157","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","16","16","12","10","10","11","4","1","8","16","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","14","11","170","8","2286","1","468514013","484518838","5261","4","26850","2674","7876","2898","42","95816","3882","3169711","22","1279","514","460","118226088","130","3953","1","8","1","1593","3461","2","1","58270"
"181003","5124","#Y0JULLL2Q","幽冥","110","132","0","#90G8PC89","阿尔法部落","vKFhxZdHPDc2FleQwq48NzEoemmp5TuGql-WrDqP6ug","5144","3488","8","NULL","8","1014","161","171","2019-01","181003","5124","2019-01","181003","5124","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","16","12","2","8","10","1","14","3","2","1","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","16","11","150","8","1598","1","315161871","310910730","5144","4","9468","1322","4024","1644","19","50735","2028","1555410","22","643","299","161","58538470","74","1006","0","8","1","813","3488","2","1","37970"
"182662","5121","#2Y0CJL0U","人Vladyslav火","122","230","1","#8Q2CGCUG","TheOtherSide","MIw7OsZ9rVdSllLwSokVrVxNz7lyNxzquQdNEYgWrBU","5159","80","8","NULL","4","1","362","121","2019-01","182662","5121","2019-01","182662","5121","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","NULL","3","3","2","2","NULL","NULL","NULL","NULL","NULL","6","7","NULL","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","NULL","NULL","1","2","NULL","NULL","NULL","8","NULL","NULL","NULL","11","NULL","8","3545","1","331094005","347816176","5159","4","25907","2241","6321","2429","591","148767","3714","2447210","22","1318","233","362","118057213","56","3256","0","4","1","2","80","0","1","6975"
"203528","5081","#8RY82QC0Y","Aizen","141","230","1","#YYQ8QQCV","TüRKoRDuSu","OJmW2sy5lx0x4fXxZlKszP8vpvSCSCOdXRVzz7Ijs_k","5081","50","8","NULL","6","0","577","81","2019-01","203528","5081","2019-01","203528","5081","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","5","5","1","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","1","11","152","8","2596","1","403017535","367608460","5081","4","19879","2260","6171","2517","393","253928","3538","1972277","22","806","329","577","102055741","80","1945","0","6","1","0","50","0","1","6490"
"208851","5072","#80RRUJJLU","Julian Th8™️","134","538","1","#P8CLJU8Q","DaDiDu","slsiNqJ5_8887HZYKmYvq-HL6oPkjLJY3db9x87u5YE","5158","1970","8","NULL","5","317","989","72","2019-01","208851","5072","2019-01","208851","5072","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","9","8","8","8","8","NULL","5","NULL","10","NULL","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","1","11","NULL","8","2113","1","800914246","821547690","5158","4","66316","4969","13673","5356","323","162151","7992","5975781","22","2928","784","989","101694053","180","3424","1","5","1","441","1970","1","1","2030"
"223927","5046","#YR98U98U0","™⭐ÀÑTÔN⭐™{ÙJ}","95","198","4","#QU2VUU80","beledud clan","V9sdlbwA810p3b0hUrucW4I8kdnzGqLTwbELx1KBMgQ","5046","2357","8","NULL","6","515","324","46","2019-01","223927","5046","2019-01","223927","5046","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","10","10","8","10","10","NULL","10","NULL","9","1","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","6","11","NULL","8","718","1","307526181","297486240","5046","4","7091","1373","5195","1621","40","21860","2652","1655000","22","586","217","324","56613591","64","720","0","6","1","573","2357","1","1","30700"
"232502","5031","#C0LJ9PRQ","Nicj2","95","332","2","#20R0YVG2V","Tofu96","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","5036","245","8","NULL","3","8","428","31","2019-01","232502","5031","2019-01","232502","5031","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","6","5","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","NULL","11","NULL","8","2657","1","427613829","438691893","5036","4","21921","2228","6093","2652","501","13477","3956","2375819","22","958","403","428","55434719","57","212","1","3","1","14","245","0","0","21560"
