"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"70231","5427","#9P9V9VQPV","SAMBHAJI RAJE","113","262","0","#G00VRR00","पिंपळगाव खांब@","76isSC140R-invOfNfomywrX38S-z_pvd6L2udpG61M","5427","3039","8","7","554","1060","761","2018-04","70231","5427","2018-04","70231","5427","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","12","8","14","6","4","1","1","1","14","1","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","10","11","9","8","1784","1","689795059","748581242","5427","4","58040","3870","10619","4143","108","26143","6075","5286337","22","2741","695","1060","177409101","253","1189","1","7","1","766","3039","2","1","2715"
"116583","5238","#2PQPYVVQU","DADDY","123","331","1","#PCVVRQPV","Elite Eight™","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","5248","2238","8","6","216","372","238","2018-04","116583","5238","2018-04","116583","5238","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","10","7","9","8","6","1","1","1","10","1","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","2","11","153","8","1871","1","439299874","422476478","5248","4","21431","1853","6751","1989","433","139122","4767","2025817","22","824","58","372","66555563","5","2139","1","6","1","137","2238","1","1","1800"
"128458","5201","#8YQY9RQJ0","deaTh kinG VS","135","368","1","#PCVVRQPV","Elite Eight™","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","5225","2003","8","5","201","1060","201","2018-04","128458","5201","2018-04","128458","5201","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","9","8","8","8","8","1","2","1","9","1","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","2","11","150","8","1989","1","571838084","630019187","5225","4","52338","3271","10816","3583","258","176351","6370","4129385","22","2382","389","1060","112320431","134","4542","1","5","1","159","2003","1","1","2750"
"130791","5194","#90C8QRR0C","ALEX","129","180","0","#82CYUUYR","noobs legendary","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","5202","3785","8","8","1641","700","441","2018-03","108732","5202","2018-04","130791","5194","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","12","12","12","14","12","2","14","7","13","12","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","11","11","150","8","4260","1","555556176","626641064","5202","4","47516","3051","10694","3411","63","92267","6884","4156698","22","1848","248","700","121750229","74","5685","1","8","1","1871","3785","2","1","9250"
"139085","5169","#8JJ2PYY0G","RISHABH","115","178","5","#QUG8GGV8","RAJE CHATRAPATI","C7XKVZnPspVnVM_wtUWvqdNEj8ot-WoADUWeu6PL_z0","5316","1931","8","5","193","956","169","2018-04","139085","5169","2018-04","139085","5169","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","8","8","10","8","7","1","1","1","9","1","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","NULL","11","48","8","1879","1","484010334","485580154","5316","4","35405","2220","7254","2451","247","86338","4728","3205619","22","1819","335","956","73909737","95","1899","1","5","1","209","1931","0","1","3000"
"141378","5163","#20Y9J0ULJ","天堂.地狱","121","273","1","#8YVJYLCV","吸血鬼骑士","OnyoVzsqn5OaD1w8kiki9N4Z_fVD5RkueWVuq1gkKiE","5299","3450","8","7","592","1024","701","2018-03","83571","5291","2018-04","141378","5163","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","13","12","12","8","10","1","1","1","12","10","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","5","11","153","8","2451","1","789679816","818296097","5299","4","74606","4308","13306","4512","599","75471","6898","6495940","22","3823","900","1024","52701159","297","725","1","7","1","647","3450","1","1","2100"
"146271","5150","#QCQ9U9CU","ThatGirl","127","157","0","#RVVQUCCU","Savage Soon 8.9","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","5173","2128","8","3","304","902","165","2018-04","146271","5150","2018-04","146271","5150","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","6","6","4","4","1","1","1","1","1","1","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","NULL","11","153","8","5147","1","783630220","805281571","5173","4","73255","5138","15077","5658","280","112952","8274","5575205","22","3742","445","902","216876412","108","4373","1","3","1","193","2128","0","1","2080"
"148305","5144","#990J2980C","WINNER GALAXY","132","175","0","#Q00P2UUG","WINNER Z GALAXY","SWcSuBwZEA2kBlCyGaOkWwoPJrLxl8usYPDDPSH2NWU","5307","1666","8","6","87","100","984","2017-12","53112","5307","2018-04","148305","5144","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","11","10","9","10","9","1","6","1","8","4","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","NULL","11","153","8","4240","1","574499685","588571459","5307","4","42319","2877","8369","3194","145","165355","4433","3958240","22","1945","405","100","153842806","130","3396","1","6","1","68","1666","0","1","3500"
"155438","5126","#8JLQ9G2VC","!Santa_Muerte!","127","238","1","#VLLPVPLG","✨El+[M]éxicano✨","JVqVoGLkFwRRxN-Sl3qXivtDHshhhYbxizTAFh9L83A","5235","3008","8","7","941","547","534","2017-12","94102","5132","2018-04","155438","5126","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","10","14","10","12","5","1","12","1","12","10","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","8","11","150","8","2510","1","549910853","560520064","5235","4","42437","3472","10637","3804","63","97947","5767","4276669","22","2379","751","547","111523715","243","3890","1","7","1","1244","3008","2","1","1595"
"155654","5125","#8RJ0C00G9","Shigetora","112","393","0","#2L2JVGPY","THE SHIELD","w4_mJS8U8k6aYWMb63bPPtMyrmMqb0fgTaO5Hi9g1oM","5185","2193","8","5","278","949","248","2017-07","85961","5123","2018-04","155654","5125","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","10","10","10","10","8","1","4","1","10","1","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","2","11","153","8","3439","1","696170264","716548467","5185","4","52478","3591","11493","3851","535","47158","7476","4142851","22","2306","349","949","155641811","122","778","1","5","1","137","2193","1","1","5950"
