"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"9449","5991","#2VGQ99VY2","TRAP","179","478","0","#2RUU0VP9","Clash of Knight","l4WQrf4P4cXncnwpcI91aPW6rrsbZDkLLzvRMOR4XTU","6008","4155","10","7","1142","777","7941","2017-12","7595","5848","2018-04","9449","5991","2018-01","284904","4088","NULL","NULL","NULL","5","6","5","6","6","6","7","4","5","5","6","6","5","5","2","3","2","4","1","14","14","13","13","13","1","14","3","12","12","7","7","5","2","1","4","4","4","1","3","20","20","NULL","7","11","153","10","3324","1","1213428879","1304895472","6008","6","12846","2707","21328","6164","1922","305040","12796","7362309","22","3733","1522","777","350796630","549","7160","1","7","1","1515","4155","2","1","10380"
"10790","5956","#88CQPCP9C","SANDIK","179","342","1","#90LPV9QU","Nepal","8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y","6110","3292","10","8","1483","942","3878","2018-01","6755","5892","2018-04","10790","5956","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","6","6","7","4","5","6","6","6","5","5","2","3","2","4","1","12","12","12","11","11","2","7","2","12","12","7","7","5","3","3","4","4","2","3","1","30","40","NULL","7","11","107","10","3614","1","1486098685","1651303879","6110","6","52937","4304","29360","7855","126","303769","19517","10966940","22","6425","1836","942","266156257","784","4558","1","8","1","1682","3292","2","1","4160"
"11368","5943","#8UYGC2GY","Spackman","170","469","0","#P8PPYU0Y","TRUE BLUE","zOPtImYFRaqMp9Gm8_Lzy-p2VEZFui59gUvP7hUR0rs","5943","2270","10","5","764","573","1775","2018-04","11368","5943","2018-04","11368","5943","NULL","NULL","NULL","NULL","NULL","NULL","6","7","5","6","6","6","7","4","5","5","6","6","5","5","2","3","2","4","3","10","10","10","10","10","1","10","1","10","1","7","7","5","2","3","4","4","4","2","3","40","40","NULL","5","11","150","10","3640","1","1610923511","1703045856","5943","6","43593","6499","31432","10625","791","226289","18038","12606053","22","9028","3870","573","194287081","594","4344","1","5","1","1096","2270","1","1","19300"
"11786","5934","#8R2202298","ishara Lesnar☠","185","376","1","#P2V99LC8","U.S.A 2","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI","5975","3356","10","7","755","1359","1537","2018-04","11786","5934","2018-04","11786","5934","NULL","NULL","NULL","NULL","NULL","NULL","7","6","6","7","6","6","7","4","5","6","5","6","5","5","2","3","2","4","3","12","13","8","12","10","1","1","1","14","12","7","7","5","3","2","4","3","4","1","1","38","40","NULL","7","11","153","10","1217","1","1448667522","1545026507","5975","6","52286","4120","23429","6435","290","340890","14909","9464171","22","5263","1455","1359","332297528","344","7442","1","7","1","944","3356","2","1","775"
"11801","5933","#PCGL80RV","Aldo Pedro","154","347","1","#U220QQR9","MegaBrazil TH10","vVaIdwIsRqEywyLpHQr7R5GnsYsgykEwAfjAhjFPbWI","5964","1659","10","5","105","762","3050","2017-11","9812","5828","2018-04","11801","5933","NULL","NULL","NULL","NULL","NULL","NULL","7","6","6","6","6","6","6","4","5","3","6","6","5","5","2","3","2","4","1","8","8","5","7","3","1","1","1","7","1","7","6","5","2","3","4","4","4","1","NULL","23","23","NULL","NULL","11","150","10","4296","1","1062016977","1128806706","5964","6","39064","5337","23673","8378","459","152802","15953","7812131","22","5007","1087","762","308689855","254","2450","1","5","1","85","1659","1","1","600"
"13156","5905","#29VLP2U9L","Buddy Fandy T.","168","389","0","#9VV9VYUP","Rajawali Sakti","gleInU799fdmj_-HlZa1CUqDbBhS2NwaV-5Of4g5ngs","5983","3967","10","8","1819","914","3502","2018-04","13156","5905","2018-04","13156","5905","NULL","NULL","NULL","NULL","NULL","NULL","7","7","6","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","14","14","14","12","10","2","14","14","14","14","7","7","5","3","5","4","4","4","3","2","40","40","NULL","12","11","153","10","2303","1","1055218267","1147306140","5983","6","41270","3395","20450","5517","52","183963","13569","8148336","22","5423","1667","914","342639225","700","6021","1","8","1","2269","3967","2","1","15450"
"14559","5878","#929RCVYY8","inferno","165","424","0","#U220QQR9","MegaBrazil TH10","vVaIdwIsRqEywyLpHQr7R5GnsYsgykEwAfjAhjFPbWI","5902","2842","10","7","800","696","3028","2018-04","14559","5878","2018-04","14559","5878","NULL","NULL","NULL","NULL","NULL","NULL","7","7","2","7","6","6","7","4","5","5","5","6","5","5","2","3","2","4","3","8","10","14","12","7","1","12","1","12","10","7","7","5","3","5","4","3","4","1","1","30","38","NULL","8","11","153","10","3134","1","1716553316","1800623714","5902","6","29491","4063","29414","8214","234","199547","22449","10007835","22","8975","2939","696","232811048","857","4080","1","7","1","953","2842","2","1","9775"
"14643","5877","#QVYRYCR0","Paloma","176","333","0","#U220QQR9","MegaBrazil TH10","vVaIdwIsRqEywyLpHQr7R5GnsYsgykEwAfjAhjFPbWI","5947","2772","10","7","610","1957","1828","2018-04","14643","5877","2018-04","14643","5877","NULL","NULL","NULL","NULL","NULL","NULL","6","7","6","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","10","10","8","12","8","1","12","1","12","11","7","7","5","3","5","4","4","4","1","3","40","40","NULL","10","11","153","10","3471","1","1269291358","1364691518","5947","6","41591","4284","22260","6462","705","284441","16915","10748762","22","7333","1545","1957","402893104","474","5569","1","7","1","797","2772","2","1","8055"
"15048","5869","#80V9UPPRL","jentong","180","338","0","#VULY0V9R","COC INDO WAR JR","_nvBUbqfwZRB10w97Uwoa1GNz7eKE3ODBRYdq78bpis","5869","3057","10","7","1444","1209","3598","2018-04","15048","5869","2018-04","15048","5869","NULL","NULL","NULL","NULL","NULL","NULL","7","7","7","7","6","6","7","4","5","5","6","6","5","5","2","3","2","4","3","12","13","12","13","12","1","13","1","12","12","7","7","5","3","5","4","4","4","3","NULL","40","40","NULL","10","11","150","10","2705","1","2000000000","2000000000","5869","6","75972","5439","25286","8191","476","281136","20301","11893729","22","6383","1253","1209","329473502","384","6873","1","7","1","2077","3057","2","1","12750"
"15075","5868","#8UPYVQQG9","✌matheus✌","157","543","0","#U220QQR9","MegaBrazil TH10","vVaIdwIsRqEywyLpHQr7R5GnsYsgykEwAfjAhjFPbWI","5919","3766","10","7","1274","582","2011","2017-12","11517","5733","2018-04","15075","5868","NULL","NULL","NULL","NULL","NULL","NULL","7","7","4","6","6","6","7","4","5","3","5","5","5","5","2","3","2","4","1","12","14","14","11","10","1","10","5","14","12","7","6","5","3","1","3","3","2","1","1","30","32","NULL","11","11","153","10","3805","1","1246083675","1322310693","5919","6","44552","4089","22336","6352","146","144024","14675","8261163","22","5003","1264","582","213979312","238","3118","1","7","1","942","3766","2","1","4225"
"15822","5856","#2808YUQ02","wanted","177","366","0","#90LPV9QU","Nepal","8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y","6003","4574","10","8","2871","949","4207","2018-03","7122","5924","2018-04","15822","5856","2018-03","102723","4522","2018-04","259973","4290","6","6","6","6","6","6","7","4","5","6","6","6","5","5","2","3","2","4","1","14","12","16","12","8","1","9","15","14","15","7","6","5","3","1","4","3","2","1","1","40","40","NULL","20","11","153","10","4466","1","1336192146","1402857291","6003","6","28875","2884","23441","6007","516","274356","16641","9546505","22","5586","1299","949","248959071","533","6283","1","8","1","2935","4574","2","1","4345"
