"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"19764","5801","#QQVU09C2","V Seenu","196","479","1","#PPRY0Y00","Savage 8.9","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","5901","2801","9","7","606","1070","4145","2018-01","9744","5801","2018-04","19764","5801","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","11","11","9","10","9","1","2","1","14","1","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","6","11","153","9","4085","1","2000000000","2000000000","5901","5","53044","5778","35162","11002","501","518206","21295","11352896","22","5267","1199","1070","134777941","582","12280","1","7","1","669","2801","2","1","3175"
"30203","5688","#8CUG2CYV","ZaliE","148","259","1","#GVV0J90Y","HealerStarsVViP","vbTBkl1mNyvyzcaoEbFLi1uPAT4B6_SGTpYnTLiCte8","5812","2638","9","6","800","931","8415","2017-07","12293","5734","2018-04","30203","5688","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","11","12","12","12","11","1","12","1","12","12","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","10","11","153","9","1067","1","1969060971","1903285908","5812","5","73011","3500","34654","9472","493","171609","21634","10752153","22","4058","485","931","208448654","413","4481","1","6","1","823","2638","2","1","7125"
"30961","5681","#8JY9RPLLL","{(ارتش})","162","335","0","#U9JUYJR","دوستان باوفا","Hf3Fna-xaeCgjV_6tqbc0G9ieKAfLQtsFirHc2OdCBQ","5684","3035","9","6","835","1215","1326","2018-04","30961","5681","2018-04","30961","5681","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","12","12","10","11","1","11","1","12","12","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","10","11","153","9","3766","1","1180110262","1213349662","5684","5","21083","3036","18519","5013","248","250556","12509","7430876","22","4125","897","1215","168176418","132","5807","1","6","1","935","3035","2","1","765"
"39505","5613","#9GRY88JYY","Ochenge","157","344","0","#RQRJRJPL","DITEES","IuD30W8lcoKfT3JwrVAesVApTmgMTPaNCJakp5FaaR4","5613","3165","9","7","1029","787","1481","2018-03","39306","5523","2018-04","39505","5613","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","13","11","12","10","1","5","1","12","13","6","6","5","2","1","3","3","2","NULL","1","20","30","NULL","8","11","153","9","2171","1","907125918","928915619","5613","5","15347","2231","12924","3720","118","230555","9107","4617141","22","2262","274","787","158695111","93","6179","1","7","1","1041","3165","2","1","15225"
"43303","5585","#88900VYYJ","Drii","149","273","0","#QUYUJRC8","DaMassaClan#016","aYbU6sgCa-W_tD0MMnpDcyG8zJNoPh6Wogsh51gxYd0","5585","4037","9","8","1600","669","967","2018-04","43303","5585","2018-04","43303","5585","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","12","14","11","4","1","2","14","14","14","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","10","11","153","9","4094","1","1430243540","1477334697","5585","5","34279","3889","20930","6022","316","158425","15834","8188033","22","3741","328","669","135721541","76","2100","1","8","1","1894","4037","1","1","15660"
"43717","5582","#8RGGC0JGC","→天↑宇←","144","542","0","#8RYVQ9RG","LOL. S5. 万岁","TCVeO_uMyQyX3OC7JSAYWRBkpkRe2j1bUgsiHms8y2c","5598","3966","9","7","2050","281","1646","2018-04","43717","5582","2018-04","43717","5582","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","14","12","14","14","14","1","14","1","14","14","6","6","5","2","1","3","3","2","NULL","1","12","12","NULL","10","11","152","9","2685","1","1103841571","1163569283","5598","5","48444","3603","25618","6476","71","124808","13928","7524995","22","3580","650","281","102728137","225","1938","1","7","1","2867","3966","2","1","15710"
"45917","5567","#9YV82PGUV","Abhishek","170","312","0","#PPRY0Y00","Savage 8.9","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","5713","4626","9","8","2063","1019","2769","2018-02","27610","5570","2018-04","45917","5567","2017-12","82687","4327","2018-04","166875","4425","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","16","16","14","10","16","1","8","9","14","8","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","20","11","153","9","1983","1","1418427763","1404442231","5713","5","25458","4499","21499","6629","597","266929","15566","5929194","22","2623","332","1019","226415994","104","8258","1","8","1","3004","4626","2","1","450"
"46942","5560","#8L2CVR8GY","kuwk7","140","349","0","#JUQYVG9L","Savage 8.9","JVqVoGLkFwRRxN-Sl3qXivtDHshhhYbxizTAFh9L83A","5670","326","9","3","12","1021","3152","2017-06","16569","5379","2018-04","46942","5560","NULL","NULL","NULL","NULL","NULL","NULL","6","6","5","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","2","2","1","1","1","1","1","1","1","1","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","NULL","11","153","9","2323","1","1207214761","1242674686","5670","5","27833","5909","22418","8532","71","125248","13505","7941619","22","3584","738","1021","208062466","281","5777","1","3","1","12","326","0","0","0"
"49040","5547","#JGV99LVC","BULLECK","157","195","0","#GVV0J90Y","HealerStarsVViP","vbTBkl1mNyvyzcaoEbFLi1uPAT4B6_SGTpYnTLiCte8","5766","2534","9","6","615","1210","5789","2017-11","13870","5732","2018-04","49040","5547","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","11","12","12","10","1","10","1","12","8","6","6","5","2","1","3","3","2","NULL","1","25","28","NULL","5","11","153","9","2817","1","1360220703","1309743614","5766","5","28482","2948","26466","7695","672","229787","14685","6931000","22","2318","375","1210","228131684","246","5232","1","6","1","656","2534","2","1","3905"
"52091","5528","#8JJ9UPC2C","Iniesta.Home","138","587","0","#Y2PRC9YC","问鼎","1Zc55CT0eolBqj1kpQ5Dz-ORAUU-KYexfAov3xEta8w","5551","1944","9","5","346","1081","528","2018-04","52091","5528","2018-04","52091","5528","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","10","8","8","10","1","1","1","10","1","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","NULL","11","42","9","4197","1","897454139","965875728","5551","5","20956","2273","11423","3398","331","124439","8102","6306927","22","2465","243","1081","197059911","63","2577","1","5","1","361","1944","1","1","12970"
