"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL"
"1","5093","#PGCQRC2V","༺࿅ོALLEXCEED2࿅ོ","145","159","15","#9J99PYRL","CLUB ONLY","Yafe6MmAlMuwti0JKKcQJWJVHRCL9_FfKpVZJJD-xZs"
"2","5060","#82CUU208","Up in smoke Pie","164","190","7","#YLQR2VU0","QW Pie Bakery","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"3","5054","#RRQR0UQ9","one.piece","138","213","15","#PRP8PUL","ARAB CHAMPIONS™","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY"
"4","5041","#92LY0CQV","YUTO(JPN)","124","208","8","#P29YPCJU","倭文組","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"5","5038","#90LRVGP0","TWISTER","169","185","4","#PRP8PUL","ARAB CHAMPIONS™","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY"
"6","5034","#RRPVCYPY","SaMi","140","256","11","NULL","NULL","NULL"
"7","5034","#P9GRJPGJ","Cream Pie","169","202","8","#YLQR2VU0","QW Pie Bakery","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"8","5028","#VYQVVJYU","༺࿅ོ༼N02༽࿅ོ༻","151","201","8","#PRP8PUL","ARAB CHAMPIONS™","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY"
"9","5027","#YVGQQ8Y2","#YaoSquad","177","174","6","#JYPRJVU","NORTH 44","zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI"
"10","5016","#2YRJ8G9C","lucky","158","297","4","#YRGYC0Y2","TourneyAlliance","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"11","5008","#QLPJV0RV","kikay100","190","218","7","#CC8JQ28","Filipino Champs","SEHItSTaeITfhGSeKade8R4QL0rOgscO8qUF2ho6YuM"
"12","5003","#PLV9CCCL","dat micheal","161","271","7","#YRGYC0Y2","TourneyAlliance","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"13","4998","#G89GJRYG","love","143","209","8","#YRGYC0Y2","TourneyAlliance","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"14","4997","#9V00LLQ8","༺࿅ོALLEXCEED࿅ོ༻","152","207","3","#9J99PYRL","CLUB ONLY","Yafe6MmAlMuwti0JKKcQJWJVHRCL9_FfKpVZJJD-xZs"
"15","4996","#20U82JP0P","azooz_steew","121","195","11","#YRGYC0Y2","TourneyAlliance","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"16","4994","#GUV2GQGJ","༺།ོ༼A H K༽།ོ༻","193","204","6","#PRP8PUL","ARAB CHAMPIONS™","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY"
"18","4992","#PQLCY20R","KAMIL","148","263","6","#YRGYC0Y2","TourneyAlliance","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"19","4992","#22JQPGJG8","LevinXY","121","133","11","#PVVQ9QUC","九游-CN.one","h9Us8c5xSoaS0TX0NnG9EUy5eIs-9MpnWEdRxTdD9aU"
"21","4991","#RYGU9U9P","sa3d363","154","196","9","#YRGYC0Y2","TourneyAlliance","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"22","4990","#80LG9V8J","WiFi x Smasher","144","177","6","#PRP8PUL","ARAB CHAMPIONS™","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY"
"23","4988","#2299V8JY","愛ROLLERッ","151","218","0","#PRP8PUL","ARAB CHAMPIONS™","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY"
"25","4987","#VRRR2LRY","나르디스","153","232","6","#YRGYC0Y2","TourneyAlliance","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"26","4987","#QRGU2UCY","STING","144","205","9","#YRGYC0Y2","TourneyAlliance","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
