"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL"
"1","5045","#R0CGVR8U","Adel","169","236","14","#CV89Y0V","BATTLE RAGE","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"2","5011","#8P92RUV2","big small","153","218","12","#CV89Y0V","BATTLE RAGE","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"5","4990","#8PJCCL88","༺࿅ོ༼Mr.ana༽࿅ོ༻","143","153","10","#VJPP8C0","ARAB CHAMPIONS™","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY"
"9","4951","#P22PJVRQ","battlebee","160","152","11","NULL","NULL","NULL"
"12","4951","#VRRR2LRY","나르디스","148","205","11","#CV89Y0V","BATTLE RAGE","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"14","4939","#RC8YYQVG","iiwk","158","235","15","#UPR8YUC","EGYPT ARMY","FKxB0x09VoSAtS6WocQmKbckPOnMhrTJEfHdxOguvuQ"
