"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL"
"1","5080","#P8V98YUL","Vendetta","169","232","8","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"2","5061","#89UCQR90","feyenoord","156","149","11","#JYPRJVU","NORTH 44","zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI"
"3","5057","#C909C88P","钟馗","160","262","13","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"4","5051","#YLGPGV9C","房玄龄","135","208","9","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"5","5048","#282UGQGC2","Koi X","141","268","11","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"6","5041","#8R9JL2QV","Andico","160","150","9","#YRUYL22","Quantum's Web","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"7","5036","#82CUU208","Up in smoke Pie","165","153","37","#L82RP8VQ","QW","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"8","5031","#JJRC0CRC","nick.ko69","151","185","8","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"9","5028","#JYVGVRCC","二桃殺三士","211","296","13","#8Y9VGCL2","木槿花开","f2iJF-gjyx5MRzD5z6pekgdgimXO1IE7CE3tr5DguTk"
"10","5026","#GRRC299Y","Ryuji-2/JSS","177","297","7","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"11","5025","#99Y9UC9P","⋆⚜ ᎯℒᎯᏂᏰᎯᏰi ⚜⋆","139","179","11","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"12","5023","#9VL9U8U9","IX DAABOUL","129","414","18","#YRUYL22","Quantum's Web","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"13","5020","#R98PVGYR","不识抬举","162","201","8","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"14","5019","#9PL8UC2C","麗質ོ༜長樂公主ོ༜JC","168","226","11","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"15","5018","#9L09J9Q8","Casanova","147","194","8","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"16","5018","#UYUUU2Y","Paige","182","180","12","#JYPRJVU","NORTH 44","zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI"
"17","5017","#GY0J2UY","MUSTAM 1","169","275","14","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"18","5017","#YCUQGV8Y","EricBin","195","329","10","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"19","5014","#92LY0CQV","YUTO(JPN)","125","193","8","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"20","5013","#2LJG9CPL","李世民","158","258","10","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"21","5013","#8R9C9JCG","shaheen uae","150","171","6","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"22","5011","#G8RLCGL2","JOSEPH SUCCAR","129","234","6","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"23","5009","#GU22R82G",".::ADMIRAL::.","175","214","9","NULL","NULL","NULL"
"24","5008","#GC0GLC0P","AD.007","142","185","4","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"25","5008","#PR2PQLP2","BubbleGum","134","190","7","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"26","5007","#2YRJ8G9C","lucky","161","188","6","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"27","5007","#YUR98CJG","-B:-E:-N-:斌","163","254","15","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"28","5005","#YJJYPG09","EMIRATES.","149","230","7","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"29","5005","#J0GPLUY2","zoro","161","232","6","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"30","5004","#9YY20GUU","piepipper","135","225","8","#YRUYL22","Quantum's Web","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"31","5004","#2988GJ9YG","Hetsigehans","133","316","2","#YRUYL22","Quantum's Web","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"32","5003","#20982U8Y9","adham1977","144","288","9","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"33","5002","#P22PJVRQ","battlebee","161","113","7","#YP9U0J","U.S.A ","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"34","5002","#RYLU8UUY","حگومٓةّDûBãî","136","190","7","#LG80YL8V","United Legends","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw"
"35","5001","#2LL8PCQC","HERO","144","102","8","#LCLJYQJP","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"36","5000","#PQ0LCLJQ","GRIP YOKO","138","253","10","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
