"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL"
"1","5015","#LQVYV8VJ","almghool","140","271","7","#PJUL80GY","GULF KNIGHTS","rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8"
"2","4997","#PRPV9G99","B0ssh0gg","164","15","1","#YLQJQRJ8",".l.™","ncwnIvqHq0Fb3YWSWUNIoguTxOqQ2D2046RvbS7kjX8"
"3","4990","#9LUQQ8RQ","skyreaper","143","253","8","#PJUL80GY","GULF KNIGHTS","rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8"
"4","4983","#82CUU208","Up in smoke Pie","164","268","10","#YUUGJ0R9","QW","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"8","4976","#PCLR29QC","Qatar","159","300","11","#L002LPCL","Emirates","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU"
"11","4971","#90LRVGP0","TWISTER","167","284","5","#PJUL80GY","GULF KNIGHTS","rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8"
"13","4968","#8P92RUV2","big small","153","218","9","#L002LPCL","Emirates","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU"
"15","4965","#9V00LLQ8","༺࿅ོALLEXCEED࿅ོ༻","151","210","13","#PJUL80GY","GULF KNIGHTS","rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8"
"19","4958","#P22PJVRQ","battlebee","160","241","10","#PJUL80GY","GULF KNIGHTS","rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8"
"20","4957","#JGQ9CQQC","AL-CONGRESS","151","250","9","#L002LPCL","Emirates","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU"
"29","4945","#R0CGVR8U","Adel","171","250","12","#L002LPCL","Emirates","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU"
"48","4921","#GUV2GQGJ","༺།ོ༼A H K༽།ོ༻","191","284","12","#PJUL80GY","GULF KNIGHTS","rU0ub0XoQRV14xrgDq2B8N0KvC_kPTBBWK4nm7W2H-8"
