"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL"
"112","5336","#LR0RGC0G","HSGGDVDV™","188","177","5","#2U00G8J0","Filipino Legend","XJp3CtBRdB4GbkvxxxJpAnBOCkL5SwB8qNc9feBg538"
"113","5334","#PQ0LCLJQ","GRIP YOKO","144","110","12","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"114","5334","#2299V8JY","愛ROLLERッ","155","101","10","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"115","5333","#Y2U00GUC","[~Niko_coc~]","147","150","3","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"116","5333","#YPRRU98C","ericana RMA","183","79","6","#UP0080R","Indo Eternity","xUo2kMu1WXvJWD3UCP4xxKs23-EIfz2TCiXmSnkRUTY"
"117","5332","#LYJ0LPCG","QueenBee","163","72","11","#LL882JR9","U.S.A United™","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"118","5332","#9JY0809R","omar!","199","136","15","#U2YJCRU","درع الجزيرة","gHwPAfYyzr9dhlcELaRtnfIQ3PXz2aeowRBeta58Z5w"
"119","5332","#UR02QCPG","Jdeaar","157","126","14","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"120","5332","#R0CGVR8U","Adel","177","147","7","#U2YJCRU","درع الجزيرة","gHwPAfYyzr9dhlcELaRtnfIQ3PXz2aeowRBeta58Z5w"
"121","5332","#2G0GPP2P","✨ABU AS3AD✨","188","149","13","#U2YJCRU","درع الجزيرة","gHwPAfYyzr9dhlcELaRtnfIQ3PXz2aeowRBeta58Z5w"
"122","5331","#92LY0CQV","YUTO(JPN)","130","98","6","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"123","5330","#LJP80QC2","もぐ","163","211","8","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"124","5330","#GPPURPP0","ོསཛ༩༠ོ","153","146","11","#2U8VCLV","zob","tsbNDyZqWrKKI1EkE3OG35KUf2lGZgdOUm0Lq5PhrvE"
"125","5330","#Y9VYCG0J","BU SALEM","153","105","6","#U2YJCRU","درع الجزيرة","gHwPAfYyzr9dhlcELaRtnfIQ3PXz2aeowRBeta58Z5w"
