"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL"
"824","5158","#8QLGJYRR","max","153","158","3","#8G8RLYUJ","anarbest","DAt3F4VShTIS5aSa_I7FJ8uBZNw914CUaeoSAvN17Sc"
"825","5158","#QJLY2J2Y","Anakin","196","142","8","#8R2R9YGU","The Core™","a4fFI19bW2qL08W4jAqHZq021krfIfb6itF7MdvDoaI"
"826","5158","#PRLJP02V","⚡️⚡️⚡️DOC⚡️⚡️⚡️","148","115","14","#YJULQVP","ECUADOR","a511SGKJrMr83pqwKZg2R2Rf2Wa-bBVcv7HRwofCjKc"
"827","5158","#2JCLJR02","Chaners","159","106","11","#2JLQL2LJ","Р У С С К И Й","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"828","5158","#JQQJQ0JU","VIPER STRIKES","140","157","1","#29982928","Aus Adults","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU"
"829","5157","#P9UQ9P2C","༺༒࿈Fatt࿈༒༻","173","169","6","#9GL88L9J","Vip 96 中马","9CbTwqsGl3_tzd7N4Gt5Mgqq3VcRTc9ejjAdMuCDhMI"
"830","5157","#8UQGC0J0","bojurais","132","72","24","#2UL20P8L","درع الجزيرة","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"831","5157","#JQJGPLV0","roms","143","185","9","#8UVCJ29G","MF007Family™","OnyoVzsqn5OaD1w8kiki9N4Z_fVD5RkueWVuq1gkKiE"
"832","5157","#JVYQJ8Q","SR_18","168","134","12","#8VQUY0YV","indo celestial","-hnxidKL89mF0NOXVXo8OJnlXNrx4MY2IIE3Gw4BMtM"
"833","5157","#V2LJVYPR","みっちゃん197124","139","139","12","#P0CULYCG","ファランクス","-JLZy7Ok79_GXFWhdNLhNAwuQd2a1Yd3yFyLS4ftst0"
"834","5156","#YJYRVLL","strongland","146","135","13","#9GJGLRLG","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"835","5156","#G0JQ922Q","wrysein","142","199","10","#8R0JU0R8","미친존재감","l4WQrf4P4cXncnwpcI91aPW6rrsbZDkLLzvRMOR4XTU"
"836","5156","#RGJCR9YQ","Päi","162","230","20","#LQPU2VJ0","010101","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY"
"837","5156","#RVUQVQCQ","kami","186","120","6","#V8PLL20","persian","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"838","5156","#GCUYC9Y8","moayad qadomi","163","170","17","#8JVPCJLC","U.N. ARAB","snN4Nh6EZjQsE_RHEhCeGCywUhJ-bxneuFo8Z_02zAI"
"839","5156","#RR2QQ9CR","gabriel","145","204","9","#LR2JPULC","Les génies OKLM","eqKpGLR9G8xNlFPQuOF4snKFclq6dp-ZHe93-xFemEE"
"840","5156","#CV8RG929","박정희","138","234","13","#2PR09CPR","대통령","8zYCCrBMh8UeQsF7ESLahyhZ29jEpZQ6zpAidtnGJ1g"
"841","5155","#R02VLC2R","[MOB] ELIECUTE","135","171","5","#8QGP2U2J","tindogtacloban","OscKpo3KQ0Ii4j9otJvPLlGO4dz9CahFo-cnzZUGHPg"
"842","5155","#YJ8JJ2VV","TKON","159","110","14","#2C0P0L8L","Fear the Gob","pFYX8bLGlJ0HAZm1H-MY0VhscRqENayXZGXwp727v_s"
"843","5155","#LLC80CQC","キング","152","166","10","#2JCU9C8P","誉〜HOMARE〜","7Siliur18v1CGpXz2bnd3T6Dcenpw1PjWqIkzsVI3eo"
"844","5155","#PVYJURPU","makmex","166","75","10","#JPG0QP2","austrian adults","LP2BVgoVdSRw0Z20bNK5rVvKDqH14JT6DrQeipf4ge4"
"845","5155","#YYUY00V","iamdj 1977","157","98","8","#2C8LV2RG","THAILAND PRO","OJmW2sy5lx0x4fXxZlKszP8vpvSCSCOdXRVzz7Ijs_k"
"846","5154","#PCCC9228","gost","133","215","15","#8Y9R8P2C","فيلق الخليج","jA0A1-BAutiOTM9fWQbKkXZMCteT8NswDo_QW1TSnIk"
"847","5154","#PC8JV0JR","牧之 鳄鱼先生","169","92","7","#YPJCGUJ","牧之一方","Ha7GqnHoMWJpwlF03t-T73lpPF3zviJeh09-h8QT7Lg"
"848","5154","#PCCC08QG","✨Litty✌️","198","201","21","#R2P898Q","十指连心","OnyoVzsqn5OaD1w8kiki9N4Z_fVD5RkueWVuq1gkKiE"
"849","5154","#PRLJPCCP","よすけ","192","122","9","#9J99PYRL","CLUB ONLY","Yafe6MmAlMuwti0JKKcQJWJVHRCL9_FfKpVZJJD-xZs"
"850","5154","#9GR2YLQP","CRAZY SOLDIER","149","116","9","#20LUV8UQ","التوحش","OnyoVzsqn5OaD1w8kiki9N4Z_fVD5RkueWVuq1gkKiE"
"851","5154","#JYG0J88J","☤寅児☤","135","81","13","#2JCU9C8P","誉〜HOMARE〜","7Siliur18v1CGpXz2bnd3T6Dcenpw1PjWqIkzsVI3eo"
"852","5154","#P2YLGRQG","johan","148","117","10","#PG88UPC","Lost Phoenix ","IuD30W8lcoKfT3JwrVAesVApTmgMTPaNCJakp5FaaR4"
"853","5154","#CV0URJQ0","edsonmatsui","165","161","10","#8PCL0Y9J","BRASIL TEAM","JVqVoGLkFwRRxN-Sl3qXivtDHshhhYbxizTAFh9L83A"
"854","5153","#PP8YQRQ","Coop","162","130","12","#U9CGQJC","Rebel Elite","Cfmjr9VWay8c2Z1lm2IhWC04k4_wYx1sCc2AytR7Q5E"
"855","5153","#P82JQJQ8","逆天","161","189","3","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"856","5153","#L9VUJ9UU","Articadobo","138","238","8","#8RPJ0QR","TEAM 151","-ya1dbmVv1e0w53wp1yqTPQGtkP1Tp4IVUryXUDThA0"
"857","5153","#P8PLYR8U","God of Thunder","158","121","16","#20URR8GP","Global Titans","SEHItSTaeITfhGSeKade8R4QL0rOgscO8qUF2ho6YuM"
"858","5153","#8VV2VR88","Maman","161","194","6","#2VLYR0LQ","LAPAN BRO","e1VRvDtsd-fA2Stvc4VsJWYAvld9mYGTSkff_260Av4"
"859","5153","#RVUP2J8J","Brian","153","74","18","#2220JPPG","49er War Clan","be91HP9tshWOSRuDHt3FZl6Y5EKMtZZip5Wi3FEtGVc"
"860","5153","#82YYQRYY","⭐️⭐️雨落星辰⭐️⭐️","172","107","5","#Q9YCPV09","王者","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"861","5153","#2QPQC9YVL","metalbond","136","94","15","#2GVC00CJ","TURKISH STYLE","jIWmTfYMz_vRGcxatCCPnohSwJ21v02fSTktftgXM9A"
"862","5152","#Y2GP89YQ","peremanuel","149","80","9","#92R8Y8LP","FlawlessVictory","FDwK67NjcQZcOR9OBlqOkx0YjvF2X1pHhVAcdjZMj8Y"
"863","5152","#P88882GG","(V)o¥o(V)","147","141","10","#LVYULPQ2","誉〜zero〜","7Siliur18v1CGpXz2bnd3T6Dcenpw1PjWqIkzsVI3eo"
"864","5152","#J0VLYCPR","CJ","158","273","3","#LGR9GP9P","KAMEHOUSE-2","NuX2Jq6C3mKytjmyASOCjNMx0iU5dpSfjy3IP4XPdJc"
"865","5152","#2GUL8VL9","Dr. AJ","140","104","5","#PRR2JYP","Saboteurs","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU"
"866","5152","#GRVLQUR","teddy","152","341","112","#PJY0VCQ2","R-style","vcYFZPx4U0lYJvPzu8FjfHzMfSCxEqzTI3lJAhBikhA"
"867","5152","#8JRLUL2P","JOEY KHOURY","164","118","11","#8YUG90CL","lebanese clan","vcYFZPx4U0lYJvPzu8FjfHzMfSCxEqzTI3lJAhBikhA"
"868","5152","#UPQ2LQYJ","༺࿅ོMASAYUKI࿅ོ༻","134","145","8","#2UVGG2YR","太田南一番街零戦","iPGDiPOoqA_4TczplEucNCFKJW0C6Bh9vfwP1EreN08"
"869","5152","#J9JCU90Q","Dini","136","619","190","#L8LGUGPQ","dini","anzPXwHdDcfVYLgLiGSkOybemfiRB80uaihupf77o60"
"870","5152","#LCQLQJ2P","Clayton","164","74","8","#9GJGLRLG","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"871","5152","#UJY80QCC","༺࿇ORUTAN࿇༻","154","167","15","#2JCU9C8P","誉〜HOMARE〜","7Siliur18v1CGpXz2bnd3T6Dcenpw1PjWqIkzsVI3eo"
"872","5152","#28GLVQV28","ashley","133","118","21","#PG9LCP9P","Lava Kings","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU"
"873","5152","#GUYVV0","joel","167","36","9","#9GJGLRLG","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"874","5151","#RYLU8UUY","حگومٓةّDûBãî","141","79","8","#9UYU8V8G","Egypt","XJC9r4bMfN6Lu4cCXVZ_d1F7KpUPwt-M6c6XXX3ZReE"
"875","5151","#2QGRLUVJ","Nave","164","147","10","#9PC9R2R","Hebrew Hammer™","BiQqfGpfhsKKvbkWumfBjUkGfLhDhkQH7ICXs_PP0sE"
"876","5151","#8QVCVJ9C","THE CAPITAN23","163","89","18","#8GQG9U0V","OSK","OnyoVzsqn5OaD1w8kiki9N4Z_fVD5RkueWVuq1gkKiE"
"877","5151","#L02UJYLC","Champion","155","95","4","#U0PVGR8","WOWTURKEY","xDlttAx8IfJERng_6bXy0Iymq8AlqxLJTQRJkRobfys"
"878","5151","#U9U2QJ2L","GReg OhCee","151","108","7","#PG88UPC","Lost Phoenix ","IuD30W8lcoKfT3JwrVAesVApTmgMTPaNCJakp5FaaR4"
"879","5151","#L8PJ2PV8","✨Dracula✨","146","104","8","#8992LG8P","نشامى الاردن","zepjTrO6-ULKYW5nYTc-UKN81BplFlHU2iZIuen_SsU"
"880","5151","#QY202PCG","™S™","146","99","10","#8LVLY2RV","SU-43 Berkut","oxvTf65n8dBjlsdGWuwo8NuTARnRqzmFP0gVr5b93K4"
"881","5150","#Y98GVV9V","段志玄","171","141","5","#YJLY82QG","大唐天子","So0A9MJeUWMPSlvkZve0jTvKuqJOZeqaBXfiDgCwzcQ"
"882","5150","#J920QGP8","ymh","151","96","3","#2LG8Q9V0","C.N.","fvoF2pJTtXkG7nzx6jWYwQPbK_KyECrRV8z7Mt2KRT0"
"883","5150","#RRL2PYG8","Argha","132","184","35","#L9UCRUJV","BANGLADESH WC","Rt-XKPJE0MNcfDj4uhBiDE1bM8a_8U8V3QvpLEBI_ww"
"884","5150","#L2G8LVQ8","ᎦuᎧcᏌbᎧᎦ","153","178","14","#8R8RRVP8","One For All ®","OnyoVzsqn5OaD1w8kiki9N4Z_fVD5RkueWVuq1gkKiE"
"885","5149","#9UVUVP08","dexcj","155","138","2","#2U00G8J0","Filipino Legend","XJp3CtBRdB4GbkvxxxJpAnBOCkL5SwB8qNc9feBg538"
"886","5149","#290QVR2G","Ronny:))","176","138","11","#88JQV8J","Kings of Norway","UZJzXuF72Yl9fq9vTZ4OH9w97bzp3QLzZ4QHZyqKecM"
"887","5149","#CV90R0YL","LAITH","130","114","18","#2UL20P8L","درع الجزيرة","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"888","5149","#LLGJ8UGQ","crassus","128","139","8","#PY2JCP8","شباهنگ وحدت","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU"
"889","5149","#22U9RYY9","Winni der Erobe","155","78","13","#2GR920V9","WAR IMPERIUM","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"890","5148","#UC0QRJUG","itoo","138","81","15","#8PQL0Q8U","東京クラン","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"891","5148","#QJUQ8GRU","ルイスガルシア","160","96","6","#PCG9G0L2","Come & Take It","JMe3SPkziLGyLOd7WgIqVokwUa4BLvWlE-jI7WSj_00"
"892","5148","#Y8LLGL88","a rabid wombat","141","208","7","#2VR2YY0G","Kings Rock","8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y"
"893","5148","#8J0P88YJ",".::Israel::.","147","181","6","#VGGCVQG","Los Mexicas!!!","GM8oUGe4-5iBaqYJYDcImI-iUPbnr_p3y_qzs8oqoy4"
"894","5148","#2LL8PCQC","HERO","150","96","7","#2JGYRJVL","MEGA EMPIRE","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"895","5148","#LJC2P8QL","mag-giver","196","89","6","#20VJQUYC","Lowlands XL","u1O0QEYDF2l8_mjAgC_c7VRkM2dLR2SiphG3BgycASM"
"896","5148","#QQ9JPL0R","bayara","161","191","3","#8G8RLYUJ","anarbest","DAt3F4VShTIS5aSa_I7FJ8uBZNw914CUaeoSAvN17Sc"
"897","5148","#9PUCQPL0","Nasser","149","119","26","#908P0UQP","درع الجزيرة ٢","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"898","5148","#JRLL02QG","__LOWside____","158","137","6","#880RLL82","The WarClangers","agr1Cy6wuAwSSGkLpZT18aUem8PnLb7ZU1Df_KAS2tU"
"899","5148","#PQQVVR2V","~Adam~","150","78","3","#QRUCJ9V","DHats","Z5f15B3vFJThAoECsiugsv2uaaflwp4K-tySPgkaXu0"
"900","5147","#8UYQGYVG","闲人山庄","146","153","8","#9J0VRGU8","趁我们还年轻","2wTT1cmxO-hgK29Sd6t6BoMoHX3mhVxPBEC6Se5O_rc"
"901","5147","#PCUJVGV2","中华村","165","128","13","#Q9YCPV09","王者","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"902","5147","#2YRV08C8Q","さわっち","136","154","6","#YPUGC8P2","無言","8zYCCrBMh8UeQsF7ESLahyhZ29jEpZQ6zpAidtnGJ1g"
"903","5147","#GQPPUQRV","王翦-osen-","138","156","12","#R099J02","えび団子ー陸極","C0gdU5N_K8BXwsu2jYZy4USe_Zyb_udzTYGzx04zQdI"
"904","5147","#UG8YRC28","iSerKan","140","298","4","#292YU8RL","Grazersturmflut","mElQkEgto7YSVpVFzHQKFqee-EIGbocPEzcqqVDXMxc"
"905","5147","#QC0R2RJV","Brendan","178","94","8","#9GJGLRLG","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"906","5147","#8V8JUGUY","MARC","165","116","8","#2U00G8J0","Filipino Legend","XJp3CtBRdB4GbkvxxxJpAnBOCkL5SwB8qNc9feBg538"
"907","5147","#2R8VVGL","Huddy's","209","124","9","#YQJJRV2R","Terra Firma","bfmKg8cM4PUytKqR0ASyqLITyOqjjfaCPbrDEdiP7U8"
"908","5147","#QCYJQPUQ","elMaryachhi","172","172","11","#2UJ9CGJ8","BornToKill","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"909","5147","#9QU9GYJG","rose","185","183","6","#88G2QC9J","mabait na clan2","8zYCCrBMh8UeQsF7ESLahyhZ29jEpZQ6zpAidtnGJ1g"
"910","5146","#G9LC20CQ","Miller","148","111","5","#Y2JQC0LQ","Casablanca❤️","vcYFZPx4U0lYJvPzu8FjfHzMfSCxEqzTI3lJAhBikhA"
"911","5146","#LGYQYGCC","Wayneee","136","164","14","#Q9YCPV09","王者","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"912","5146","#V2C8GJ2C","かず6611","157","108","5","#U0C802C","桜花--OUKA--","0p2mH4qsvF9qHUZ3yFmPFQtlV0XS1v_VKTpFRf3mNdM"
"913","5146","#2QRYU29J","saj","167","100","5","NULL","NULL","NULL"
"914","5146","#9JL0G9VY","McLincoln 2","173","172","18","#Q08G02C0","Freedom Tower","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU"
"915","5146","#98RP22QP","Walzz","136","143","12","#2U00G8J0","Filipino Legend","XJp3CtBRdB4GbkvxxxJpAnBOCkL5SwB8qNc9feBg538"
"916","5146","#Q9PUP208","ercan","155","153","11","NULL","NULL","NULL"
"917","5146","#Q9JVQRL8","GARY AE","240","167","8","#CLP2G0P","LEYENDAS AE","g_sTtkTXZdzLkrzHovOM04fEanzRmtc_FrQLQSeE1kk"
"918","5146","#JYCVPRCP","⚡️✨carlo✨⚡️","191","146","6","#9UPPC2PP","coolest clan","N0-0A9MU2iS84X0n4hDnN8as1kXz9wJCFcP30dnulT8"
"919","5145","#LR9Q9GCJ","スティーブ","150","220","6","#8YU2RLLV","株式会社ユニバース","GaIhguUs1M56FWey842b52JwlPIdCQh9pU3mEYgJGlw"
"920","5145","#LC8LVLLL","ㅋㅋ","145","160","9","#9JLGLV0V","대한민국","MKDWb2BV1gSGTb5mCcOLEsAbn3pj9kcP1zkQnBzWtT0"
"921","5145","#VGGPLY90","まさやん","159","463","12","#P2J0QLRU","ブレイカーズ","xNsz5ZET5EYhbjZe70Lr-AkLqZiWtS7Wnql05N5uHQE"
"922","5145","#PLLVC0JG","wu","151","179","8","#9JCUY2YJ","124光年✨天枢✨","sCj8-4vKRxeff7hskIDBfuUFTSGnOlbAT51omTadcZY"
"923","5145","#UQLJQ0R2","フクオカさん(・∀・)９","129","117","8","#2JCU9C8P","誉〜HOMARE〜","7Siliur18v1CGpXz2bnd3T6Dcenpw1PjWqIkzsVI3eo"
"924","5145","#YC9U9928","◡̈⃝WS","135","141","18","#2JCU9C8P","誉〜HOMARE〜","7Siliur18v1CGpXz2bnd3T6Dcenpw1PjWqIkzsVI3eo"
"925","5145","#PRLYCVLU","니케오라","155","239","18","#2P0YJP9G","49%","agr1Cy6wuAwSSGkLpZT18aUem8PnLb7ZU1Df_KAS2tU"
"926","5145","#2L8RJ0UY","ゆうた","145","135","6","#9J99PYRL","CLUB ONLY","Yafe6MmAlMuwti0JKKcQJWJVHRCL9_FfKpVZJJD-xZs"
"927","5145","#299CPUGL","極悪倭文ヤス","153","122","3","#P29YPCJU","倭文組","e1VRvDtsd-fA2Stvc4VsJWYAvld9mYGTSkff_260Av4"
"928","5145","#80LG9V8J","WiFi x Smasher","149","66","11","#9GJGLRLG","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"929","5144","#VG8U9LY8","極秘胸毛一門☆やす☆サロンパス","144","164","11","#PLPR0RU2","誉〜cantera〜","7Siliur18v1CGpXz2bnd3T6Dcenpw1PjWqIkzsVI3eo"
"930","5144","#VG2JR802","Abhour","187","94","7","#8LJJCLUJ","الخليج","fvoF2pJTtXkG7nzx6jWYwQPbK_KyECrRV8z7Mt2KRT0"
"931","5144","#G8QPLUCC","!-+zeezo+-!","174","103","17","#9LJVRV2L","Incendere","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"932","5144","#CUQRJRVQ","双頭ディルド","137","123","8","#Y8L9JVUP","LA・PU・TA","EAbNglFBoHYZVEw2IWbcZ22F-YR2IKF9FeRi_LS9Bq8"
"933","5143","#22RQYRGC","Up in smoke Pie","175","101","15","#YRUYL22","Quantum's Web","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"934","5143","#L8GU0JPY","しんちゃん.com","163","160","11","#P2J0QLRU","ブレイカーズ","xNsz5ZET5EYhbjZe70Lr-AkLqZiWtS7Wnql05N5uHQE"
"935","5143","#Y0LLLL2L","하데스","153","89","6","#8LQJRPQL","KOREA 14기","GM8oUGe4-5iBaqYJYDcImI-iUPbnr_p3y_qzs8oqoy4"
"936","5143","#V8GQ8RQC","Ironman","141","295","98","#8RYVCJ0","KickAssAT™","LP2BVgoVdSRw0Z20bNK5rVvKDqH14JT6DrQeipf4ge4"
"937","5143","#229QYPRV","gege01","155","86","21","#V9L9UG8","FRERES D'ARMES","OscKpo3KQ0Ii4j9otJvPLlGO4dz9CahFo-cnzZUGHPg"
"938","5143","#VGJRJG2Q","태양","133","405","69","#22V88GYV","Korea Gold","qKf1UVr4_Ljd4aKYaz-No_l7vkD741R_tih6XwP8Czo"
"939","5142","#Q2RCCPVY","Hamed","159","159","10","#299V0VG","ما همه يه نفريم","OnyoVzsqn5OaD1w8kiki9N4Z_fVD5RkueWVuq1gkKiE"
"940","5142","#8JV28VUG","Dreythan","169","158","8","#UP0080R","Indo Eternity","xUo2kMu1WXvJWD3UCP4xxKs23-EIfz2TCiXmSnkRUTY"
"941","5142","#RRVJ2Q9R","まさ5988","150","134","11","#LQUPQJV","焔舞Strategy-常勝-","PeXKa-im4BPhb6-nIscEweA6oxlMxItcTHqFv1TB5eQ"
"942","5142","#8PGC89CL","dawoud77","174","97","12","#2QYVVVR0","LATAM TEAM","Z2OqgY6eNST05cLYqniJQTYdrwwG-GKOZvrW26SKt18"
"943","5142","#229GLPRUP","$$MR.CASH$$","141","111","9","#9UV8YC2C","WE/ARE/LEGENDS","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU"
"944","5142","#LYRU89QJ","Odin","167","107","10","#CRQC2L9","dostlar meclisi","g_sTtkTXZdzLkrzHovOM04fEanzRmtc_FrQLQSeE1kk"
"945","5142","#U029J8J","ChEmY","159","146","11","#209LUY2V","Marca Peru 3.3","KzIU29xI4JPcMNvnYutkMivV9XgQTZEwFnUY9jRRKtw"
"946","5142","#Y9PPV2G","dieu","147","150","5","#PCG9G0L2","Come & Take It","JMe3SPkziLGyLOd7WgIqVokwUa4BLvWlE-jI7WSj_00"
"947","5142","#UVRL2J90","Gangsta-T","141","142","17","#9QVGVUU0","UNDERGROUND","N3RDI6oRKwVJ2AWiqT_LtnDOlqscDS-D3dy7x4DQDzA"
"948","5142","#G9YJPQ29","dxb","146","143","10","#9L2VP828","Kings Throne","8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y"
"949","5141","#2U98V982","Gabriusk","169","143","6","#9GJGLRLG","MEGA FAMILY","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"950","5141","#JJQJUCV0","ALEX(naxitovice","156","172","11","#GJ90YQC","Team Carnaza","GM8oUGe4-5iBaqYJYDcImI-iUPbnr_p3y_qzs8oqoy4"
"951","5141","#PYG9V0P8","Timberman","173","138","3","#YPU02G9C","Anarchy Inc.","VNKjK5xu_cPgeUdQqpuOzBgJQSF2ha0TdWlbgv3i5Bk"
"952","5141","#GY0RCLV8","xxYANxx","153","95","9","#9C9G2CUP","〆vergnuegen 〆","xSnvNNmWGEX12SBe1kmk980elitUQ-lL8mDYkAK6Ncg"
"953","5140","#PQRV8CVQ","HoSsEiN lll","145","302","0","#299V0VG","ما همه يه نفريم","OnyoVzsqn5OaD1w8kiki9N4Z_fVD5RkueWVuq1gkKiE"
"954","5140","#Q8GPYG0U","Zenkichi Kojima","144","158","7","#8RGUC909","Xzibit PH","FDwK67NjcQZcOR9OBlqOkx0YjvF2X1pHhVAcdjZMj8Y"
"955","5140","#2C2LP9Q2","AlAn Wu","150","194","10","#80CY9R0V","台灣之光","FZwJEOBTPtByJDhxEE33iSBK8O88DOyKiiF7Ehg1i_U"
"956","5140","#2P0C89G8J","Queen","130","68","6","#2JLQL2LJ","Р У С С К И Й","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"957","5140","#RJVGU99C","terminator","147","84","6","#PYY0829U","moselfranken","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"958","5140","#22CRJG9Y8","ゆうき","138","282","9","#P8RQQ0LC","ゴリサン25","785cxXU5e-ulxWoqSLeUEynsbsNm0dFTSlTNGinvFYs"
"959","5140","#9PLLR0G8","jjang","154","90","10","#928J9GCP","대한민국•KOREA","SeshZACsOz6tLJ6BRuxDTUtg4tE4fABKfFI5B8BrOdc"
"960","5139","#99R2YVY2","jasonwilltan","184","135","4","#QVCG0RU","Indo LEGENDs","16MOu7WWzc55LnHXLsS3c1K9_PfOg0EUG_oJYJPfzGw"
"961","5139","#G2G8P0VV","boy fong","150","212","12","#20C00JL0","Indo Celestial","Vkb2fIWKckINbfReHrir5TLyIP6-54M20sz_ZnrcPSA"
"962","5139","#2JUL0VY2","御赐封号小包子","164","124","5","#Q9YCPV09","王者","owgIylfqmkTMSMHIWrm2MaguQ-t7LdElfJhc2nHxl2c"
"963","5139","#8Y9L9L9P","Sith Lord","148","174","12","#89UYGQC","VieT cALi","Z7P6nCQ1FEK1GqOw9_D18m8AJF2xJF61aU46Jz8sQUs"
"964","5139","#99U8Y9QG","Binkhalifa92","134","187","5","#20LUV8UQ","التوحش","OnyoVzsqn5OaD1w8kiki9N4Z_fVD5RkueWVuq1gkKiE"
"965","5139","#QLCUGQRU","khalid alkindi","148","145","7","#2UL20P8L","درع الجزيرة","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"966","5139","#2R88QRCP","" GOD "","138","147","10","#9YPJV20G","UNITED WE STAND","Kg46POhVdXaHUCv0tIvHqHfy0Beq7EZlNF_NCGJz5cM"
"967","5139","#LPJ02PGJ","fey","168","119","10","#PCG9G0L2","Come & Take It","JMe3SPkziLGyLOd7WgIqVokwUa4BLvWlE-jI7WSj_00"
"968","5139","#9RQ0QRY0","임프","148","159","4","#8CVQ9YJL","United Of Korea","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU"
"969","5139","#9PJC0QV2","mayood","155","120","3","#GU8LP2P","روح الاتحاد","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY"
"970","5138","#G28Q9YJC","Rj ㄴㅅ개ㅜㅎ","179","96","6","#2U00G8J0","Filipino Legend","XJp3CtBRdB4GbkvxxxJpAnBOCkL5SwB8qNc9feBg538"
"971","5138","#QY99QUPY","IMMAGIN","165","163","8","#PCG9G0L2","Come & Take It","JMe3SPkziLGyLOd7WgIqVokwUa4BLvWlE-jI7WSj_00"
"972","5138","#RGYQP9RG","FIFTY 029","171","108","6","#8G8RLYUJ","anarbest","DAt3F4VShTIS5aSa_I7FJ8uBZNw914CUaeoSAvN17Sc"
"973","5138","#Y8URP2LY","cesar","159","148","10","#2LLPU29P","LOS SOLIDARIOS","FZwJEOBTPtByJDhxEE33iSBK8O88DOyKiiF7Ehg1i_U"
"974","5137","#RG9LQUL9","samar","143","214","5","#UQLUR0R","السعودية","3lrYN4w8AhMvMDhQmcM7iNQIxncW-iIbGxUK9hqy4ME"
"975","5137","#G92RP29P","SINA.FZ","136","153","5","#209202YR","PERSIAN HUNTERS","SR0L_wDL7FWMZTUiKah_YcsBMnTVQSM2nE7MnPsNUgs"
"976","5137","#Q8G8YJCJ","♡ⓊⒶⒺ♡ᶠᴬᶻᶻᴬ","146","161","7","#JCUGRC0","نبض زآيد","YQo-xhjJ9o-1DRBNwMf4ryoN7Os7b4E_e9OdDqFdM2s"
"977","5137","#GYQYRY2R","Satan","150","93","12","#9JYU2U00","대한민국No.1(코리안좀비)","fO7W0PZBZDofV70rlDdRfVQ7DRks8icmxRViCh4SSA0"
"978","5137","#CURG9YYQ","♪あっきー♪","130","144","4","#2V8PUL28","戦場の絆","Z5f15B3vFJThAoECsiugsv2uaaflwp4K-tySPgkaXu0"
"979","5137","#20LLQCCRU","naiyf_sa","146","196","18","#PYQGL2PP","#Swwag~ 2","uY-JPMc6U1CKgrb7pvjhf3cRLIqmIpnYIqQZe3BLCMQ"
