"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","townHallWeaponLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","wallWrecker","battleBlimp","electroDragon","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"119693","5146","#2RRYCV2Y9","✨Sr Comandante✨","140","220","6","#QLY8L2RY","D-E-M-E-N-T-E-S","zXapupWU15RdoxcdXvRijLWIqk5JBANcBhInEEK80qc","5305","2866","8","NULL","7","1084","583","509","2018-07","93723","5224","2018-08","119693","5146","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","14","13","12","12","12","NULL","12","1","12","12","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","10","11","150","8","3293","1","1024726541","1074275555","5305","4","87106","7624","18656","8520","198","143129","11468","7556243","22","3756","1163","583","116661058","347","3112","1","7","1","1083","2866","2","1","7350"
"136486","5103","#LYPP0V22","NU-MA","203","189","0","#2VUQ8LJV","Elite Muffins™","kjWcCTqQwUaIUP6Tw0mSFnryKRHAwsRxsmT3BOFeQOI","5109","5165","8","NULL","8","1644","2888","103","2018-08","136486","5103","2018-08","136486","5103","2018-02","4606","5049","2018-08","41132","4662","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","16","16","16","16","16","16","16","16","16","1","NULL","NULL","NULL","3","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","25","11","153","8","5933","1","601063981","694098351","5109","4","47139","6468","11334","7180","931","642339","8119","3626492","22","1710","247","2888","300005961","44","3552","1","8","1","2350","5165","0","1","3595"
"157142","5054","#90C8QRR0C","✌✌Rey Alan✌✌Py","138","118","2","#82CYUUYR","noobs legendary","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","5257","4417","8","NULL","8","2237","893","918","2018-06","93751","5166","2018-08","157142","5054","2018-08","181343","4352","2018-08","181343","4352","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","15","14","14","14","13","6","14","12","13","12","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","17","11","150","8","4979","1","637764512","710928288","5257","4","54039","3585","11799","3956","66","115967","7386","4911822","22","2136","433","893","124791771","124","7358","1","8","1","2709","4417","2","1","39045"
"162939","5042","#9Q8CP0V9L",".BLACK TH8.","118","212","2","NULL","NULL","NULL","5196","2522","8","NULL","6","526","525","219","2018-05","146885","5131","2018-08","162939","5042","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","12","12","10","11","5","NULL","5","NULL","12","12","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","7","11","150","8","3186","1","689272993","754262695","5196","4","51857","4209","12789","4637","78","60494","8020","5102033","22","2469","657","525","54613495","252","1545","1","6","1","534","2522","2","1","2725"
"169220","5029","#20Y9J0ULJ","天堂.地狱","125","123","1","#V8CVV8UV","问鼎-卜算子","N3RDI6oRKwVJ2AWiqT_LtnDOlqscDS-D3dy7x4DQDzA","5344","3450","8","NULL","7","610","1033","1133","2018-06","82308","5208","2018-08","169220","5029","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","14","12","12","8","10","NULL","1","NULL","12","10","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","5","11","153","8","2643","1","904965289","938152270","5344","4","83389","5060","14653","5273","602","75966","7564","7539618","22","4282","1132","1033","101198258","382","759","1","7","1","673","3450","2","1","3250"
"176101","5015","#99RLYPY9G","CR JHON DAKOTA","99","148","0","#222U2YP2P","los titanes","tsbNDyZqWrKKI1EkE3OG35KUf2lGZgdOUm0Lq5PhrvE","5167","1837","8","NULL","5","255","563","104","2018-06","121491","5079","2018-08","176101","5015","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","8","8","7","8","8","NULL","NULL","NULL","8","NULL","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","NULL","11","6","8","934","1","311902065","356514569","5167","4","16332","1355","4872","1550","276","33421","3324","1803900","22","551","122","563","92885965","42","520","1","5","1","330","1837","0","1","15650"
"181784","5004","#PV0QUJRVQ","Isabel 1","98","234","11","#LQ2QJY0U","EMBARCADERO 503","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI","5046","2325","8","NULL","6","654","407","4","2018-08","181784","5004","2018-08","181784","5004","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","10","10","10","10","4","NULL","4","NULL","10","7","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","7","11","110","8","1014","1","259294076","277605125","5046","4","18382","1655","5135","1850","107","25740","3565","1622664","22","739","95","407","74983046","18","341","1","6","1","645","2325","1","1","39735"
"186382","4994","#8JUV9GV0Y","✨[C]erberus✨","119","148","1","#P08JL9Y","Cyprus Elites 2","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI","5007","2317","8","NULL","6","506","507","0","2018-08","186382","4994","2018-08","186382","4994","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","10","10","10","10","10","NULL","10","NULL","10","1","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","5","11","99","8","2128","1","553599533","631406541","5007","4","42706","3203","9746","3506","521","93561","7060","3943684","22","1899","312","507","48528970","94","2639","1","6","1","690","2317","1","1","16420"
"194697","4972","#9YVRLR9JV","New Generation","126","100","0","#8RQUGGLG","Sentencia IF.","ntUwhCl_OD6rpUkHITP7Aa9ppiqiaH9h6aJR2kBG8sk","5203","3956","8","NULL","8","1738","472","153","2018-06","147378","5013","2018-08","194697","4972","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","14","14","14","16","15","NULL","16","14","14","14","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","20","11","133","8","2146","1","467067281","481479271","5203","4","28935","2828","6651","2996","34","68831","4309","3426760","22","1490","594","472","100237975","240","3900","1","8","1","2389","3956","2","1","11330"
"203867","4948","#UPVG0PP","wafuraffy","95","107","1","#8P8V8G2P","SKYNET.PH","F-qfcP94wFHoFbw6GXyGCRyR4bwU1DrdgfC79EKkyxQ","5019","1767","8","NULL","5","197","248","0","2018-08","203867","4948","2018-08","203867","4948","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","8","8","8","8","7","NULL","NULL","NULL","8","NULL","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","NULL","11","109","8","1360","1","336653489","331547771","5019","4","17069","1492","4622","1724","257","14011","2804","1675950","22","744","207","248","41808094","74","760","1","5","1","193","1767","1","1","1625"
