"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","townHallWeaponLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","wallWrecker","battleBlimp","electroDragon","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"7358","5837","#8U28QP8L2","侠客一霸气","133","385","1","#Y2PRC9YC","问鼎","N3RDI6oRKwVJ2AWiqT_LtnDOlqscDS-D3dy7x4DQDzA","5841","3132","9","NULL","7","1073","267","1167","2018-08","7358","5837","2018-08","7358","5837","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","14","11","14","12","13","NULL","14","14","10","14","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","29","30","NULL","8","11","124","9","2591","1","1014139607","1030865842","5841","5","57150","4544","19128","6312","438","52464","10766","7672223","22","4445","1682","267","106559434","365","752","1","7","1","1018","3132","2","1","44490"
"10839","5759","#990G0V8CG","Albert","101","387","0","#PPRY0Y00","Savage 8.9","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","5785","1902","9","NULL","5","163","145","1178","2018-08","10839","5759","2018-08","10839","5759","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","8","8","4","8","6","NULL","2","NULL","8","NULL","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","1","11","150","9","2656","1","939183269","961404735","5785","5","16727","1877","16875","4266","43","18098","10877","5842540","22","3148","674","145","106536367","203","330","1","5","1","156","1902","1","1","10800"
"12216","5735","#8VYP809C2","支离破碎","159","376","2","#QUCQ8CCP","只愿为你死","IuD30W8lcoKfT3JwrVAesVApTmgMTPaNCJakp5FaaR4","5735","4082","9","NULL","8","1190","613","982","2018-08","12216","5735","2018-08","12216","5735","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","16","14","13","11","16","1","16","3","12","12","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","10","11","153","9","3462","1","1299006985","1283287813","5735","5","29068","3217","13376","4343","447","219391","10446","7058958","22","3246","340","613","169714631","56","3424","1","8","1","1309","4082","2","1","7100"
"12763","5727","#82CRGQGC","xtian","129","384","0","#9P2RQVPQ","Supersonic","Cwv049fhReK4-S_v8WWaSQvIm6a_eY7vluj02_YmPbo","5829","2611","9","NULL","6","534","94","2643","2018-08","12763","5727","2018-08","12763","5727","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","10","10","12","10","NULL","11","NULL","10","12","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","6","11","136","9","1442","1","763942590","737112305","5829","5","20094","3019","15451","5287","1191","69760","9289","4436946","22","1646","278","94","135143817","125","1020","1","6","1","559","2611","1","1","4540"
"14577","5699","#YCYCC9RG","Megative","147","279","1","#PPRY0Y00","Savage 8.9","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","5719","4119","9","NULL","8","959","862","1319","2018-08","14577","5699","2018-08","14577","5699","2018-05","555708","4028","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","16","11","10","10","16","NULL","14","NULL","10","11","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","5","11","153","9","3942","1","950855690","987564798","5719","5","38430","3178","16778","4855","1013","135590","11562","6193930","22","3575","611","862","171840777","81","3004","1","8","1","1112","4119","2","1","8125"
"16567","5670","#LQPQCVRJ","Troy","133","447","2","#828CJYRJ","Unfinest","be91HP9tshWOSRuDHt3FZl6Y5EKMtZZip5Wi3FEtGVc","5670","2590","9","NULL","6","814","870","1007","2018-08","16567","5670","2018-08","16567","5670","NULL","NULL","NULL","NULL","NULL","NULL","6","6","2","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","12","12","12","10","NULL","8","NULL","12","NULL","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","25","30","NULL","6","11","144","9","3891","1","734280852","750479833","5670","5","28644","3676","14289","4930","1126","81864","9280","4938318","22","2921","479","870","180521866","100","1308","1","6","1","880","2590","2","1","49160"
"21712","5611","#9VPJUUL0Y","VaHaP-ANtİFENeR","123","372","1","#RVQUQ82Y","QOSER-47","JVqVoGLkFwRRxN-Sl3qXivtDHshhhYbxizTAFh9L83A","5611","2599","9","NULL","7","510","667","611","2018-08","21712","5611","2018-08","21712","5611","NULL","NULL","NULL","NULL","NULL","NULL","5","6","5","6","5","6","6","4","4","4","4","5","4","4","1","2","NULL","2","NULL","12","12","12","9","7","NULL","9","NULL","12","12","NULL","NULL","NULL","6","6","5","1","1","3","3","2","NULL","1","29","30","NULL","3","11","87","9","2825","1","734914930","754757771","5611","5","11896","1493","8821","2672","667","49148","6797","4824672","22","2201","296","667","130520527","47","1302","1","7","1","397","2599","2","1","29910"
"22089","5608","#PUC8098Y","Clanzinho™","136","332","0","#98Q2PU0J","MEGA BRAZIL","vVaIdwIsRqEywyLpHQr7R5GnsYsgykEwAfjAhjFPbWI","5753","2889","9","NULL","6","521","824","2854","2017-03","17934","5394","2018-08","22089","5608","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","10","10","10","9","NULL","8","NULL","11","NULL","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","5","11","153","9","3383","1","1632730022","1638626833","5753","5","53404","5048","27851","8400","715","96882","19611","9736300","22","4753","557","824","130419164","291","1668","1","6","1","593","2889","2","1","2350"
"24430","5584","#2UJ89RVLV","Savage","145","530","1","#PPRY0Y00","Savage 8.9","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","5701","3751","9","NULL","8","1300","1108","614","2018-08","24430","5584","2018-08","24430","5584","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","14","14","14","14","12","2","14","1","14","15","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","20","11","153","9","5611","1","1321772050","1398317892","5701","5","31542","3956","20949","6017","565","103600","13131","8130606","22","4588","539","1108","187629661","84","1343","1","8","1","955","3751","2","1","7120"
"25050","5578","#2VRRQ80V2","lllLeoNlll","163","276","0","#G0R0GYJR","MMR","r31zEcxJX8aWDaE2D4mS80VdRVh4QapQ3_BM6FnbnDs","5621","2908","9","NULL","7","1509","1245","2388","2018-08","25050","5578","2018-08","25050","5578","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","14","14","14","12","NULL","14","NULL","14","14","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","29","30","NULL","10","11","153","9","4357","1","1156190877","1187535633","5621","5","43567","3784","22439","6511","48","246487","15682","7777459","22","3537","522","1245","165348560","161","5469","1","7","1","2168","2908","1","1","10450"
