"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","townHallWeaponLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","wallWrecker","battleBlimp","electroDragon","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"6013","5972","#2Q0Y0YJP9","※ Jąh Łovē ※","160","296","1","#YR2P8L9R","Anti Terrorisme","80Z8kgpKFcpmTpUeFppKiYl9bqDQAJse2ebXkePTKOs","5972","4362","10","NULL","8","1587","834","3213","2018-09","6013","5972","2018-09","6013","5972","2017-11","104535","4200","2018-09","442786","4110","7","7","6","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","2","16","16","16","16","16","NULL","13","16","14","14","NULL","NULL","NULL","7","7","5","3","5","4","3","3","2","NULL","38","40","NULL","15","11","83","10","4462","1","1240506567","1225301498","5972","6","31695","3004","13508","4030","698","124151","10517","6545701","22","5010","1423","834","292238471","436","3017","1","8","1","2084","4362","1","1","44350"
"8172","5908","#2CQC9UPLC","⚡AFRI⚡","144","204","3","#RJCYCU2",""DE-MELLOW 04"","tB5Xxc-UzzMYgMuKUoDhIY_Z_jW9cYK_u9NapLBZIiY","5908","2099","10","NULL","5","197","1224","2133","2018-09","8172","5908","2018-09","8172","5908","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","7","5","6","6","4","5","6","5","5","5","5","2","3","2","4","1","8","10","9","6","5","NULL","2","NULL","4","NULL","NULL","NULL","NULL","7","7","5","2","5","3","3","2","3","1","25","40","NULL","1","11","153","10","2381","1","814304698","858414884","5908","6","21914","2374","12416","3510","547","105347","8839","5438572","22","2552","485","1224","316640886","162","2117","1","5","1","134","2099","1","1","18105"
"9997","5860","#9RYYUC2J2","RADAR","145","267","1","#GJ9GL0C","wall faire","oU1OQrcCwSbdJoKpTxexGvGZFgOWo8LuK5tDcBMFOjg","5865","2980","10","NULL","8","775","372","1221","2018-09","9997","5860","2018-09","9997","5860","NULL","NULL","NULL","NULL","NULL","NULL","6","6","5","6","5","6","6","4","4","4","5","4","5","5","2","3","2","3","1","12","11","11","13","11","NULL","12","NULL","10","3","NULL","NULL","NULL","6","6","5","2","2","2","2","2","1","2","27","28","NULL","5","11","150","10","2471","1","1093103431","1140004964","5865","6","21884","2981","14784","3995","418","111835","11320","6154898","22","3758","1115","372","214097360","336","3447","1","8","1","952","2980","2","1","23250"
"10939","5841","#9QLC0P0Y","⭐ ربيع العنزي ⭐","153","269","0","#9J0VVJLR","974 Destinée","w-s_7qXZ4oqDt7XI1IE-n00hfUjU_Rf2637oidCywjk","5952","2559","10","NULL","6","1045","674","841","2018-09","10939","5841","2018-09","10939","5841","NULL","NULL","NULL","NULL","NULL","NULL","7","7","7","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","12","12","12","12","12","NULL","12","NULL","12","12","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","3","40","40","NULL","10","11","150","10","2359","1","1632755002","1655449862","5952","6","50989","5814","20499","7136","2500","104420","14624","9302559","22","6210","2027","674","243110890","352","1472","1","6","1","1357","2559","2","1","2950"
"10965","5840","#92V8GJP2R","Erwi✌","138","217","1","#CVRYV00V","Mèxico Elite","3lrYN4w8AhMvMDhQmcM7iNQIxncW-iIbGxUK9hqy4ME","5861","2557","10","NULL","7","544","503","1247","2018-09","10965","5840","2018-09","10965","5840","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","7","5","6","7","4","5","5","5","6","5","5","2","3","2","4","2","12","9","8","10","11","NULL","9","NULL","9","12","NULL","NULL","NULL","7","7","5","3","3","4","3","2","2","1","34","40","NULL","5","11","150","10","3029","1","1155893944","1181939865","5861","6","19628","2602","14967","4073","235","47837","11386","6743189","22","5219","1331","503","222766400","167","871","1","7","1","662","2557","1","1","15860"
"11774","5825","#2U0YLR2L9","Jiyanaminn","150","167","3","#8U9V2V9R","#ASİLER#","qbsMWEQblm0kS91g5BLa89LbQYr2dIg1LH41PhCpK98","5922","2988","10","NULL","7","1224","334","1509","2018-09","11774","5825","2018-09","11774","5825","NULL","NULL","NULL","NULL","NULL","NULL","7","7","7","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","12","13","14","14","12","NULL","12","NULL","14","14","NULL","NULL","NULL","7","7","5","3","4","3","4","4","1","2","40","40","NULL","10","11","153","10","3651","1","1598021121","1659891417","5922","6","30175","3745","18197","4792","843","96212","13296","9658150","22","4789","950","334","195167398","122","2295","1","7","1","1584","2988","2","1","8165"
"12313","5815","#9QPGCCJG0","KabusS49","157","299","0","#8U9V2V9R","#ASİLER#","qbsMWEQblm0kS91g5BLa89LbQYr2dIg1LH41PhCpK98","5889","4480","10","NULL","8","2830","540","1083","2018-09","12313","5815","2018-09","12313","5815","2018-09","255374","4261","2018-09","255374","4261","7","7","7","7","6","6","6","4","5","4","6","6","5","5","2","2","2","4","3","16","16","16","16","16","14","16","14","16","15","NULL","NULL","NULL","7","7","5","3","5","4","4","3","3","2","40","40","NULL","21","11","153","10","3878","1","1501092600","1550143378","5889","6","38310","4535","23055","6829","339","77839","17131","8405138","22","5909","1808","540","258289597","389","1710","1","8","1","2903","4480","2","1","42450"
"13476","5794","#2LJJYR2JY","Fhajar . F.S","158","241","1","#P2RGQPL9","borneo kingz","gleInU799fdmj_-HlZa1CUqDbBhS2NwaV-5Of4g5ngs","5884","3040","10","NULL","8","867","809","1817","2018-09","13476","5794","2018-09","13476","5794","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","7","6","6","6","4","5","3","6","5","5","5","2","3","2","4","1","3","7","7","8","1","1","8","1","13","14","NULL","NULL","NULL","7","7","5","2","2","3","4","2","1","1","30","28","NULL","5","11","150","10","4046","1","1462441468","1557880722","5884","6","32741","3798","24346","6609","251","158812","16265","8303804","22","4470","1060","809","284713065","336","3921","1","8","1","1182","3040","3","1","3875"
"14908","5768","#P802G989Y","Beowulf","166","257","0","#299009P",""InvictusTeam"","NWLu1KNpLOp7H1tfrRU7tMGG_1iMwkZI6Wu-2mGiOi8","5842","4280","10","NULL","8","3065","353","3901","2018-07","7117","5842","2018-09","14908","5768","2018-03","326851","4163","2018-09","365827","4164","7","7","3","7","6","6","7","4","5","5","6","6","5","5","2","3","2","4","1","16","13","16","16","14","9","16","16","14","14","NULL","NULL","NULL","7","7","5","3","2","4","4","4","2","1","40","40","NULL","15","11","153","10","2374","1","1404611329","1469272411","5842","6","31925","3696","20884","5783","121","159365","14807","10694288","22","6404","2587","353","216768787","423","5898","1","8","1","3796","4280","3","1","39325"
"15090","5765","#PPVV8UQL9","Empire sami","134","447","0","#PRYQYUQ9","BD 1971","SXhkUzBXQYmOYP0gFuFAbgDpVhJ8qyQ-zAZxrEogrlY","5790","4067","10","NULL","8","1558","397","765","2018-09","15090","5765","2018-09","15090","5765","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","5","4","5","4","5","4","1","2","2","4","1","16","16","16","16","10","NULL","7","14","14","16","NULL","NULL","NULL","7","6","5","2","1","2","3","2","1","NULL","26","36","NULL","13","11","87","10","1680","1","814857038","911108919","5790","6","19387","2356","11764","3058","134","43064","8658","5664707","22","3386","704","397","152873837","120","864","1","8","1","1907","4067","1","1","23330"
