"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","townHallWeaponLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","wallWrecker","battleBlimp","electroDragon","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"101654","5223","#9GL20U089","M`URAT Ş`AHAN","143","151","5","#C2YV2QYY","___ELBİSTAN----","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw","5238","3900","8","NULL","6","1639","983","253","2018-09","101654","5223","2018-09","101654","5223","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","12","12","12","12","12","NULL","12","NULL","12","12","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","10","11","153","8","3618","1","853208560","882742484","5238","4","49976","4005","13217","4656","423","189042","8871","4792557","22","2058","337","983","100038760","88","4504","1","6","1","1458","3900","2","1","11785"
"120772","5163","#LYPP0V22","NU-MA","204","178","0","#2VUQ8LJV","Elite Muffins™","kjWcCTqQwUaIUP6Tw0mSFnryKRHAwsRxsmT3BOFeQOI","5177","5165","8","NULL","8","1725","2964","266","2018-09","120772","5163","2018-09","120772","5163","2018-02","4606","5049","2018-09","35683","4679","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","16","16","16","16","16","16","16","16","16","1","NULL","NULL","NULL","3","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","25","11","153","8","6011","1","632809753","723431067","5177","4","49011","6646","11681","7359","931","652608","8267","3831570","22","1797","277","2964","310801304","51","3696","1","8","1","2467","5165","0","1","3695"
"155216","5075","#QPQ9UPRU","Y0Shi","105","375","0","#P9CJC2GG","Abstract Shot","aIgTBaGxdHglhWv5cK0Hl7L6f5rWLNhwXW1vVR49OIg","5080","2303","8","NULL","6","376","704","75","2018-09","155216","5075","2018-09","155216","5075","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","10","11","10","9","9","NULL","2","NULL","10","5","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","4","11","150","8","3612","1","375702466","390605373","5080","4","26116","2067","6816","2418","892","27069","4522","2221110","22","950","197","704","66151184","17","409","1","6","1","298","2303","2","1","1175"
"167027","5048","#PVPYUJ0L9","阿尔法丶何大胆","89","605","1","#90G8PC89","阿尔法部落","h6Fz1Q0Oo1CqZoza3S_ej1BJd9oy0WhTsn9FxMcMF3g","5068","1518","8","NULL","5","90","286","48","2018-09","167027","5048","2018-09","167027","5048","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","8","8","5","5","1","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","NULL","11","6","8","921","1","374093771","411796581","5068","4","16095","1669","5184","1804","113","4987","3498","1777754","22","771","245","286","35165623","31","110","1","5","1","64","1518","1","1","24700"
"178324","5024","#YY2GLGRGY","MIGUEL TH8™✅","89","249","2","#8J2UY0R2","MasterChampions","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","5032","1385","8","NULL","4","52","107","24","2018-09","178324","5024","2018-09","178324","5024","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","8","4","1","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","NULL","11","12","8","1379","1","288287926","285844075","5032","4","9816","1056","3358","1323","48","10251","2389","1193270","22","454","76","107","30424263","21","438","1","4","1","37","1385","0","1","10040"
"181430","5018","#90C8QRR0C","✌✌Rey Alan✌✌Py","140","102","1","#82CYUUYR","noobs legendary","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","5257","4417","8","NULL","8","2441","946","936","2018-06","93751","5166","2018-09","181430","5018","2018-08","181343","4352","2018-09","470003","4090","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","15","14","14","16","13","6","16","12","13","12","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","18","11","150","8","5149","1","652957027","725521336","5257","4","55030","3686","12006","4059","67","120674","7449","5037125","22","2186","462","946","124791771","129","7705","1","8","1","3056","4417","2","1","47405"
"189146","5003","#99RLYPY9G","CR JHON DAKOTA","102","118","1","#YQYV8VY8","Orion Bonanza","FoeBKgf5I2Ow7tbVKhmqr9BDn1y0i-jXkQ8rMZaUr7g","5167","1837","8","NULL","5","265","632","107","2018-06","121491","5079","2018-09","189146","5003","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","8","8","7","9","8","NULL","NULL","NULL","8","NULL","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","NULL","11","6","8","955","1","333685640","377456584","5167","4","17504","1471","5118","1669","277","35682","3426","1954223","22","606","145","632","105928186","55","627","1","5","1","347","1837","0","1","16535"
"191928","4997","#20Y9J0ULJ","天堂.地狱","125","109","0","#90G8PC89","阿尔法部落","h6Fz1Q0Oo1CqZoza3S_ej1BJd9oy0WhTsn9FxMcMF3g","5344","3450","8","NULL","7","610","1033","1133","2018-06","82308","5208","2018-09","191928","4997","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","14","12","12","8","10","NULL","1","NULL","12","10","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","5","11","153","8","2661","1","920150364","953593568","5344","4","84379","5170","14823","5383","602","76119","7631","7662695","22","4321","1163","1033","101198258","393","762","1","7","1","673","3450","2","1","4350"
"195140","4989","#2RRYCV2Y9","✨Sr Comandante✨","142","240","1","#CJCCGV9R","☆TH8☆WAR☆LEGEDS","ogJ2DGLZ64uW1EvAdZh9wXqITLjOrWNV-P3lLphBEZ4","5305","2930","8","NULL","7","1124","612","509","2018-07","93723","5224","2018-09","195140","4989","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","14","14","12","14","12","NULL","12","1","12","12","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","10","11","150","8","3387","1","1052940539","1105097729","5305","4","89511","7861","19007","8761","199","147305","11626","7810665","22","3843","1229","612","116975709","369","3237","1","7","1","1103","2930","2","1","7650"
