"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"211142","4998","#2PUQQGY2G","chato","148","106","0","NULL","NULL","NULL","5078","2261","9","6","279","1258","0","2018-05","211142","4998","2018-05","211142","4998","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","10","8","12","9","1","6","1","10","9","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","3","11","153","9","5699","1","977310059","1118464437","5078","5","48932","5490","17448","6249","698","150324","13420","7376400","22","5001","1070","1258","229126585","151","2390","1","6","1","294","2261","2","1","4450"
"212355","4996","#8JY9RPLLL","{(ارتش})","162","135","1","#G8VR2UV9","اتحاد گرگ ها","56e9gLts7yq_X2m_oEFMI-1uY4Y6Y4OYprbs3-2UoHU","5684","3035","9","6","853","1259","1326","2018-04","30961","5681","2018-05","212355","4996","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","12","12","12","11","1","11","1","12","12","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","10","11","153","9","3925","1","1202694988","1235586219","5684","5","21144","3078","19059","5144","249","252152","12830","7581919","22","4194","920","1259","168396968","141","5888","1","6","1","956","3035","2","1","915"
"212702","4995","#82QCPVVU2","Mhd Rizwan","144","194","0","#2J9PVQUQ","Sulawesi Utara","4-dZgA748bIRkM8DocIbWj8X8h54dpqlV_KbESJZhUk","5003","2580","9","6","689","563","0","2018-05","212702","4995","2018-05","212702","4995","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","10","10","12","10","1","12","1","11","9","6","6","5","2","1","3","3","2","NULL","1","13","21","NULL","5","11","111","9","1711","1","735390663","737428299","5003","5","20118","3592","11474","4379","587","161432","6411","3025485","22","1830","200","563","144147014","26","3442","1","6","1","791","2580","2","1","18000"
"212817","4994","#2C99RJ0G0","Christian","111","255","1","#P9CJC2GG","Abstract Shot","kEAc6G2FNE2Q3BIysPm0ENGCyRhlmG4aa8VrmGtW2So","5004","2425","9","6","671","252","0","2018-05","212817","4994","2018-05","212817","4994","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","6","5","6","6","4","4","4","3","2","4","3","1","1","NULL","1","NULL","12","12","9","10","3","1","7","1","12","4","6","6","5","2","1","1","1","1","NULL","1","12","10","NULL","5","11","153","9","2768","1","314997974","399161408","5004","5","16476","1444","4763","1743","356","15128","4012","1818579","22","1056","195","252","81820635","43","334","1","6","1","544","2425","1","1","14730"
"212911","4994","#98VQRQ8CP","⚡⚡Prince Sandip","161","165","0","#R8LQP0R9","CLANE DISTROYER","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY","5130","4017","9","8","1375","1027","6","2018-04","208096","5006","2018-05","212911","4994","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","12","16","12","10","1","10","11","14","15","6","6","5","2","1","3","3","2","NULL","1","28","30","NULL","12","11","153","9","1111","1","914575028","1048742965","5130","5","44259","3806","13969","4392","124","240240","11510","7878805","22","4230","713","1027","225427815","63","3110","1","8","1","1688","4017","2","1","13510"
"212970","4994","#8L08RJPJV","✌ANGEL 7✌","142","246","0","#YV0P8PVY","Rivera","0p2mH4qsvF9qHUZ3yFmPFQtlV0XS1v_VKTpFRf3mNdM","5132","2933","9","7","900","779","83","2018-04","172750","5083","2018-05","212970","4994","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","12","12","12","12","1","12","1","12","12","6","6","5","2","1","3","3","2","NULL","1","17","29","NULL","10","11","105","9","2893","1","810740513","871350209","5132","5","32051","3295","12876","3743","306","137379","9652","5683126","22","3249","649","779","169632313","106","2673","1","7","1","1097","2933","2","1","27120"
"213152","4994","#28GQR8JQU","vlad","188","97","0","#PLU8JQGJ","Каратели","FEqHVsUnwRzycpCJjeZuj7HYD4u7BN6s9xyOAKc-44Y","5069","2649","9","6","957","1869","25","2017-05","100350","4957","2018-05","213152","4994","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","11","11","12","12","8","1","12","1","10","12","6","6","5","2","1","3","3","2","NULL","1","25","30","NULL","7","11","153","9","946","1","1035248182","1078161104","5069","5","31301","8358","15630","8658","147","448412","9749","7581332","22","4476","496","1869","278121401","119","6063","1","6","1","1193","2649","1","1","22365"
"213328","4993","#9L0G22YJV","dipe$","141","317","1","#YYP00CGP","ECA Nepal","3BhL3JPqzF-UGhbY8ddbbBPbcrsPWSZ7jevXoRLzPqw","5024","3920","9","8","2045","673","0","2018-05","213328","4993","2018-05","213328","4993","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","14","14","14","12","10","1","3","1","16","13","6","6","5","2","1","3","3","2","NULL","1","27","30","NULL","13","11","140","9","3216","1","1252838787","1349775671","5024","5","23232","3167","13772","4362","312","99875","12318","5963919","22","3146","496","673","148238157","51","1884","1","8","1","2054","3920","2","1","9510"
"213433","4993","#RCLV99YC","sack","121","144","0","NULL","NULL","NULL","5313","1263","9","4","68","745","67","2018-04","179531","5067","2018-05","213433","4993","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","6","6","4","4","1","1","1","1","1","1","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","NULL","11","153","9","3975","1","914230108","949805729","5313","5","20608","1856","13127","3577","1404","48557","7442","4869578","22","1621","153","745","160023991","40","1346","1","4","1","59","1263","0","1","3025"
"213474","4993","#8P28VYVUP","Traficador","127","208","0","#RGV820LU","Dragones wow","g_sTtkTXZdzLkrzHovOM04fEanzRmtc_FrQLQSeE1kk","5019","1738","9","4","233","524","0","2018-05","213474","4993","2018-05","213474","4993","NULL","NULL","NULL","NULL","NULL","NULL","4","5","4","6","5","6","6","4","4","3","5","4","4","4","2","2","NULL","2","NULL","8","8","8","8","4","1","1","1","8","1","5","6","5","1","1","3","3","1","NULL","1","14","18","NULL","NULL","11","51","9","2655","1","638519269","691240781","5019","5","11591","2083","8105","2833","401","82699","6392","2798094","22","1675","374","524","140768676","40","2393","1","4","1","304","1738","1","1","6345"
