"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"66440","5418","#890UU0RCL","美丽唯爱.灵 .","143","178","0","#8RYVQ9RG","LOL. S5. 万岁","TCVeO_uMyQyX3OC7JSAYWRBkpkRe2j1bUgsiHms8y2c","5478","4000","8","8","777","1005","1245","2018-05","66440","5418","2018-05","66440","5418","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","14","12","12","12","13","1","14","3","12","10","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","7","11","150","8","3070","1","718684158","720678971","5478","4","31714","2996","11720","3934","271","187125","5473","3714012","22","1724","491","1005","116437170","179","5272","1","8","1","1029","4000","2","1","3500"
"95024","5289","#8JJ2PYY0G","RISHABH","117","199","0","#QUG8GGV8","RAJE CHATRAPATI","rs_ijK3wS9fJ9lzHo5pDu7mSdX3pf72znx8F6UOsBwc","5392","1984","8","5","220","998","458","2018-05","95024","5289","2018-05","95024","5289","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","8","10","10","8","7","1","1","1","10","1","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","NULL","11","48","8","2007","1","514843898","519404138","5392","4","38163","2418","7681","2653","247","93908","4953","3484161","22","1986","399","998","87321171","115","2160","1","5","1","241","1984","0","1","6025"
"98197","5277","#2J9Q2J8C2","Mr.Right","123","244","1","#90G8PC89","阿尔法部落","fG8lVXQps8kelphi71OJGZcK53x_O9ibpAcw0XylqS4","5311","2469","8","6","666","644","277","2018-05","98197","5277","2018-05","98197","5277","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","12","10","10","11","10","1","12","1","10","1","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","5","11","150","8","2951","1","507696444","526692918","5311","4","32139","3351","8628","3801","370","101507","4985","3319010","22","1357","362","644","100447178","100","3108","1","6","1","774","2469","2","1","325"
"103612","5257","#90C8QRR0C","ALEX","131","167","0","#82CYUUYR","noobs legendary","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","5257","3903","8","8","1763","751","698","2018-05","103612","5257","2018-05","103612","5257","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","13","12","12","14","12","2","14","10","13","12","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","13","11","150","8","4436","1","579108209","650259314","5257","4","49602","3213","11020","3575","63","95882","7018","4378429","22","1936","306","751","123553129","87","6062","1","8","1","2026","3903","2","1","14150"
"105903","5249","#990J2980C","WINNER GALAXY","133","173","0","#Q00P2UUG","WINNER Z GALAXY","SWcSuBwZEA2kBlCyGaOkWwoPJrLxl8usYPDDPSH2NWU","5307","1666","8","7","87","100","1233","2017-12","53112","5307","2018-05","105903","5249","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","11","11","10","11","9","1","6","1","8","4","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","NULL","11","153","8","4522","1","599899018","615035552","5307","4","44404","3051","8697","3368","145","169145","4580","4203042","22","2049","445","100","161242806","142","3763","1","7","1","68","1666","0","1","5850"
"106865","5246","#8PRLL0LJU","Manufaktur","103","128","2","#8JVQQ8Y2","Retaliation","agr1Cy6wuAwSSGkLpZT18aUem8PnLb7ZU1Df_KAS2tU","5246","3249","8","8","411","463","270","2018-05","106865","5246","2018-05","106865","5246","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","8","8","11","8","5","1","1","1","14","1","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","10","11","77","8","1761","1","351994710","354029721","5246","4","17581","1538","5957","1918","206","19331","3598","1885355","22","765","194","463","71658888","33","282","1","8","1","268","3249","2","1","1275"
"108351","5241","#8JLQ9G2VC","!Santa_Muerte!","130","167","0","#VLLPVPLG","✨El+[M]éxicano✨","JVqVoGLkFwRRxN-Sl3qXivtDHshhhYbxizTAFh9L83A","5255","3008","8","7","990","621","775","2017-12","94102","5132","2018-05","108351","5241","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","10","14","10","12","5","1","13","1","12","11","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","8","11","150","8","2662","1","574298419","587019880","5255","4","44515","3639","10991","3971","63","112600","5936","4538060","22","2494","803","621","116477315","256","4259","1","7","1","1307","3008","2","1","5455"
"109670","5236","#P0GPYJV2L","sari","99","270","1","#8G9UVC8V","padang bengkok","gleInU799fdmj_-HlZa1CUqDbBhS2NwaV-5Of4g5ngs","5236","2125","8","6","279","289","236","2018-05","109670","5236","2018-05","109670","5236","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","8","10","7","4","2","1","1","1","10","1","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","2","11","69","8","1111","1","334822011","392617261","5236","4","18897","1536","5717","1841","102","26364","3317","2098978","22","989","177","289","69398191","41","828","1","6","1","268","2125","1","1","11290"
"116627","5215","#8UG0LQUJY","神农架","141","243","0","#Y2PRC9YC","问鼎","H5yvAM08ZOilFKkIQJ8hg4F18eUfTkMw-jUHhhF2x1Y","5318","2465","8","6","592","1213","271","2018-05","116627","5215","2018-05","116627","5215","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","12","8","8","12","12","1","2","1","9","8","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","5","11","132","8","1135","1","889243870","980832328","5318","4","57159","5627","17999","6672","37","193986","10628","6160578","22","3248","520","1213","107093069","135","3286","1","6","1","786","2465","1","1","16600"
"122065","5198","#8VV0PPQ08","3R","156","95","0","#PCVVRQPV","Elite Eight™","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","5204","4964","8","8","1691","618","240","2018-05","122065","5198","2018-05","122065","5198","2018-03","22197","4910","2018-05","42275","4716","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","14","16","16","10","14","1","11","16","14","16","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","25","11","153","8","2582","1","528214632","557004312","5204","4","36135","2655","10117","3138","48","248112","5966","3320652","22","1463","318","618","196158964","106","9069","1","8","1","1767","4964","2","1","8465"
"123754","5193","#2VUCGG8G8","Ganesh","138","625","0","#G00VRR00","पिंपळगाव खांब@","76isSC140R-invOfNfomywrX38S-z_pvd6L2udpG61M","5210","4437","8","8","1594","1220","193","2018-05","123754","5193","2018-05","123754","5193","2017-11","125015","4150","2018-05","293738","4233","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","16","13","8","16","16","1","1","1","13","14","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","25","11","54","8","2279","1","863669425","976889185","5210","4","76852","5194","18241","6024","158","120661","11304","6729855","22","3548","586","1220","205676499","171","3448","1","8","1","2422","4437","2","1","14625"
"142001","5143","#20Y9J0ULJ","天堂.地狱","122","209","0","#8YVJYLCV","吸血鬼骑士","OnyoVzsqn5OaD1w8kiki9N4Z_fVD5RkueWVuq1gkKiE","5299","3450","8","7","596","1027","844","2018-03","83571","5291","2018-05","142001","5143","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","13","12","12","8","10","1","1","1","12","10","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","5","11","153","8","2492","1","821047764","852379815","5299","4","77210","4516","13715","4722","599","75576","7099","6831852","22","3977","969","1027","54394779","316","728","1","7","1","654","3450","1","1","2375"
"146885","5131","#9Q8CP0V9L","maL❤","113","250","0","#980LCCJU","randau jungkal","2VCVeqIRcmylxlzzHtzAFslfxXYKJ4i1cIY2gYvHdek","5196","2235","8","6","324","483","177","2018-05","146885","5131","2018-05","146885","5131","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","9","11","10","11","3","1","5","1","11","6","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","5","11","129","8","2665","1","596691371","662160031","5196","4","44472","3666","11541","4091","73","54628","7435","4327806","22","2063","486","483","54613495","180","1417","1","6","1","324","2235","2","1","1550"
"149393","5125","#20CP08PC0","⭐Shannelle⭐","105","184","1","#VJ2U2L9C","Trop tard !","aIgTBaGxdHglhWv5cK0Hl7L6f5rWLNhwXW1vVR49OIg","5150","2168","8","5","765","330","125","2018-05","149393","5125","2018-05","149393","5125","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","10","10","10","10","10","1","9","1","10","1","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","5","11","150","8","1688","1","382856884","398293119","5150","4","20597","2015","6094","2401","209","38978","4536","2042100","22","881","303","330","53707259","90","1276","1","5","1","759","2168","1","1","18375"
"150256","5123","#LU2YG2G9","✨[F]atal✨","229","156","0","#P9CJC2GG","Abstract Shot","kEAc6G2FNE2Q3BIysPm0ENGCyRhlmG4aa8VrmGtW2So","5163","2124","8","5","310","1476","128","2018-05","150256","5123","2018-05","150256","5123","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","10","10","10","10","10","1","1","1","10","1","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","4","11","153","8","1581","1","804669213","841899361","5163","4","54498","6775","13228","7491","551","1168415","5948","4668961","22","2755","856","1476","100515945","339","5350","1","5","1","272","2124","0","1","0"
