"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","townHallWeaponLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","wallWrecker","battleBlimp","electroDragon","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"1919","6071","#CJPGP2Q9","》》Paul《《","193","256","1","#CCV9QC2C","WAR IMP TOURNEY","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI","6200","2730","10","NULL","7","482","1163","4304","2018-07","1919","6071","2018-07","1919","6071","NULL","NULL","NULL","NULL","NULL","NULL","7","7","7","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","12","11","9","8","10","NULL","6","1","12","3","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","3","40","40","NULL","6","11","153","10","5363","1","1683795465","1743161670","6200","6","56470","8226","28830","10448","1854","377154","17703","14544898","22","10506","4936","1163","361163056","1320","7520","1","7","1","408","2730","2","1","5050"
"3653","5973","#8CLGV90LL","狂神灭世","181","381","1","#RC22U8UP","文艺小痞子","HidmhBRNC-UlUhsQPdbkkGoU8gl-q8UKJcBON_S1aO8","6003","4385","10","NULL","8","2856","716","1304","2018-07","3653","5973","2018-07","3653","5973","2017-12","104242","4270","NULL","NULL","NULL","7","7","7","7","6","6","7","4","5","6","3","6","5","5","2","3","2","4","3","16","14","16","8","10","1","4","1","16","11","NULL","NULL","NULL","7","7","5","3","5","4","4","2","3","1","38","40","NULL","25","11","153","10","3380","1","2000000000","2000000000","6003","6","41668","4446","29778","7584","318","285004","16536","11508878","22","6802","2301","716","254150632","542","4215","1","8","1","3256","4385","3","1","15175"
"4828","5920","#9JRP0QULP","N.o.v.a 3.0","156","369","2","#YR2P8L9R","Anti Terrorisme","1Zc55CT0eolBqj1kpQ5Dz-ORAUU-KYexfAov3xEta8w","5937","3374","10","NULL","8","1520","515","1418","2018-07","4828","5920","2018-07","4828","5920","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","6","6","6","4","4","6","6","6","5","5","2","3","2","4","1","14","13","14","13","12","NULL","12","5","14","12","NULL","NULL","NULL","6","7","5","3","4","3","4","2","1","1","40","40","NULL","10","11","150","10","3055","1","1932566180","2000000000","5937","6","48819","4750","24009","7209","434","148252","16230","12457314","22","5427","1234","515","209412738","203","2097","1","8","1","1736","3374","2","1","8490"
"5354","5900","#9GRQVU0YL","Wampireash","171","363","1","#9P8P09P8","Shadow ¥ Legend","vAUWa6gm2MmSE3eco49gQF6ryp5dkDRoCjuOWKZVg08","5910","4039","10","NULL","8","2417","680","1444","2018-07","5354","5900","2018-07","5354","5900","NULL","NULL","NULL","NULL","NULL","NULL","7","7","6","7","6","6","6","4","4","4","6","5","5","5","2","3","2","4","1","16","12","14","13","15","1","15","14","14","14","NULL","NULL","NULL","6","7","5","3","4","4","3","2","1","2","38","40","NULL","17","11","150","10","3785","1","1344397687","1399449706","5910","6","32835","3531","22242","6023","162","235719","15240","9633854","22","5399","1534","680","243753540","307","5382","1","8","1","2663","4039","2","1","38880"
"6237","5869","#2UJVVJ8CL","tiny","221","360","1","#Q0909PUG","Los Inmortales","kjWcCTqQwUaIUP6Tw0mSFnryKRHAwsRxsmT3BOFeQOI","5958","4245","10","NULL","8","3662","929","4704","2018-07","6237","5869","2018-07","6237","5869","2018-07","361508","4201","2018-07","361508","4201","6","7","6","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","12","12","16","12","12","4","13","16","16","16","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","2","40","40","NULL","25","11","153","10","3362","1","1795684290","1969907650","5958","6","37862","3415","30688","8151","403","658396","17917","11361323","22","4209","949","929","274834857","487","25300","1","8","1","3845","4245","3","1","49790"
"6793","5852","#RUPG9UYY","vi-king","158","398","0","#VV8V2YL","WoT","wEd9wggsPqjehuS6dX7PujAs-yhpEAxDWPREH7KmdeU","5894","2246","10","NULL","5","458","1234","1745","2018-07","6793","5852","2018-07","6793","5852","NULL","NULL","NULL","NULL","NULL","NULL","7","7","6","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","10","10","4","10","10","NULL","1","NULL","10","NULL","NULL","NULL","NULL","6","7","5","3","5","4","3","4","2","3","40","40","NULL","5","11","153","10","2347","1","985967545","1007752197","5894","6","17342","2781","15409","4526","529","179186","10015","7055736","22","4565","1657","1234","380212685","445","2634","1","5","1","693","2246","1","1","21110"
"7117","5842","#P802G989Y","Beowulf","162","295","0","#YQRG8QJC","exmem mot boy l","GM8oUGe4-5iBaqYJYDcImI-iUPbnr_p3y_qzs8oqoy4","5842","4194","10","NULL","8","2900","294","2383","2018-07","7117","5842","2018-07","7117","5842","2018-03","326851","4163","2018-07","512167","4088","7","6","3","6","5","6","6","4","5","5","6","5","5","5","2","3","2","4","1","16","13","15","13","12","9","15","14","14","14","NULL","NULL","NULL","7","7","5","2","2","3","4","4","1","1","38","40","NULL","15","11","153","10","2120","1","1290337049","1354311214","5842","6","30365","3504","18997","5282","121","143019","13675","9837380","22","5854","2418","294","216766087","297","5424","1","8","1","3524","4194","3","1","31400"
"7718","5827","#QCVL0J2","oneeightseven","207","326","4","#20RC8G2VG","USA ALL-STARS 2","-KQk3GX_6v4n6u2870Qayqdh5NXVu6FYaJgA_bXHpX8","6067","4326","10","NULL","8","1816","777","11310","2017-12","3729","6021","2018-07","7718","5827","2018-04","278018","4268","NULL","NULL","NULL","7","7","7","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","16","14","16","14","8","1","12","14","14","16","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","3","40","40","NULL","11","11","153","10","6051","1","2000000000","2000000000","6067","6","134756","11521","49294","15339","1796","434711","37257","25135730","22","18917","7371","777","298119158","2714","8388","1","8","1","2025","4326","3","1","3300"
"8635","5807","#220PL0UGR","D͙E͙N͙I͙Z͙","145","519","3","#YQC9RJ08","Nokidsclan 2","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","5823","2505","10","NULL","6","776","703","1022","2018-07","8635","5807","2018-07","8635","5807","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","7","6","6","7","4","4","4","5","6","5","5","2","3","2","2","2","10","10","12","10","10","NULL","10","NULL","12","11","NULL","NULL","NULL","6","7","5","3","2","3","3","2","2","1","36","38","NULL","10","11","153","10","6042","1","1627228708","1677058183","5823","6","40199","4337","18116","6089","1306","96999","12788","11112858","22","6381","2174","703","180305722","445","1415","1","6","1","695","2505","2","1","26625"
"9131","5796","#28U9QJPVG","アルテック","156","398","1","#JQJVL99","☆ПРЕВОСХОДСТВО☆","kEAc6G2FNE2Q3BIysPm0ENGCyRhlmG4aa8VrmGtW2So","5820","2357","10","NULL","6","246","1014","1995","2018-07","9131","5796","2018-07","9131","5796","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","10","10","9","10","8","NULL","2","NULL","10","6","NULL","NULL","NULL","7","7","5","3","5","4","4","4","2","3","31","36","NULL","5","11","153","10","4578","1","706962273","792012077","5820","6","20862","3236","13749","4670","340","142224","10272","6546800","22","4046","1026","1014","378083294","158","2114","1","6","1","270","2357","2","1","8240"
