"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","townHallWeaponLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","wallWrecker","battleBlimp","electroDragon","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"10774","5761","#99CL0RJQU","Cocytos","151","768","2","#9YURJ8GC","Honor Elite ITA","8ltMapTWicj_CJ3vtPlc3Q9wJZOsHS20-IWrcO17668","5761","4078","9","NULL","8","1345","514","1891","2018-07","10774","5761","2018-07","10774","5761","2018-02","368268","4049","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","14","14","16","10","12","1","8","16","14","16","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","11","11","150","9","3446","1","1524586327","1562623396","5761","5","27097","3992","29921","8379","800","135651","18057","10046888","22","5242","941","514","230334707","299","2955","1","8","1","1436","4078","2","1","12450"
"14320","5707","#82CRGQGC","xtian","127","463","1","#PPRY0Y00","Savage 8.9","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","5800","2546","9","NULL","6","449","94","1916","2018-07","14320","5707","2018-07","14320","5707","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","10","10","11","10","NULL","10","NULL","10","10","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","5","11","136","9","1437","1","701600686","674141611","5800","5","19047","2979","13976","4902","1191","65310","8442","4035463","22","1512","253","94","121437203","96","891","1","6","1","497","2546","1","1","4240"
"15558","5690","#82LPRYPU","༺༼༒圣耀·若梦༒༽༻","138","467","1","#YYRJP8LG","盛世集团༻China༺","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI","5777","2828","9","NULL","7","921","334","1406","2018-07","15558","5690","2018-07","15558","5690","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","11","10","12","12","NULL","12","NULL","12","12","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","10","11","150","9","4202","1","1024990640","1054490691","5777","5","27163","3605","19325","5828","311","100862","11692","5788095","22","2201","328","334","141800177","140","2413","1","7","1","1175","2828","2","1","7685"
"16582","5677","#8RR8R8VUQ","khafidan","153","242","0","#QC0UC0G9","CIKU CIKU","VNKjK5xu_cPgeUdQqpuOzBgJQSF2ha0TdWlbgv3i5Bk","5677","3274","9","NULL","7","1240","949","1763","2018-07","16582","5677","2018-07","16582","5677","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","14","12","14","12","12","NULL","14","NULL","14","14","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","14","11","153","9","3048","1","1517245390","1594396039","5677","5","30037","4504","19734","5631","678","167202","15641","7719113","22","3756","366","949","151013132","168","4446","1","7","1","1717","3274","2","1","27935"
"19529","5642","#22R9UUPPJ","Harrison","146","561","0","#PPRY0Y00","Savage 8.9","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","5733","1604","9","NULL","4","130","904","1555","2018-07","19529","5642","2018-07","19529","5642","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","8","6","4","4","2","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","28","30","NULL","NULL","11","153","9","3404","1","1070571380","1105196761","5733","5","26655","5749","21944","8751","253","174434","13386","6896372","22","3625","639","904","185476677","306","2485","1","4","1","79","1604","0","1","6775"
"19967","5637","#89V2RPPP9","۷ɛɬɧąιąɱ","167","373","0","#Y8RG8QY","Quantum's 8.9","zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI","5644","4176","9","NULL","8","1173","678","2431","2018-07","19967","5637","2018-07","19967","5637","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","9","16","12","4","1","2","14","14","14","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","14","11","112","9","3484","1","1381780362","1336706150","5644","5","28188","2968","22761","5887","301","284891","13431","6828940","22","2940","440","678","112293960","198","5015","1","8","1","1566","4176","2","1","8525"
"23070","5606","#QGL8UPGR","TheUnknown","139","533","0","#22QV99JQG","Push tropi ♡","H39b_-WLZGtZVWQ0hqTkE-Tn2AaQnQWy_Iz4yBlvL0M","5653","1928","9","NULL","6","176","1079","841","2018-07","23070","5606","2018-07","23070","5606","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","8","8","4","8","4","NULL","1","NULL","6","NULL","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","2","11","153","9","3296","1","750725592","773327823","5653","5","24943","3545","14532","5111","1305","129328","9474","4803408","22","2840","650","1079","237772621","187","1495","1","6","1","160","1928","1","1","1985"
"23591","5601","#9LC9YRCV2","帅煞众生之国家领导⭐","137","353","0","#8RYVQ9RG","LOL. S5. 万岁","TCVeO_uMyQyX3OC7JSAYWRBkpkRe2j1bUgsiHms8y2c","5601","4709","9","NULL","8","2554","524","701","2018-07","23591","5601","2018-07","23591","5601","2018-02","25762","4709","2018-07","164470","4424","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","16","14","14","11","16","2","16","3","14","14","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","27","27","NULL","20","11","150","9","3379","1","1041674309","1068773716","5601","5","24931","2932","12813","4058","1066","64833","9433","5454676","22","2376","379","524","116200587","96","931","1","8","1","2722","4709","2","1","13280"
"30088","5545","#2Q028YQCG","illeqal46","146","571","2","#PPRY0Y00","Savage 8.9","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","5784","3145","9","NULL","7","1148","782","3344","2017-07","16366","5666","2018-07","30088","5545","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","14","13","14","13","12","NULL","12","6","14","14","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","11","11","153","9","3394","1","2000000000","2000000000","5784","5","58666","4344","43415","11627","377","126212","25832","12228826","22","4896","1001","782","202383484","504","3587","1","7","1","1682","3145","2","1","10050"
"31231","5536","#8JJ9UPC2C","IniestaHome浅夏最美","151","555","2","#Y8RG8QY","Quantum's 8.9","zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI","5881","1994","9","NULL","5","417","1204","2240","2018-05","13895","5879","2018-07","31231","5536","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","10","10","10","10","NULL","9","NULL","10","NULL","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","3","11","150","9","5154","1","1128689752","1196922482","5881","5","25780","2467","17103","4784","333","190368","11035","7830653","22","2914","342","1204","197059911","150","4703","1","5","1","456","1994","1","1","21150"
