"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","townHallWeaponLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","wallWrecker","battleBlimp","electroDragon","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"18177","5865","#29JV9CPC2","affewicht","112","487","0","#Y8RG8QY","Quantum's 8.9","zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI","5899","2242","9","NULL","5","356","150","968","2019-02","18177","5865","2019-02","18177","5865","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","8","8","10","10","NULL","10","NULL","8","NULL","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","1","11","189","9","1788","1","777010554","765411355","5899","5","9646","1832","11657","3514","217","6364","6227","5251536","22","1893","686","150","55115929","115","112","1","5","1","386","2242","1","1","13535"
"23910","5790","#V8UPJLJ0","雪月、農民","146","320","0","#Y2PRC9YC","问鼎","N3RDI6oRKwVJ2AWiqT_LtnDOlqscDS-D3dy7x4DQDzA","5792","3111","9","NULL","7","861","715","1314","2019-02","23910","5790","2019-02","23910","5790","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","14","8","14","13","12","NULL","5","14","3","12","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","11","11","189","9","4183","1","1132761189","1167422643","5792","5","29292","3577","18029","5575","1095","111784","11295","6690911","22","3465","511","715","207809937","116","1271","0","7","1","948","3111","2","1","44625"
"29233","5734","#RPPY2P9Y","frank","129","221","0","#9PU2Q02R","Intocables","w-s_7qXZ4oqDt7XI1IE-n00hfUjU_Rf2637oidCywjk","5773","2727","9","NULL","7","680","382","840","2019-02","29233","5734","2019-02","29233","5734","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","12","12","12","12","NULL","12","2","12","12","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","27","30","NULL","10","11","175","9","2982","1","775496055","784991270","5773","5","19844","3150","12166","4127","818","52265","8550","4522690","22","2254","347","382","125927721","54","685","0","7","1","732","2727","2","1","21140"
"34451","5690","#J9G9R0C9","GHOST TOWN ll","134","589","0","#Y8RG8QY","Quantum's 8.9","zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI","5840","1382","9","NULL","4","91","628","2227","2019-02","34451","5690","2019-02","34451","5690","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","8","7","4","5","4","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","NULL","11","169","9","3450","1","1409121108","1523750212","5840","5","61264","5086","32489","8843","1125","94873","20364","11008960","22","6099","1248","628","181636144","240","1904","1","4","1","104","1382","1","1","21505"
"36811","5670","#9LQP9RYCQ","STORM","142","174","1","#RVV22RG8","TMJ✌","OnyoVzsqn5OaD1w8kiki9N4Z_fVD5RkueWVuq1gkKiE","5687","3015","9","NULL","7","923","485","1353","2019-02","36811","5670","2019-02","36811","5670","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","12","14","12","12","NULL","12","13","12","12","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","10","11","NULL","9","4327","1","1068703984","1143471348","5687","5","34300","3594","18309","5379","174","105412","13150","7129146","22","3355","583","485","196659078","100","2916","1","7","1","1094","3015","2","1","38360"
"37080","5668","#22JUQQYJP","$ PoBre LoKo $","143","246","0","#Y8RG8QY","Quantum's 8.9","zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI","5757","2624","9","NULL","7","295","354","2571","2019-02","37080","5668","2019-02","37080","5668","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","8","10","8","9","6","NULL","1","1","8","8","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","6","11","203","9","4040","1","1277986805","1294602935","5757","5","38661","3411","22746","6124","240","133677","14539","7612795","22","3230","605","354","131523885","182","3005","1","7","1","346","2624","2","1","13780"
"38173","5660","#2Y9Y9GCPG","Zio Benito","118","414","0","#PPRY0Y00","Savage 8.9","JVqVoGLkFwRRxN-Sl3qXivtDHshhhYbxizTAFh9L83A","5660","2202","9","NULL","5","263","431","879","2019-02","38173","5660","2019-02","38173","5660","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","9","10","4","9","7","NULL","4","NULL","10","NULL","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","15","18","NULL","1","11","NULL","9","3560","1","776042965","799593779","5660","5","25530","2749","12964","4176","993","21612","7411","3965733","22","1487","382","431","106896351","56","331","1","5","1","201","2202","1","1","11425"
"44382","5617","#R28Q9R8G","KING THARUSHA","172","353","0","#QJ9U0CJ0","EIite NiNe™","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","5628","4590","9","NULL","8","2456","534","1472","2019-02","44382","5617","2019-02","44382","5617","2018-02","67775","4504","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","16","16","14","14","10","16","15","10","14","12","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","24","11","150","9","3724","1","1461376194","1487187487","5628","5","40964","6025","30694","9753","1188","258692","16240","8939725","22","5059","1363","534","188850982","225","5275","0","8","1","2255","4590","2","1","29815"
"44669","5615","#G0QGYYR","ATTACK MAN","159","287","0","#G2GUR0CQ","HUNTERS","SWcSuBwZEA2kBlCyGaOkWwoPJrLxl8usYPDDPSH2NWU","5747","3076","9","NULL","8","997","1540","1725","2019-01","32647","5702","2019-02","44669","5615","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","15","12","10","13","12","1","10","6","11","15","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","13","11","150","9","1476","1","876203873","954480003","5747","5","17117","1886","13123","3356","505","235437","8205","5515952","22","2236","556","1540","202839675","79","3586","0","8","1","1293","3076","2","1","24840"
"51637","5572","#9JU8LYQC","冬きふ物ちChaos","169","459","0","#9U9YQ8PP","triple"M"clan","VVQ1hRBUCaGPKxDA3_L1vBELEVrcyy7Saw9d0eo_ZQk","5605","2722","9","NULL","7","1627","1299","640","2019-02","51637","5572","2019-02","51637","5572","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","12","12","12","12","NULL","12","8","12","12","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","10","11","176","9","5199","1","1609262344","1652526176","5605","5","46945","7051","29953","9738","1140","264935","20121","9461116","22","6404","1274","1299","108303668","143","5101","1","7","1","1539","2722","2","1","70395"
