"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","townHallLevel","barbarianKingLevel","archerQueenLevel","grandWardenLevel"
"15574","5749","#8PY0C98GL","朝如青丝暮成雪","149","489","132","#PPRY0Y00","Savage 8.9","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","9","30","30","NULL"
"20859","5682","#2JQJQLY90","S.Z.K. Krico™","169","257","0","#QUYUJRC8","DaMassaClan#016","aYbU6sgCa-W_tD0MMnpDcyG8zJNoPh6Wogsh51gxYd0","9","30","30","NULL"
"38846","5526","#8CUG2CYV","ZaliE","147","211","2","#GVV0J90Y","HealerStarsVViP","vbTBkl1mNyvyzcaoEbFLi1uPAT4B6_SGTpYnTLiCte8","9","30","30","NULL"
"39306","5523","#9GRY88JYY","Ochenge","153","207","0","#RQRJRJPL","DITEES","VVQ1hRBUCaGPKxDA3_L1vBELEVrcyy7Saw9d0eo_ZQk","9","20","28","NULL"
"39750","5520","#VPVUUV88","⭐£nnemy Puβlik⭐","166","239","0","#9CJRVYL2","les meilleurs","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY","9","30","30","NULL"
"49674","5455","#2JYGQR2PP","咖啡加醋","141","239","0","#Y2PRC9YC","问鼎","N3RDI6oRKwVJ2AWiqT_LtnDOlqscDS-D3dy7x4DQDzA","9","30","30","NULL"
"51200","5446","#LR9PL8LU","King Suraj","145","223","0","#PPRY0Y00","Savage 8.9","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","9","30","30","NULL"
"52979","5436","#82CRGQGC","xtian","121","257","1","#PPRY0Y00","Savage 8.9","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","9","18","21","NULL"
"56076","5419","#8VVRRURG8","egal","140","145","0","#PC00CQ99","Cluster Pegasus","Dzg5r9r8jkv6PWz1u1M4kVjQV_R9Oy-1ym46lrRzsaM","9","22","30","NULL"
"59549","5401","#9YV82PGUV","Abhishek","166","215","1","#PPRY0Y00","Savage 8.9","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","9","30","30","NULL"
"60152","5397","#2LLVY8PYU","Praski_95","158","216","0","#PC00CQ99","Cluster Pegasus","Dzg5r9r8jkv6PWz1u1M4kVjQV_R9Oy-1ym46lrRzsaM","9","27","30","NULL"
"61331","5391","#8QJLVCJU9","p!nk","126","219","0","#PYYQYUPJ",""JAVANIST ELITE","fG8lVXQps8kelphi71OJGZcK53x_O9ibpAcw0XylqS4","9","27","27","NULL"
"64602","5375","#8089C8CLJ","チビゆい","119","168","0","#PGYQUPRC","信長の野望","ntUwhCl_OD6rpUkHITP7Aa9ppiqiaH9h6aJR2kBG8sk","9","23","30","NULL"
"64622","5374","#JGV99LVC","BULLECK","156","178","0","#GVV0J90Y","HealerStarsVViP","vbTBkl1mNyvyzcaoEbFLi1uPAT4B6_SGTpYnTLiCte8","9","25","27","NULL"
"64888","5373","#88900VYYJ","Drii","148","152","0","#QUYUJRC8","DaMassaClan#016","aYbU6sgCa-W_tD0MMnpDcyG8zJNoPh6Wogsh51gxYd0","9","30","30","NULL"
"66244","5366","#9CGLQUGY","肉联厂","146","138","0","#PPRY0Y00","Savage 8.9","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","9","30","30","NULL"
