"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","townHallLevel","barbarianKingLevel","archerQueenLevel","grandWardenLevel"
"7122","5924","#2808YUQ02","wanted","173","297","0","#90LPV9QU","Nepal","8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y","10","40","40","NULL"
"11319","5822","#2VGQ99VY2","TRAP","178","355","0","#YQURQPV0","golden angel","dx5rR3TT6VGouAzdP9rmBEqdX3XN4vAhTpesQ-ndZEQ","10","20","20","NULL"
"11830","5812","#89VYRC8PY","Infinity Rush","134","485","0","#YR2P8L9R","Anti Terrorisme","1Zc55CT0eolBqj1kpQ5Dz-ORAUU-KYexfAov3xEta8w","10","32","40","NULL"
"12415","5802","#80G89GC88","Mr.sahlan94","155","301","0","#20YLLJ8RU","guardian empire","gleInU799fdmj_-HlZa1CUqDbBhS2NwaV-5Of4g5ngs","10","21","30","NULL"
"13519","5782","#29VLP2U9L","Buddy Fandy T.","164","307","1","#PGUC9QL2","Minang Buffalo","_aKm39_-Mvz1cCDl-UeFZnOubCziDYHVlzyiIDg5cmU","10","40","40","NULL"
"13969","5775","#JC8U0PC","WizKha","162","232","0","#JUV0029U","La Tulipe War","tsbNDyZqWrKKI1EkE3OG35KUf2lGZgdOUm0Lq5PhrvE","10","40","40","NULL"
"14138","5772","#RG2JYUJ0","Abhinav Pandey","162","250","1","#89QLU2J8","Indore","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","10","40","40","NULL"
"15145","5756","#2UR8RVYQV","shiel-loyd","176","345","0","#2G92JUVY","Pinoy Primo 7","Rt-XKPJE0MNcfDj4uhBiDE1bM8a_8U8V3QvpLEBI_ww","10","32","36","NULL"
"16362","5738","#8V98JCUGG","Daeng' iwan","151","311","2","#20YLLJ8RU","guardian empire","gleInU799fdmj_-HlZa1CUqDbBhS2NwaV-5Of4g5ngs","10","17","25","NULL"
"16714","5733","#2P8VLCLJR","WYH","153","407","0","#28Y2Y09Q","watch live","aIgTBaGxdHglhWv5cK0Hl7L6f5rWLNhwXW1vVR49OIg","10","21","22","NULL"
"17182","5727","#289GLYUP0","CiGGi","184","330","1","#LR2UQ2G9","2Clash2Furious","C0gdU5N_K8BXwsu2jYZy4USe_Zyb_udzTYGzx04zQdI","10","38","40","NULL"
"17240","5727","#9Y0J9CQG2","Real cla$#eR","160","401","1","#90LPV9QU","Nepal","8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y","10","27","40","NULL"
"17487","5723","#UQPC2PYY","Cleatus Tribe","157","242","0","#2YRLCVGP","NetflixN'Clash","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","10","34","40","NULL"
"18131","5715","#V8R92JVL","gold kingdom","189","271","0","#20YLLJ8RU","guardian empire","gleInU799fdmj_-HlZa1CUqDbBhS2NwaV-5Of4g5ngs","10","35","39","NULL"
