"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","townHallLevel","barbarianKingLevel","archerQueenLevel","grandWardenLevel"
"18429","5712","#8LLL9RCYG","SAAD NAPSTER","159","226","0","#9GPG0L0L","Mumbai MavericX","ny-vo8DRxjkG-UIm0MqAF6xYYo2_phbeZjfHD82RXlY","10","36","40","NULL"
"18610","5710","#8GCLJPCPG","Andre (W.R.M)","167","244","0","#LYLL0LU0","GOMBONX","GM8oUGe4-5iBaqYJYDcImI-iUPbnr_p3y_qzs8oqoy4","10","31","37","NULL"
"18746","5708","#2L292YJ02","acho","161","225","1","#YPVJPPVG","QUEEN EMPEROR","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI","10","40","40","NULL"
"19552","5699","#20YLPYJLQ","Batyr","166","448","1","#PCJPQVQ0","LEGENDA.2014","l6RPv4s4TOaCrdfU-xQGNDUVFwuObMWw-u26c02U2dU","10","40","40","NULL"
"20105","5691","#9LV8V2PCG","sumit","172","220","0","#P0RGL802","INDIAN'S SPIRIT","FRM-pr7fVwMsSsg7qj-5KX4Yznw3oCq0I6H_zJuH00s","10","25","35","NULL"
"20844","5682","#929RCVYY8","inferno","162","343","0","#Q0CGLCVG","torre arkeira","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI","10","30","36","NULL"
"21811","5671","#8Q908890L","Kş-Seçtõr","155","418","1","#YV8GYULY","GGS_of Clans","vcYFZPx4U0lYJvPzu8FjfHzMfSCxEqzTI3lJAhBikhA","10","38","31","NULL"
"22790","5661","#2U8LRG00R","MissNadh","154","272","0","#9GG89999","Gaspoll Poek","agr1Cy6wuAwSSGkLpZT18aUem8PnLb7ZU1Df_KAS2tU","10","28","34","NULL"
"23720","5651","#80V9UPPRL","jentong","175","247","1","#20YLLJ8RU","guardian empire","gleInU799fdmj_-HlZa1CUqDbBhS2NwaV-5Of4g5ngs","10","40","40","NULL"
"23929","5649","#2QQQR00PP","Dolfidinho","155","214","1","#YP0Y9U8U","Soul Of Gold","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","10","40","40","NULL"
"24358","5645","#2G8CR289","El Coco Mubarok","150","318","0","#UY98GPY","coc indo war","UhjPWtyqsgpADGxPsrvORbVxdySMJKauwzON64-6Zwo","10","33","34","NULL"
"24646","5642","#88CQPCP9C","SANDIK","177","360","0","#90LPV9QU","Nepal","8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y","10","29","40","NULL"
"26214","5627","#8J822VVL8","Vandemonium","159","370","1","#LYCRVPU","Arcane Citadel","wMWWrPBg_RKaEv7mFNK6iTGZSS2GEalefSqlNjB0L0I","10","27","30","NULL"
"27368","5617","#8GQ8G8LPG","Sniper","168","240","1","#QJUC0LGC","BLAKLABEL","UZJzXuF72Yl9fq9vTZ4OH9w97bzp3QLzZ4QHZyqKecM","10","40","40","NULL"
"27738","5614","#8PJJ8L99R","S.PasAi","171","297","2","#2JVGRJPP","Semarang Group","OIrad9oLA0EmSCLfrIzdbS0O7tTdZH5cKDhJEZfu8NM","10","40","40","NULL"
"27845","5613","#8LQQV89V2","❤ LayLayLooM ❤","153","225","0","#2P8V009P","Sâki","avJwnMOBHweX6g1iE8a0kxhNPjITwhEslCUjJsff4Dk","10","39","40","NULL"
"28125","5610","#82R8LGVCR","葵0615☆","166","260","0","#PJYU28YU","七海","YjMI6VBVdxRLHI2VYpxbztSTnTXD01UIGoBST1VSlGk","10","40","40","NULL"
"28966","5603","#2JUPV2CVU","vonk exitor","162","302","0","#20YLLJ8RU","guardian empire","gleInU799fdmj_-HlZa1CUqDbBhS2NwaV-5Of4g5ngs","10","40","40","NULL"
"29306","5601","#QVLVUQLY","~¤NeyZha¤~","163","204","0","#20YLLJ8RU","guardian empire","gleInU799fdmj_-HlZa1CUqDbBhS2NwaV-5Of4g5ngs","10","40","40","NULL"
"29354","5600","#8QLR8CVL9","patatracaca","167","153","0","#YR2P8L9R","Anti Terrorisme","1Zc55CT0eolBqj1kpQ5Dz-ORAUU-KYexfAov3xEta8w","10","30","34","NULL"
"29367","5600","#8R2202298","ishara Lesnar☠","184","286","0","#9P2RQVPQ","Supersonic","Cwv049fhReK4-S_v8WWaSQvIm6a_eY7vluj02_YmPbo","10","37","40","NULL"
"31172","5585","#QJG22Q2R","Lord Christian","152","180","0","#8892CLRJ","MAMBA NEGRA PTY","agr1Cy6wuAwSSGkLpZT18aUem8PnLb7ZU1Df_KAS2tU","10","35","40","NULL"
"31182","5585","#8R8RRJVCP","bogielL 09","152","193","0","#9GG89999","Gaspoll Poek","agr1Cy6wuAwSSGkLpZT18aUem8PnLb7ZU1Df_KAS2tU","10","22","36","NULL"
"31553","5581","#2CUP0RJ0V","France...","194","297","1","#P88QLJC8","RRRB EMPIRE","slsiNqJ5_8887HZYKmYvq-HL6oPkjLJY3db9x87u5YE","10","40","40","NULL"
"32373","5575","#UGVUVUQL","~SouL_ReaPer~™","168","159","1","#2JY92GUG","Melayu 1⃣REGION","N0-0A9MU2iS84X0n4hDnN8as1kXz9wJCFcP30dnulT8","10","40","40","NULL"
"33033","5569","#2CVP8LUYQ","pilotdead","164","185","0","#8CJL9V9","CLAN ONFIRE","8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y","10","40","40","NULL"
"33864","5562","#99Q0V0RG","neil patrick","127","226","0","#GYVGQJQU","ASTIG PINOY","8_cwxplFb_ZDN65fNjM0NrkPxWpdOL_SiuQ9197JcVo","10","13","21","NULL"
"34071","5561","#PQLQ202G","DENRADIT WOW","152","201","2","#YUJU92Y0","MURTAKSER INDO","OIrad9oLA0EmSCLfrIzdbS0O7tTdZH5cKDhJEZfu8NM","10","20","27","NULL"
"34279","5559","#2C0LJJ0G2","melejit","181","374","1","#YPVJPPVG","QUEEN EMPEROR","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI","10","40","40","NULL"
"34642","5556","#2RPL8PPRV","Prince","156","276","1","#22GGRQ28","INDIAN FANATICS","B4M2RrUflv7OkpxrX0oH7oCUbUuVMihzCOLhi-6IsEI","10","38","40","NULL"
"34776","5555","#8P98QP0QG","【依然】夜詡","210","173","0","#9PYJVUPR","依然范特西","N3RDI6oRKwVJ2AWiqT_LtnDOlqscDS-D3dy7x4DQDzA","10","40","40","NULL"
"35297","5551","#228GU0UP0","Ryan 11","143","187","0","#PG0R9Q0L","Savage skeleton","JVqVoGLkFwRRxN-Sl3qXivtDHshhhYbxizTAFh9L83A","10","35","39","NULL"
"35306","5551","#8JG8L0QJQ","☺⭐El FlakoO⭐☺","150","266","1","#2PPCUQJ2","Los Uchihas","w4_mJS8U8k6aYWMb63bPPtMyrmMqb0fgTaO5Hi9g1oM","10","30","31","NULL"
"35739","5548","#8VL9LY9L","LordCa","184","190","1","#8LUU0G8R","ALTOLIVELLO","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY","10","40","40","NULL"
"35812","5547","#9RGP2GQQ","Stroiter","162","222","0","#VVPQU9JQ","Cristal soccer","H39b_-WLZGtZVWQ0hqTkE-Tn2AaQnQWy_Iz4yBlvL0M","10","35","39","NULL"
"36805","5540","#29GUCY8YJ","maxou","156","432","0","#LU00U2CJ","La Tulipe Noir4","tsbNDyZqWrKKI1EkE3OG35KUf2lGZgdOUm0Lq5PhrvE","10","30","36","NULL"
"37027","5539","#20J9JCPJQ","港西：龙崎","188","300","4","#YY08R8YU","66大聯盟","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI","10","40","40","NULL"
"37080","5538","#2UQ0GUVP9","Asal'Gunting","190","194","0","#PJVJR2GL","quezon badboy","IffzDvDnK4qOSZfSvzusv4wj9NuijEAkbRPZjkbR_tY","10","40","40","NULL"
"37276","5537","#VCJURUUY","Dazzaa","143","153","1","#2GQ0ULPU","Malaysia","MPO_0hDPqc3HCqE_bu7SvsIPH13KuNUGdkmmH5nTCkY","10","28","40","NULL"
"37835","5533","#29902VGRJ","Alejandra :3","150","320","0","#PPUJ99R8","GuatextremE Top","194FYsQXalULrD53ScUjdX60EVYbGTRPYaASoTSvl7s","10","31","34","NULL"
"38023","5531","#8QY9JUPC8","Suwek","176","220","0","#9Q82VR20","Aceh Rameune","DjDfktrZxAABn6xDovymnV1rFA4KSz-qyoa0ZMgKtbs","10","40","40","NULL"
"38242","5530","#80CJG009Q","_JUNTO_56_","153","277","0","NULL","NULL","NULL","10","20","25","NULL"
"38498","5528","#UYPRPUVG","SwagDexter","142","487","1","#VJLGY8Y","I eat noob","OnyoVzsqn5OaD1w8kiki9N4Z_fVD5RkueWVuq1gkKiE","10","30","25","NULL"
"38721","5526","#VJCR9CL8","Lu¢i@no","158","373","1","#U220QQR9","MegaBrazil TH10","vVaIdwIsRqEywyLpHQr7R5GnsYsgykEwAfjAhjFPbWI","10","40","40","NULL"
"38838","5526","#2U89G0RGV","L.S.LimitedGEN","161","134","3","#PQVLUR8Q",""KENANGAN"","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","10","31","40","NULL"
"39593","5521","#2UVRLRRG2","♧fall girl♧","177","329","1","NULL","NULL","NULL","10","40","40","NULL"
"39843","5519","#8QY9CUGG9","ClanMaster Gary","145","295","0","#RULR0CU","Adult War Clan1","l4WQrf4P4cXncnwpcI91aPW6rrsbZDkLLzvRMOR4XTU","10","25","30","NULL"
"40106","5517","#89QP8GULL","monk","152","171","1","#PCJPQVQ0","LEGENDA.2014","l6RPv4s4TOaCrdfU-xQGNDUVFwuObMWw-u26c02U2dU","10","28","31","NULL"
"40331","5516","#98VCGG8QJ","Clash of Clans","152","264","0","#YGYUQGQ8","B'DES","_aKm39_-Mvz1cCDl-UeFZnOubCziDYHVlzyiIDg5cmU","10","13","12","NULL"
"40416","5515","#8RL08QLR8","long file","157","223","2","#YPVJPPVG","QUEEN EMPEROR","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI","10","26","36","NULL"
"40679","5513","#2UUJ8YGGV","Azhar","160","256","2","#C0YULYLY","мａｈａｂｈａｒａｔ™","kU8e5WAp4Zba1L7jU4CsZwG7qDhRAD_u1aJb-rigva8","10","33","40","NULL"
"40824","5512","#92ULY8L2C","iĶyosukeMC7_","138","268","0","#UP2QRJU2","Indo Tribal 2","FZwJEOBTPtByJDhxEE33iSBK8O88DOyKiiF7Ehg1i_U","10","23","26","NULL"
"40888","5512","#G9YC9JQR","✴Vegan Man✴","144","334","0","#C8PUPVP","Veganossis ✌️","Dzg5r9r8jkv6PWz1u1M4kVjQV_R9Oy-1ym46lrRzsaM","10","39","40","NULL"
"41570","5507","#8QR02Y0VG","Mclarrenzz_03","163","339","1","#LQPCPLUQ","GOD's SAVIOR","pNwbtdL_kn9BwHjL_43rlF-Xk_ZqoxavOStOcKmwr2I","10","31","36","NULL"
"41670","5507","#R9Q0089J","kinoko","132","149","0","#9V80LG9V","Jacked&Shredded","f2iJF-gjyx5MRzD5z6pekgdgimXO1IE7CE3tr5DguTk","10","32","38","NULL"
"42026","5504","#9GG08GVLV","水分","167","363","0","#Y2PRC9YC","问鼎","N3RDI6oRKwVJ2AWiqT_LtnDOlqscDS-D3dy7x4DQDzA","10","33","19","NULL"
"42048","5504","#2ULL2902Y","win92","157","114","1","#9GG89999","Gaspoll Poek","agr1Cy6wuAwSSGkLpZT18aUem8PnLb7ZU1Df_KAS2tU","10","35","40","NULL"
"42334","5503","#8VURG89UU","mayank","174","272","0","#YGRULCQ2","NARUTO","8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y","10","30","39","NULL"
"42688","5500","#C008CJ89","jarlison","169","144","0","#2LG89Y8P","CAVEIRAS NEGRAS","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY","10","39","40","NULL"
"42739","5500","#YV9LRCQP","VeyzZia","149","241","0","#LU00U2CJ","La Tulipe Noir4","tsbNDyZqWrKKI1EkE3OG35KUf2lGZgdOUm0Lq5PhrvE","10","30","30","NULL"
"42951","5498","#9902V9L92","SUKRON","157","299","1","#P82RLLQR","Strong White","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","10","31","37","NULL"
"43703","5493","#8JL09LRYC","UM@NG","148","305","1","#C0YULYLY","мａｈａｂｈａｒａｔ™","kU8e5WAp4Zba1L7jU4CsZwG7qDhRAD_u1aJb-rigva8","10","25","35","NULL"
"43980","5491","#QPVGVPJ","peter","144","310","7","#PJPPPJRL","THE REBELS","fMPCfB8IkekZ3DNQYBIMh6ptzMueMQsRPDZ8ZSJGpT0","10","39","40","NULL"
"44379","5489","#JJ98J0VV","Saidahhalimatus","188","203","0","#PLVVGQ9V","Deal Breaker","anzPXwHdDcfVYLgLiGSkOybemfiRB80uaihupf77o60","10","31","36","NULL"
"44382","5489","#JPJV9PYL","luciF3r","156","198","1","#YUYUPVJY","Stonners","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY","10","39","40","NULL"
"44767","5486","#U2P8GRUL","hamba allah","145","264","0","#RVYCQVL9","JALUR WETAN✈","z7kiSdoYbWR-sfzgzFpNeh-yyxKYQi2KBy9CP4yCpZs","10","20","25","NULL"
"45127","5484","#80QQGVU9P","isan","156","232","0","#YV8GYULY","GGS_of Clans","vcYFZPx4U0lYJvPzu8FjfHzMfSCxEqzTI3lJAhBikhA","10","40","40","NULL"
"45133","5484","#JYQ2Q9PJ","Magic Munch","143","147","0","#9P9028VL","Légendes GDC","_w5e72ZHU9XRrM-RIhh4zEP_JGBUfdUyZ5pKqers8uw","10","30","35","NULL"
"45688","5480","#JYGCY2J","p'tit beurre","160","166","0","#QJGL202C","clashofclans.fr","Z5f15B3vFJThAoECsiugsv2uaaflwp4K-tySPgkaXu0","10","40","40","NULL"
"45937","5478","#2CC9G8Q29","Zainal","146","309","0","#YY829LV","Ae Junior","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","10","29","36","NULL"
"45999","5478","#8QL22YGJJ","FÚRIA DA NOITE","167","192","3","#LY80LQLU","Os melhores br","80Z8kgpKFcpmTpUeFppKiYl9bqDQAJse2ebXkePTKOs","10","40","40","NULL"
"46415","5475","#2VRJQVLYC","HANS","182","238","1","#8JUV9YR8","UP SMOKE","OnyoVzsqn5OaD1w8kiki9N4Z_fVD5RkueWVuq1gkKiE","10","40","40","NULL"
"47123","5470","#2RJVJQ09Q","Alexis Braga","141","145","1","#PLYPQYL0","Angel Champions","cmO5xu4VEjm8hhrincYDCksvFZwPRUHvoIEFo3lUYjM","10","32","40","NULL"
"47214","5470","#V99CY8C2","sharif","217","239","0","#2R0URJU9","MOHISBATHAN CT","4IYaGHTNZF3sS9e5N0m4JDtrd3KcLKwOQ00ta2DzOlE","10","40","40","NULL"
"47812","5466","#JPQG9JV0","reyes gonsalez","151","144","3","#8VPG0LYC","ImperioReal TOP","fvoF2pJTtXkG7nzx6jWYwQPbK_KyECrRV8z7Mt2KRT0","10","40","40","NULL"
"48305","5463","#8LG2RQVVV","متین","185","309","7","#29J9RC98","Persian Kings","kjWcCTqQwUaIUP6Tw0mSFnryKRHAwsRxsmT3BOFeQOI","10","40","40","NULL"
"48941","5460","#20UGL2P9Y","filip","159","119","0","#9VLJGQQG","chpierrot","VTR-WKURqPVFcKzgpykiLINUfGFFMIfSHKsopBsSelQ","10","30","34","NULL"
"48942","5460","#9LQ99V08L","googal","157","249","0","#9VLJ0YUR","Lankan Dragons","tsbNDyZqWrKKI1EkE3OG35KUf2lGZgdOUm0Lq5PhrvE","10","16","22","NULL"
"49554","5456","#89QGRPPPG","期待一份杀戮","141","177","1","#8RYVQ9RG","LOL. S5. 万岁","TCVeO_uMyQyX3OC7JSAYWRBkpkRe2j1bUgsiHms8y2c","10","31","35","NULL"
"49642","5455","#8UYGC2GY","Spackman","168","439","0","#R9LR08RQ","TRUE BLUE 3","zOPtImYFRaqMp9Gm8_Lzy-p2VEZFui59gUvP7hUR0rs","10","40","40","NULL"
"49672","5455","#80R2GQQP8","O M A R","171","228","0","#PCRVR2R8","اعز الاصدقاء","oxvTf65n8dBjlsdGWuwo8NuTARnRqzmFP0gVr5b93K4","10","33","40","NULL"
"50439","5451","#98V8QCJ9R","Mirko","145","114","1","#8GLJ2VR0","SOLO RELAXcoppe","w-s_7qXZ4oqDt7XI1IE-n00hfUjU_Rf2637oidCywjk","10","36","40","NULL"
"50571","5450","#8JL98GLV2","Hitesh","168","301","1","#P0RGL802","INDIAN'S SPIRIT","FRM-pr7fVwMsSsg7qj-5KX4Yznw3oCq0I6H_zJuH00s","10","34","40","NULL"
"50678","5450","#2UGP0LRGG","The logoxz","145","164","3","#8QL2JR89","Kisaran Brother","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","10","25","31","NULL"
"50723","5449","#2RVP8JVV8","blazing bud","168","252","1","#P0UPC2VG","#IRISH LEGENDS","l6RPv4s4TOaCrdfU-xQGNDUVFwuObMWw-u26c02U2dU","10","40","40","NULL"
"51456","5445","#UL99VGPY","ラララギ","181","251","1","#PJYU28YU","七海","YjMI6VBVdxRLHI2VYpxbztSTnTXD01UIGoBST1VSlGk","10","40","40","NULL"
"51936","5442","#GCGRP2L8","nightingale","153","179","1","#8QL2JR89","Kisaran Brother","EVbWpgRMFF8UE2j-mnxnhqLmiuFzQPJhjEhdLa874ZU","10","27","28","NULL"
"52088","5442","#2920VCULC","Gradur sheguey","167","130","1","#9RLCLCVP","La Tulipe Noir3","tsbNDyZqWrKKI1EkE3OG35KUf2lGZgdOUm0Lq5PhrvE","10","39","40","NULL"
"52249","5441","#8Q0RCUYU0","MORIELI","159","185","0","#Q82YYU9Y","MGLURI","JVqVoGLkFwRRxN-Sl3qXivtDHshhhYbxizTAFh9L83A","10","20","33","NULL"
"52942","5437","#2JUL9LQG","Ashen worldwide","165","229","0","#2L8CJQP8","CuteReapers","CtEckcJiTeT13Ktdocgw8JAGsF1fvj_dw9Zkc2cWag0","10","30","31","NULL"
"52968","5437","#82QCQRRL9","xTuhin","147","232","0","#YUGLYQYG","Wari Warriors","9CbTwqsGl3_tzd7N4Gt5Mgqq3VcRTc9ejjAdMuCDhMI","10","15","36","NULL"
"52992","5436","#GLR2RC0P","♠DANIELKORINGA♠","158","282","1","#9C9R0220","TNT BR","OnyoVzsqn5OaD1w8kiki9N4Z_fVD5RkueWVuq1gkKiE","10","36","38","NULL"
"53381","5434","#2JRCVRLJG","alberto","154","194","0","#8RYU9YU8","dominican cxa","TU0t119W5y2lbBAVtL4Ybx4aRPZMAzc5gvFgg02dXHI","10","38","40","NULL"
"53463","5434","#2CPUJVU9","MASTER","187","213","0","#RCQV0C9","TJK Giganti TJK","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","10","40","40","NULL"
"53884","5431","#2JLCL9VGQ","shush","187","220","0","#9UJ80CQY","we are one","Oinh_vQluTd-m8wC7aisGzUZSaEj_Imnf9_jovEoEk4","10","35","36","NULL"
"53885","5431","#2LCY8RGL2","Keijhiero","170","174","0","#PG8CJGG9","BHINEKA","NV2UNeQQkGYXXCX8BXPpqFi0IUD1dunjeP4EgUqifSg","10","37","40","NULL"
"54935","5426","#PV9CCUGC","GodlessWolf","160","330","3","#U2CGRRYR","USA ALL-STARS","fG8lVXQps8kelphi71OJGZcK53x_O9ibpAcw0XylqS4","10","40","40","NULL"
"55013","5425","#9PJRJRGVL","victorlook","138","180","1","#PQL2PRLR","002 latin mafia","zzjNZyDI7LkrwpU21-HxJsMjB9or0khYBRjHKbIr7e8","10","22","30","NULL"
"55393","5423","#8GQ0G9UQU","Rick&Supriyo","156","249","0","#G8V08QL8","INDIAN PIRATES","pIQF0DrthjPQPaGjCOmQVYGP1hV2t0naCg1V2IaEoAo","10","31","31","NULL"
"55939","5420","#ULYGCV2C","⚡sudip⚡","161","180","0","#YURC02R","INDIAN WARRIORS","TU0t119W5y2lbBAVtL4Ybx4aRPZMAzc5gvFgg02dXHI","10","24","30","NULL"
"55941","5420","#89U98VJVU","General Kratos","163","375","2","#R8Q2JJ8J","ARMAGGEDON","GM8oUGe4-5iBaqYJYDcImI-iUPbnr_p3y_qzs8oqoy4","10","40","40","NULL"
"56025","5420","#2QP908CYL","senura","145","286","0","#8V9LG2JL","LIONS KING","FRM-pr7fVwMsSsg7qj-5KX4Yznw3oCq0I6H_zJuH00s","10","26","35","NULL"
"56072","5419","#2J2U2JYQP","Vania Putri","178","216","1","#2JVGRJPP","Semarang Group","OIrad9oLA0EmSCLfrIzdbS0O7tTdZH5cKDhJEZfu8NM","10","40","40","NULL"
"56155","5419","#2QRQJV0P8","⚡️Himmà⚡️","144","109","0","#2Y9R89J","Pekka-Express","8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y","10","40","40","NULL"
"56230","5418","#22P0PCC8J","OheL Gaspoll","198","230","1","#89CY9Q08","hindi warriors","DAt3F4VShTIS5aSa_I7FJ8uBZNw914CUaeoSAvN17Sc","10","40","40","NULL"
"56291","5418","#JGP2YQJG","ocha RAEESA","157","196","1","#QCV9G9PJ","Arek_JEMBER","6iksGMZwQr_7s7y15-lcIiv3p56YjnlIane1FpIF2Rk","10","27","40","NULL"
"56499","5417","#2UV2C2RV8","Ridwan Pain","156","195","0","#9GG89999","Gaspoll Poek","agr1Cy6wuAwSSGkLpZT18aUem8PnLb7ZU1Df_KAS2tU","10","40","40","NULL"
"56594","5416","#2J9QPPQVR","Detian75","163","277","1","#9GG89999","Gaspoll Poek","agr1Cy6wuAwSSGkLpZT18aUem8PnLb7ZU1Df_KAS2tU","10","25","39","NULL"
"56626","5416","#LQQU88RQ","JUWE","162","294","1","#U2CGRRYR","USA ALL-STARS","fG8lVXQps8kelphi71OJGZcK53x_O9ibpAcw0XylqS4","10","30","35","NULL"
"56713","5416","#2UUVCPU8C","king rachit","148","207","2","#UV9Y8GV","delhi -titans j","8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y","10","39","40","NULL"
"56773","5416","#G882Q2P","Zeus","156","132","0","#CL0QU2Y","琅琊榜","jA0A1-BAutiOTM9fWQbKkXZMCteT8NswDo_QW1TSnIk","10","23","40","NULL"
"56934","5415","#822V8G9VU","MAHER","170","114","0","#LQC9L2LJ","Brothers Army","Ha7GqnHoMWJpwlF03t-T73lpPF3zviJeh09-h8QT7Lg","10","33","38","NULL"
"57219","5413","#GJ2JJRP9","El inmortal","165","194","1","#Q0909PUG","Los Inmortales","16MOu7WWzc55LnHXLsS3c1K9_PfOg0EUG_oJYJPfzGw","10","37","40","NULL"
"57404","5412","#2P8P2GPL9","rAnce","161","132","0","#LQPCPLUQ","GOD's SAVIOR","pNwbtdL_kn9BwHjL_43rlF-Xk_ZqoxavOStOcKmwr2I","10","33","40","NULL"
"57476","5412","#CYGGL0JQ","hameed","166","204","0","#22GGRQ28","INDIAN FANATICS","B4M2RrUflv7OkpxrX0oH7oCUbUuVMihzCOLhi-6IsEI","10","23","23","NULL"
"57519","5412","#8QGV9GGQP","Mister X","160","227","0","#2LJ0QRLG","BvD","YNn2d5Iu2tnFKyP2jWN2HBOXeCYlGOF-SqJn0klsiTk","10","22","33","NULL"
"57886","5410","#8G0GRQVRY","andung","145","167","0","#8G9UVC8V","padang bengkok","MbKl2cFmcQ_VeR-UKhdM2VfpNulRqU6lmCOmPf_rNmI","10","40","40","NULL"
"57897","5410","#88QL9QQGP","skysee","162","310","1","#PY2LRVP8","#superclashers","YMSh3zRpb0IE0nEJ4g7CfSomzBs-RQcWFiVpP3h05ew","10","40","40","NULL"
"58088","5408","#2PYJYYJRU","Wilberth C.R","159","410","0","#80QQP9J2","los insuperable","FDwK67NjcQZcOR9OBlqOkx0YjvF2X1pHhVAcdjZMj8Y","10","31","31","NULL"
"58139","5408","#9PU2C0RCQ","galante","143","434","2","#PVPC808U","valmor rock","KzIU29xI4JPcMNvnYutkMivV9XgQTZEwFnUY9jRRKtw","10","37","40","NULL"
"59144","5403","#8QP8GUJ2Y","Rook-lee✌","141","225","0","#82CYUUYR","noobs legendary","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","10","30","34","NULL"
"59314","5402","#8Q0UVC99L","BAGOLAY","157","202","0","#9LQJ2QQ0","Bekasi","gleInU799fdmj_-HlZa1CUqDbBhS2NwaV-5Of4g5ngs","10","32","35","NULL"
"59409","5402","#2Y2U2VUP2","Cassy","179","350","0","#9GPG0L0L","Mumbai MavericX","ny-vo8DRxjkG-UIm0MqAF6xYYo2_phbeZjfHD82RXlY","10","28","30","NULL"
