"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","townHallWeaponLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","wallWrecker","battleBlimp","electroDragon","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"7276","5802","#20JV98G2","YourDestiny","166","476","1","#9PRCP8C8","TheSweetBeast","j8e4iEwsiYdQFjaoHkud3He9LmtsMNxwkrZhSfnETUE","5814","2518","10","NULL","6","751","824","1474","2018-06","7276","5802","2018-06","7276","5802","NULL","NULL","NULL","NULL","NULL","NULL","6","7","6","7","6","6","7","4","5","3","6","6","5","5","2","3","2","4","3","10","10","12","10","10","NULL","6","NULL","12","10","NULL","NULL","NULL","7","7","5","3","3","4","3","4","1","1","40","40","NULL","5","11","150","10","4312","1","1464283116","1493003418","5814","6","16395","3924","18748","6043","924","252130","11733","9913764","22","4720","1236","824","180320568","154","3368","1","6","1","846","2518","2","1","24080"
"8707","5768","#2VGQ99VY2","TRAP","184","358","0","#8L2PQJUR","Cyprus Elites","VVQ1hRBUCaGPKxDA3_L1vBELEVrcyy7Saw9d0eo_ZQk","6009","4155","10","NULL","8","1240","780","9677","2017-12","7595","5848","2018-06","8707","5768","2018-01","284904","4088","NULL","NULL","NULL","7","7","5","6","6","6","7","4","5","5","6","6","5","5","2","3","2","4","1","14","14","13","13","14","2","14","4","14","12","NULL","NULL","NULL","7","7","5","2","1","4","4","4","1","3","20","20","NULL","8","11","153","10","3584","1","1337569275","1443398170","6009","6","16709","2905","24417","6903","1925","320065","14538","8546604","22","4244","1703","780","353328302","680","7552","1","8","1","1668","4155","3","1","26795"
"8809","5766","#JYGCY2J","p'tit beurre","169","211","2","#9Q8JCUQ8","Napoleon 4","tsbNDyZqWrKKI1EkE3OG35KUf2lGZgdOUm0Lq5PhrvE","5845","4967","10","NULL","8","2046","671","5249","2018-06","8809","5766","2018-06","8809","5766","2017-09","19081","4250","2018-06","173766","4374","7","7","7","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","16","14","14","15","14","1","16","14","12","14","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","3","40","40","NULL","16","11","153","10","3803","1","1359141577","1390950327","5845","6","34415","6742","22845","8872","3775","163081","14716","10664341","22","6655","2324","671","315640778","398","3206","1","8","1","2741","4967","3","1","11875"
"8887","5764","#88PL2CY28","™Unknow™","145","313","0","#2VG2GLL","TAMTAMA CORPS","agr1Cy6wuAwSSGkLpZT18aUem8PnLb7ZU1Df_KAS2tU","5794","3166","10","NULL","7","1205","530","1582","2018-06","8887","5764","2018-06","8887","5764","NULL","NULL","NULL","NULL","NULL","NULL","6","6","7","7","6","6","7","4","5","4","6","6","5","5","2","3","2","4","3","12","12","12","12","12","NULL","12","11","12","12","NULL","NULL","NULL","7","6","5","2","1","2","4","3","1","1","29","29","NULL","8","11","153","10","3666","1","1283320100","1352826678","5794","6","23685","2779","14974","3900","492","87863","11475","7633446","22","4293","1097","530","208281670","177","1566","1","7","1","1119","3166","2","1","10865"
"11343","5715","#28U9QJPVG","アルテック","155","272","2","#9P2UG8UP","Молодые","agr1Cy6wuAwSSGkLpZT18aUem8PnLb7ZU1Df_KAS2tU","5766","2357","10","NULL","6","244","1014","1199","2018-06","11343","5715","2018-06","11343","5715","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","7","6","6","7","4","4","6","5","6","5","5","2","3","2","4","3","10","10","9","10","8","NULL","2","NULL","10","4","NULL","NULL","NULL","6","7","5","3","5","3","4","4","1","3","28","33","NULL","5","11","153","10","4403","1","639690923","717061639","5766","6","19309","3168","12155","4260","339","140689","9320","6117080","22","3829","977","1014","347882672","118","2088","1","6","1","269","2357","2","1","5890"
"11730","5708","#29V89QYRC","Leonie","147","337","0","#YPL90JG9","GNADENLOS 2","Vpo4EkBaY-g_JU5zmLQML96OguJCphLmKImUCR6apFc","5708","3538","10","NULL","8","2163","429","916","2018-06","11730","5708","2018-06","11730","5708","NULL","NULL","NULL","NULL","NULL","NULL","6","7","6","7","6","6","7","4","5","3","5","5","5","5","2","3","2","4","1","12","12","12","12","12","NULL","12","13","13","12","NULL","NULL","NULL","6","7","5","3","5","4","3","3","1","1","35","40","NULL","10","11","153","10","4669","1","1054577509","1108379666","5708","6","28597","3382","18868","5638","296","111536","11493","7353787","22","3705","856","429","177605048","186","2200","1","8","1","2441","3538","0","1","11090"
"13728","5673","#20L800Y9U","Te-a","156","383","4","#9QUPGC2J","Mizo Meipui","H-gEPj3U0DNJ_Y9dwAG04ma6_Nq-4TiIsmsUg2NPMxc","5725","2653","10","NULL","7","385","1063","673","2018-06","13728","5673","2018-06","13728","5673","NULL","NULL","NULL","NULL","NULL","NULL","7","7","7","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","13","12","8","10","1","NULL","2","NULL","8","12","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","3","40","40","NULL","8","11","153","10","2791","1","1256412195","1297458758","5725","6","25649","2921","14353","3767","723","135302","10258","8717807","22","5049","1569","1063","323485087","299","2697","1","7","1","374","2653","1","1","7100"
"14098","5668","#2Q2CLY0","SevenDeadlySins","165","222","3","#PQVV8CPL","Aveyron Gamer`s","wDm3LaRfcnO1_LIls5z-j9C6eyQ2F3PDIVKL-63-3sw","5681","2741","10","NULL","7","865","615","966","2018-06","14098","5668","2018-06","14098","5668","NULL","NULL","NULL","NULL","NULL","NULL","7","7","5","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","14","12","12","14","12","NULL","14","1","12","12","NULL","NULL","NULL","7","7","5","3","5","4","3","1","2","1","35","36","NULL","10","11","153","10","4755","1","1201450392","1386582146","5681","6","63489","5096","20841","6246","660","164155","16480","12203790","22","8290","2703","615","335952414","408","4166","1","7","1","1122","2741","2","1","8775"
"14742","5658","#9LPQ0YGGP","LOVER BOY","140","242","1","#G9CYLRQV","GOLDEN LIGHT","pgnKjVfDk9Zo45937jeAVeK274Jt89M3sjKejr5fq24","5693","3106","10","NULL","7","769","715","658","2018-06","14742","5658","2018-06","14742","5658","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","7","4","5","5","5","5","5","5","2","3","NULL","4","NULL","12","12","14","11","11","NULL","10","NULL","14","11","NULL","NULL","NULL","7","7","5","2","2","3","3","2","1","1","28","37","NULL","10","11","153","10","1942","1","968089151","1009698522","5693","6","24112","2820","14314","4173","224","79831","10468","7115872","22","3811","989","715","221230289","64","1439","1","7","1","941","3106","1","1","13750"
"15937","5642","#LPRGYLRP","raul","162","453","2","#2YGG20P0","Zone Cafupi","KzIU29xI4JPcMNvnYutkMivV9XgQTZEwFnUY9jRRKtw","5802","2962","10","NULL","6","524","553","1538","2017-07","14506","5697","2018-06","15937","5642","NULL","NULL","NULL","NULL","NULL","NULL","7","7","7","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","10","10","8","10","8","NULL","9","NULL","10","1","NULL","NULL","NULL","7","7","5","2","4","4","4","4","1","1","34","34","NULL","5","11","153","10","4649","1","1043361781","1120283010","5802","6","24155","6496","20132","9011","1171","169581","12434","6541841","22","4777","2246","553","183942374","220","2536","1","6","1","380","2962","1","1","11260"
