"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","townHallWeaponLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","wallWrecker","battleBlimp","electroDragon","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"15613","5714","#LQPQCVRJ","Troy","146","356","1","#Y8RG8QY","Quantum's 8.9","zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI","5768","3008","9","NULL","7","1108","1170","4017","2019-05","15613","5714","2019-05","15613","5714","NULL","NULL","NULL","NULL","NULL","NULL","6","6","2","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","11","13","14","12","12","NULL","14","NULL","12","5","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","9","11","220","9","4730","1","1194387820","1207160808","5768","5","39331","4484","23284","7266","1150","120712","14538","8999023","22","4639","1186","1170","180598175","330","2225","1","7","1","1240","3008","2","1","84480"
"23648","5624","#8Q8CCYRLU","欣爱欣","149","302","1","#Y2PRC9YC","问鼎","N3RDI6oRKwVJ2AWiqT_LtnDOlqscDS-D3dy7x4DQDzA","5705","2660","9","NULL","6","578","910","2180","2019-05","23648","5624","2019-05","23648","5624","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","10","8","12","10","NULL","12","NULL","11","12","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","10","11","162","9","2785","1","1547173119","1536760640","5705","5","43813","4298","23104","6619","840","171282","15448","9755167","22","4912","829","910","141822569","209","2553","0","6","1","709","2660","2","1","15305"
"35125","5535","#P28LQRQC2","SÎLÊÑT KÑÎĞHT","157","324","2","#VRUCVLP8","THE INVINCIBLES","SWcSuBwZEA2kBlCyGaOkWwoPJrLxl8usYPDDPSH2NWU","5858","3082","9","NULL","8","1491","1018","3671","2019-03","34822","5688","2019-05","35125","5535","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","12","14","13","12","1","13","5","12","14","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","11","11","170","9","1975","1","1387644888","1420462703","5858","5","28196","3139","26569","6489","177","180627","16355","10464391","22","5432","2138","1018","160323033","358","5510","1","8","1","2026","3082","2","1","72565"
"42507","5492","#9LYYCRLVU","乡下土野人｀","185","391","2","#RRVRRQV9","酆都","RTKDxAfXDLjsJuE49KX52Ok8V0QPYStenikhb8_5EP0","5600","5020","9","NULL","8","1756","952","1627","2018-02","36210","5501","2019-05","42507","5492","2018-06","7819","4983","2019-05","43206","4529","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","16","16","16","16","16","13","16","16","16","16","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","18","11","150","9","3143","1","1307423970","1316083620","5600","5","51289","3338","22062","5896","153","377878","12234","7878467","22","3768","727","952","143394540","101","8284","0","8","1","2377","5020","2","1","24890"
"43823","5484","#GVJ0JGVC","❤️Rose❤️","166","295","0","#8Q2CGCUG","TheOtherSide","-8iOqK0aMjzkxd-oHY9BeJ7wG7aec_p1t_cPp-X-HtA","5484","3245","9","NULL","7","1441","1078","1175","2019-05","43823","5484","2019-05","43823","5484","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","14","13","12","14","14","NULL","14","1","12","14","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","20","11","173","9","4302","1","1041723640","1066498272","5484","5","20659","2465","16080","4088","540","256247","11345","6632163","22","3190","456","1078","197359264","124","5499","0","7","1","1701","3245","2","1","59495"
"53851","5434","#P0PULQJV8","душный вареник","145","278","1","#QPR0GJLL","ОТАМАНИ ! ! !","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","5519","3357","9","NULL","8","967","784","1715","2019-05","53851","5434","2019-05","53851","5434","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","13","12","12","12","4","13","10","16","13","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","11","11","165","9","3504","1","853736631","887629460","5519","5","12751","1655","18031","4495","207","131375","11058","6299315","22","3737","1395","784","138887585","221","3520","1","8","1","903","3357","2","1","51370"
"55570","5426","#892JQY9G9","ᒡ五素曜凡尘づ","130","501","2","#Y2PRC9YC","问鼎","N3RDI6oRKwVJ2AWiqT_LtnDOlqscDS-D3dy7x4DQDzA","5527","2396","9","NULL","7","320","544","655","2019-05","55570","5426","2019-05","55570","5426","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","8","9","4","9","7","NULL","12","NULL","4","NULL","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","5","11","NULL","9","1732","1","1337759542","1283280402","5527","5","26419","4203","16356","5911","786","79853","9152","7072015","22","2083","284","544","133950843","63","631","0","7","1","386","2396","1","1","8235"
"56878","5421","#RLUR9JPC","JeffreyTheGreat","140","320","0","#92J8UY02","NobleStronghold","_lngKbaS9VlTCn2V8iTuOO_nb3o7X7ctqhVaMgViCLA","5515","2946","9","NULL","7","1007","538","631","2019-05","56878","5421","2019-05","56878","5421","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","12","9","14","5","NULL","14","NULL","9","10","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","9","11","193","9","4568","1","1017463948","1074391485","5515","5","26962","3522","18912","5555","782","109922","12812","6264852","22","3402","664","538","105607410","162","1758","1","7","1","1079","2946","2","1","21390"
"57054","5420","#Y8RR2QCQ0","电竞小松","116","215","2","#2UCPUVJ","蓝鲸特战营","vUTP2-uQPJX0EDfR2pplwe3mYl2z13G0KLoCqd7Q59w","5422","2853","9","NULL","7","711","240","740","2019-05","57054","5420","2019-05","57054","5420","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","12","9","12","12","NULL","13","NULL","9","9","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","21","30","NULL","7","11","175","9","752","1","555015291","551163347","5422","5","8675","1102","6992","1943","101","36428","4202","3107056","22","1121","286","240","163432294","45","1417","0","7","1","692","2853","2","1","40455"
"60214","5407","#8YPQCYYLU","oliver newa","149","337","0","#LP2CQPUY","Ne-Wa G","OnyoVzsqn5OaD1w8kiki9N4Z_fVD5RkueWVuq1gkKiE","5407","3074","9","NULL","7","793","1088","774","2019-05","60214","5407","2019-05","60214","5407","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","13","11","14","10","10","NULL","14","1","14","12","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","5","11","165","9","1946","1","1033103181","1127550177","5407","5","23718","2736","18739","5056","345","152776","12841","6978569","22","3959","1041","1088","207220730","209","3469","1","7","1","938","3074","2","1","24920"
