"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","townHallWeaponLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","wallWrecker","battleBlimp","electroDragon","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"5064","5940","#9GRQVU0YL","Wampireash","195","302","0","#9P8P09P8","Shadow ¥ Legend","RTKDxAfXDLjsJuE49KX52Ok8V0QPYStenikhb8_5EP0","6063","4722","10","NULL","8","3545","878","5794","2019-05","5064","5940","2019-05","5064","5940","2019-05","55979","4489","2019-05","55979","4489","7","7","7","7","6","6","7","4","5","6","6","6","5","5","3","3","2","4","3","16","16","16","16","16","16","16","16","16","16","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","3","40","40","NULL","25","11","203","10","5537","1","1874643146","1934002493","6063","6","49138","5198","31532","8416","170","324840","20547","14197399","22","7647","2835","878","346666502","794","8280","1","8","1","4244","4722","3","1","74860"
"8416","5840","#800UJGRG9","ゆずぽんtan","172","310","0","#G8V82LP","SUPER KIDS","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","5986","2317","10","NULL","6","256","1301","11202","2019-04","5690","5928","2019-05","8416","5840","NULL","NULL","NULL","NULL","NULL","NULL","7","7","7","7","6","6","7","4","5","6","6","6","5","5","3","3","2","4","3","12","10","10","10","8","NULL","NULL","NULL","4","NULL","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","3","28","40","NULL","1","11","153","10","2543","1","2000000000","2000000000","5986","6","94252","7802","42460","11865","209","214088","26564","17241865","22","10157","2678","1301","284119434","715","5538","1","6","1","296","2317","2","1","20610"
"10752","5792","#9CC92QR9Q","ERICK BUTTOWSKI","158","249","0","#2RGVYLGR","HONDURAS VIP","WYkWpHKJWCUZaMHW7kHOCJ-xFwuA6UDT-idoxqSLE9Y","5792","3934","10","NULL","8","2101","460","1211","2019-05","10752","5792","2019-05","10752","5792","NULL","NULL","NULL","NULL","NULL","NULL","7","7","6","7","6","6","7","4","5","6","6","6","5","5","3","3","2","4","3","14","14","14","14","14","11","14","9","16","14","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","3","40","40","NULL","14","11","150","10","3170","1","1389439122","1373144913","5792","6","58725","4113","18349","5088","118","89541","12788","11561675","22","6258","2177","460","345328844","329","3186","1","8","1","1889","3934","2","1","44895"
"11456","5778","#9V20VQGGU","I AM SUN","166","270","0","#98Y8JRVQ","Lava Loon","aGaaTurSvP_QVsnLKTZhqJKtVPKRkdDG8JJf7mLOZpA","5798","3249","10","NULL","8","568","1007","1888","2019-05","11456","5778","2019-05","11456","5778","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","7","6","6","7","4","5","6","6","6","5","5","3","3","2","4","3","14","14","14","14","14","2","5","1","14","14","NULL","NULL","NULL","7","7","5","2","5","4","4","3","1","2","28","37","NULL","5","11","171","10","2532","1","727951762","802991288","5798","6","26703","2324","12504","3369","211","181595","8144","5637624","22","2724","1100","1007","400280989","287","3251","0","8","1","674","3249","3","1","17120"
"13297","5747","#RY9J9P0Y","Suraj","185","414","1","#G2GUR0CQ","HUNTERS","SWcSuBwZEA2kBlCyGaOkWwoPJrLxl8usYPDDPSH2NWU","5817","3225","10","NULL","8","1361","1335","799","2019-05","13297","5747","2019-05","13297","5747","NULL","NULL","NULL","NULL","NULL","NULL","7","7","7","7","6","6","7","4","5","6","6","6","5","5","3","3","2","4","3","11","14","13","14","8","NULL","2","1","14","15","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","3","26","40","NULL","13","11","175","10","5490","1","1230711631","1291440039","5817","6","38731","4350","22715","6339","878","290893","16101","8978525","22","7546","3049","1335","423457874","574","6775","0","8","1","1558","3225","2","1","31330"
"16390","5704","#YV29J8JY","ᏕᝯᏒᏋᤁᎩ⚡️ᵗʰ¹⁰","154","256","0","#PPGLV2UV","Minang Sutan","eLwtLsA1HolDmdreoTgNohu6Ydd_Tq28isqy4Mj3sBg","6067","2663","10","NULL","7","433","703","6538","2019-03","9506","6031","2019-05","16390","5704","NULL","NULL","NULL","NULL","NULL","NULL","7","7","7","7","6","6","7","4","5","6","6","6","5","5","3","3","2","4","3","12","12","12","12","11","NULL","10","2","12","11","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","3","40","40","NULL","5","11","150","10","6411","1","1396180576","1399368042","6067","6","39052","3573","21412","5550","1260","102937","11699","9336778","22","4506","1947","703","281055514","587","2740","1","7","1","394","2663","2","1","12085"
"17581","5688","#9Q2U8CY9V","✨Sahaza✨","179","219","0","#CU9P2QVY","RavinaLA","kgK0jc04dM9UHn56N7KctM44c_Or4ZSkzA1XOqURheY","6008","5217","10","NULL","8","3398","768","4353","2019-02","11484","5995","2019-05","17581","5688","2019-04","3536","5052","2019-05","7531","4807","7","7","7","7","6","6","7","4","5","6","6","6","5","5","3","3","2","4","3","16","16","16","16","16","8","16","16","15","16","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","3","37","40","NULL","25","11","193","10","3429","1","1599811628","1576089996","6008","6","25099","3499","19639","4963","608","203349","11771","8517505","22","4154","1742","768","248057588","357","5318","1","8","1","5344","5217","3","1","43760"
"18546","5676","#P90QRPJCR","吃根香蕉叭","126","260","0","#28UJYL88G","哈哈哈哈","uvPL8WSJXACMAgOW3JsNLvoFgjHqkbgeQ0QipAY56v0","5765","3008","10","NULL","8","636","334","853","2019-05","18546","5676","2019-05","18546","5676","NULL","NULL","NULL","NULL","NULL","NULL","4","7","5","7","5","6","7","4","5","2","6","6","5","5","3","3","2","4","3","12","10","11","11","10","NULL","10","1","10","10","NULL","NULL","NULL","7","7","5","2","5","4","3","4","1","1","27","40","NULL","5","11","195","10","2702","1","1146224658","1217365732","5765","6","19540","2486","11169","3077","499","18131","8433","6592859","22","3869","1548","334","140294499","234","283","0","8","1","752","3008","2","1","25950"
"18785","5674","#28U9QJPVG","アルテック","165","181","0","#9P2UG8UP","Молодые","qJdEWA673O4Ai3OnKuqTG8rg-zuFCfDhlX8zAUeWaA0","5914","2825","10","NULL","7","325","1257","9158","2018-07","9131","5796","2019-05","18785","5674","NULL","NULL","NULL","NULL","NULL","NULL","7","7","7","7","6","6","7","4","5","6","6","6","5","5","3","3","2","4","3","10","10","12","10","8","NULL","4","NULL","10","13","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","3","40","40","NULL","6","11","156","10","6139","1","1228264333","1316492592","5914","6","42395","4650","24354","7355","343","163877","16349","10944184","22","6572","2546","1257","400894072","744","2566","1","7","1","355","2825","2","1","21530"
"19433","5666","#PPGCUGLYY","余生不忘~庆","134","493","0","#YUGPJ8VQ","蓝竹-无悔","FP7gZyj5vG5eJ2OpYYQdNndgTj7dHig7II2c3h6ypVc","5697","2600","10","NULL","6","1328","246","800","2019-05","19433","5666","2019-05","19433","5666","NULL","NULL","NULL","NULL","NULL","NULL","7","6","4","6","5","6","6","4","5","2","5","3","5","5","1","2","2","4","3","12","12","12","12","12","NULL","12","NULL","12","12","NULL","NULL","NULL","7","7","5","1","5","1","4","1","1","NULL","38","40","NULL","10","11","NULL","10","2547","1","1144830455","1312302345","5697","6","24908","3253","15478","4242","159","72369","10620","8440287","22","4714","2356","246","187111469","445","1108","0","6","1","1554","2600","2","1","59460"
