"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","townHallWeaponLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","wallWrecker","battleBlimp","electroDragon","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"12320","5898","#PQ2RUPYP","Synthetique","176","459","0","#9L2QYV8R","All Stars","DNsohYfD9L5MoS-tAQgqOz5Nfy19BhEgPqPQ6mPnIxo","5980","5177","9","NULL","8","1788","1929","2630","2018-09","8990","5885","2018-11","12320","5898","2018-02","6045","5000","2018-11","409090","4148","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","16","16","16","10","16","16","16","16","16","11","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","25","11","217","9","5573","1","1055216673","1096899698","5980","5","14492","6725","18063","9330","1383","279181","10639","6647471","22","3687","1170","1929","153740322","408","4149","1","8","1","2333","5177","2","1","24680"
"24135","5718","#89V2RPPP9","۷ɛɬɧąιąɱ","168","427","1","#Y8RG8QY","Quantum's 8.9","zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI","5817","4176","9","NULL","8","1175","691","4820","2018-07","19967","5637","2018-11","24135","5718","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","10","16","12","5","5","2","14","14","14","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","14","11","NULL","9","4205","1","1698602969","1646792607","5817","5","33950","3172","29703","7624","304","285561","17489","8861200","22","3583","655","691","126775960","299","5034","1","8","1","1570","4176","2","1","14900"
"29217","5664","#QLLJCQ0V","」TRAPİON「","151","359","0","#Y0J0U8C","ESPAÑA SOLDIERS","0qBaaO6YuOlrydQ5VTXGzeHoxIKvBFr27T8VS2jEQmg","5718","2929","9","NULL","6","936","585","2103","2018-09","26927","5622","2018-11","29217","5664","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","12","12","12","12","NULL","12","NULL","12","12","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","10","11","215","9","3167","1","1247680865","1354162442","5718","5","21869","2938","23066","5761","274","183554","13811","7830257","22","3551","993","585","180134516","186","4091","1","6","1","1077","2929","2","1","63335"
"32376","5635","#88LYCVRP0","[E]vil Th9™かのまツ","145","417","0","#Y8RG8QY","Quantum's 8.9","zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI","5641","1711","9","NULL","4","217","1252","945","2018-11","32376","5635","2018-11","32376","5635","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","8","8","8","8","5","NULL","NULL","NULL","8","NULL","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","NULL","11","NULL","9","2776","1","1198235004","1326440796","5641","5","50094","4215","22972","6366","464","163646","15939","9153958","22","5232","1058","1252","265488727","215","3163","1","4","1","215","1711","1","1","21925"
"35240","5612","#8JJ9UPC2C","Iniesta.Home","159","266","0","#Y8RG8QY","Quantum's 8.9","zyggSTpwyjmHb1-WoAuvhTXGEmq2P1cSMnxSG5zxOYI","5881","2683","9","NULL","6","744","1341","3984","2018-05","13895","5879","2018-11","35240","5612","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","12","12","12","12","12","NULL","12","NULL","12","12","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","8","11","162","9","6513","1","1393204672","1470005635","5881","5","31184","2951","22377","6149","5012","213448","14205","9632255","22","3828","623","1341","201958071","292","5527","1","6","1","893","2683","2","1","36745"
"37320","5595","#22JUQQYJP","$ PoBre LoKo $","142","300","1","#C09GQUY8","BRAZIL AVENGERS","JVqVoGLkFwRRxN-Sl3qXivtDHshhhYbxizTAFh9L83A","5757","2328","9","NULL","7","268","265","1840","2018-11","37320","5595","2018-11","37320","5595","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","8","10","8","9","6","NULL","1","1","8","8","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","6","11","203","9","3524","1","1148362609","1166530396","5757","5","36583","3284","20126","5479","238","131765","13101","6630236","22","2971","473","265","125853635","143","2946","1","7","1","314","2328","2","1","11030"
"38976","5582","#8L2CVR8GY","kuwk7","143","272","0","#QC0UC0G9","CIKU CIKU","VNKjK5xu_cPgeUdQqpuOzBgJQSF2ha0TdWlbgv3i5Bk","5671","326","9","NULL","3","12","1109","5000","2017-06","16569","5379","2018-11","38976","5582","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","2","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","NULL","11","150","9","2479","1","1488922640","1521691886","5671","5","31425","6163","28652","10045","75","128740","17085","9610004","22","3976","885","1109","211266552","402","5936","1","3","1","12","326","0","0","7600"
"39634","5577","#8LCUQR2QP","Royal family小曹✨","203","553","0","#8RYVQ9RG","LOL. S5. 万岁","TCVeO_uMyQyX3OC7JSAYWRBkpkRe2j1bUgsiHms8y2c","5671","4030","9","NULL","8","1253","1111","1644","2018-11","39634","5577","2018-11","39634","5577","2018-11","600572","4030","2018-11","600572","4030","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","16","14","14","14","12","3","16","7","14","14","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","20","11","211","9","4082","1","1698998401","1833580181","5671","5","32922","4331","30677","8123","5049","392867","20589","10095679","22","7430","2268","1111","164705832","504","10123","1","8","1","946","4030","2","1","54140"
"39750","5576","#2Q2JUVGGQ","帅煞众生之传奇小龙⭐","156","286","1","#8RYVQ9RG","LOL. S5. 万岁","TCVeO_uMyQyX3OC7JSAYWRBkpkRe2j1bUgsiHms8y2c","5606","3489","9","NULL","8","1569","940","1088","2018-11","39750","5576","2018-11","39750","5576","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","14","14","11","14","14","NULL","14","4","12","14","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","23","30","NULL","15","11","NULL","9","4649","1","721634000","763097521","5606","5","32873","2939","14808","4216","306","200806","11405","5277206","22","3404","813","940","380939706","120","4909","1","8","1","1227","3489","2","1","11920"
"42516","5557","#8QYQGCUCQ","Tn.HACK","137","252","0","#QC0UC0G9","CIKU CIKU","VNKjK5xu_cPgeUdQqpuOzBgJQSF2ha0TdWlbgv3i5Bk","5698","2208","9","NULL","6","284","732","1073","2018-11","42516","5557","2018-11","42516","5557","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","4","4","5","5","4","4","2","2","NULL","2","NULL","10","10","5","9","5","NULL","5","NULL","8","NULL","NULL","NULL","NULL","6","6","5","2","1","3","3","2","NULL","1","30","30","NULL","5","11","156","9","2502","1","1025799024","1072276342","5698","5","33838","3115","19992","5234","233","120161","13996","6880694","22","3951","629","732","195699282","167","2737","1","6","1","276","2208","1","1","1050"
