"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","townHallWeaponLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","wallWrecker","battleBlimp","electroDragon","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"9158","5971","#9JRP0QULP","N.o.v.a 3.0","166","278","0","#YR2P8L9R","Anti Terrorisme","kU8e5WAp4Zba1L7jU4CsZwG7qDhRAD_u1aJb-rigva8","5995","3374","10","NULL","8","1539","520","4105","2018-07","4828","5920","2018-11","9158","5971","NULL","NULL","NULL","NULL","NULL","NULL","6","7","7","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","15","13","14","13","12","NULL","12","5","14","12","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","3","40","40","NULL","10","11","153","10","3762","1","2000000000","2000000000","5995","6","54426","5503","27664","8187","439","168351","18306","14124044","22","6395","1730","520","289171386","394","2875","1","8","1","1758","3374","2","1","12270"
"9707","5956","#2Q0Y0YJP9","※ Jąh Łovē ※","167","311","0","NULL","NULL","NULL","6010","4362","10","NULL","8","1707","838","5075","2018-09","6013","5972","2018-11","9707","5956","2017-11","104535","4200","2018-11","401247","4152","7","7","7","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","16","16","16","16","16","4","16","16","14","14","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","NULL","40","40","NULL","19","11","NULL","10","4823","1","1382874689","1378949920","6010","6","39876","3515","15770","4670","699","148256","11955","7953154","22","6082","1972","838","306478900","710","3795","1","8","1","2274","4362","2","1","53910"
"12069","5904","#2JQJQLY90","S.Z.K. Krico™","188","328","2","#L0PVLC2Y","KricoCrew","vVaIdwIsRqEywyLpHQr7R5GnsYsgykEwAfjAhjFPbWI","6041","5064","10","NULL","8","3398","856","4239","2018-11","12069","5904","2018-11","12069","5904","2018-02","4228","5064","2018-11","114140","4467","7","7","6","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","1","16","16","16","16","16","16","16","16","16","16","NULL","NULL","NULL","7","7","5","3","4","3","4","4","2","2","40","40","NULL","24","11","215","10","3809","1","2000000000","2000000000","6041","6","46797","4706","29924","8130","353","317982","20933","14354488","22","6939","1624","856","187910313","359","4625","1","8","1","3407","5064","0","1","46035"
"12312","5898","#RYC8GP8","CraZe","188","233","0","#UCPQYLYJ","Great Northern","V9sdlbwA810p3b0hUrucW4I8kdnzGqLTwbELx1KBMgQ","5898","3226","10","NULL","8","680","681","3045","2018-11","12312","5898","2018-11","12312","5898","NULL","NULL","NULL","NULL","NULL","NULL","7","7","7","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","8","8","14","9","6","NULL","10","14","13","2","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","3","28","38","NULL","5","11","150","10","2181","1","878665659","924208900","5898","6","54545","3382","15036","4586","599","361391","11370","6723777","22","4736","1109","681","302891302","282","9347","1","8","1","964","3226","1","1","36410"
"15508","5836","#YV29J8JY","⚡️⚡️Screzy⚡️⚡️","150","254","3","#C0PRQGLQ","PANAME esport","8ltMapTWicj_CJ3vtPlc3Q9wJZOsHS20-IWrcO17668","5876","2663","10","NULL","7","424","662","2128","2018-11","15508","5836","2018-11","15508","5836","NULL","NULL","NULL","NULL","NULL","NULL","7","7","7","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","11","11","10","12","10","NULL","9","2","12","9","NULL","NULL","NULL","7","7","5","3","5","4","3","2","3","1","32","40","NULL","5","11","150","10","5368","1","1068386791","1075236796","5876","6","31169","2466","14769","3899","1258","101009","8054","6330278","22","3510","1244","662","276972186","353","2688","1","7","1","391","2663","2","1","11350"
"17049","5811","#8GURC2PU2","Le chat","166","278","0","#Q9VLLL9G","心幽雅阁","LN71npDEMEVTH07sYUqv6bWvWazp19LF6ai2Mso_q-4","5834","3215","10","NULL","8","822","1106","1068","2018-11","17049","5811","2018-11","17049","5811","NULL","NULL","NULL","NULL","NULL","NULL","7","7","7","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","14","12","13","12","12","NULL","6","NULL","14","11","NULL","NULL","NULL","7","7","5","3","5","4","3","4","3","1","40","40","NULL","10","11","150","10","3579","1","1845149370","1920591037","5834","6","48999","4615","22635","6267","555","171039","16330","11756503","22","6532","1882","1106","263806507","312","3465","1","8","1","909","3215","2","1","26255"
"18110","5795","#88900VYYJ","Drii","168","279","1","#L0PVLC2Y","KricoCrew","vVaIdwIsRqEywyLpHQr7R5GnsYsgykEwAfjAhjFPbWI","5918","4037","10","NULL","8","2032","669","3660","2018-11","18110","5795","2018-11","18110","5795","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","7","6","6","7","4","5","4","6","6","5","5","2","3","2","4","1","12","12","15","11","4","3","2","15","14","14","NULL","NULL","NULL","7","7","5","3","5","4","4","4","1","1","40","40","NULL","25","11","153","10","5132","1","1972848761","2000000000","5918","6","48346","4748","28574","7968","364","176445","20810","12274385","22","5957","1218","669","226256320","447","2738","1","8","1","2605","4037","2","1","67200"
"18238","5793","#99LRJQJ09","Trool","147","182","0","#89CLQC00","Cavok Brasil","fV24bkTqX1YPcupLzp5pjxKEzcN815xZ9E9TQG0SxF8","5827","2673","10","NULL","6","505","265","1622","2018-11","18238","5793","2018-11","18238","5793","NULL","NULL","NULL","NULL","NULL","NULL","5","6","6","7","5","6","6","4","5","4","5","5","5","5","2","2","2","4","1","11","10","10","12","11","NULL","12","NULL","10","8","NULL","NULL","NULL","7","7","5","2","1","3","3","2","1","1","28","29","NULL","6","11","176","10","1768","1","602562526","616742108","5827","6","17526","1837","11168","3049","291","129320","6956","3656529","22","1958","564","265","187880371","275","3637","1","6","1","640","2673","2","1","29945"
"18264","5792","#QCVL0J2","oneeightseven","212","252","0","#U2CGRRYR","USA ALL-STARS","fG8lVXQps8kelphi71OJGZcK53x_O9ibpAcw0XylqS4","6067","4326","10","NULL","8","2219","810","14129","2017-12","3729","6021","2018-11","18264","5792","2018-04","278018","4268","2018-11","481952","4098","7","7","7","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","16","14","16","16","10","14","16","16","14","16","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","3","40","40","NULL","16","11","171","10","6567","1","2000000000","2000000000","6067","6","148567","12162","52928","16319","1799","461327","39611","27104956","22","20292","8016","810","347639427","3093","9506","1","8","1","2661","4326","3","1","6930"
"18687","5786","#92GJ9L9L","⚡⚡GI҉O2҉⚡⚡","143","200","1","#99RGLQVR","Infernus","8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y","5823","2041","10","NULL","5","521","1062","1310","2018-11","18687","5786","2018-11","18687","5786","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","5","6","6","4","5","5","5","6","5","5","2","2","2","4","NULL","10","9","9","9","10","NULL","1","NULL","9","NULL","NULL","NULL","NULL","7","7","5","2","1","3","3","2","1","1","21","36","NULL","2","11","165","10","3681","1","574335747","586526836","5823","6","9935","1354","8608","2331","456","142490","6030","3140768","22","1201","374","1062","280007093","96","4286","1","5","1","681","2041","0","1","41455"
