"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","townHallWeaponLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","wallWrecker","battleBlimp","electroDragon","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"134539","5197","#LYPP0V22","NU-MA","206","176","1","#2VUQ8LJV","Elite Muffins™","kjWcCTqQwUaIUP6Tw0mSFnryKRHAwsRxsmT3BOFeQOI","5232","5165","8","NULL","8","1848","3069","463","2018-09","120772","5163","2018-10","134539","5197","2018-02","4606","5049","2018-10","13156","4955","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","16","16","16","16","16","16","16","16","16","1","NULL","NULL","NULL","3","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","25","11","150","8","6120","1","661750547","752396804","5232","4","50750","6825","11988","7538","932","667217","8404","4037445","22","1876","312","3069","338295641","65","3953","1","8","1","2641","5165","0","1","3870"
"170089","5108","#9Q8CP0V9L",".BLACK TH8.","120","223","1","NULL","NULL","NULL","5198","2546","8","NULL","6","564","549","327","2018-05","146885","5131","2018-10","170089","5108","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","12","12","11","12","6","NULL","5","NULL","12","12","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","10","11","150","8","3575","1","749074647","811528400","5198","4","55897","4550","13483","4981","80","61471","8346","5543549","22","2674","726","549","54613495","281","1576","1","6","1","574","2546","2","1","3125"
"182934","5079","#890UU0RCL","美丽唯爱.灵 .","149","121","0","#8RYVQ9RG","LOL. S5. 万岁","TCVeO_uMyQyX3OC7JSAYWRBkpkRe2j1bUgsiHms8y2c","5478","4000","8","NULL","8","792","1110","1450","2018-05","66440","5418","2018-10","182934","5079","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","14","13","12","12","13","NULL","14","5","12","10","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","10","11","150","8","3875","1","796314947","796657999","5478","4","36188","3501","12592","4447","272","208916","5903","4342595","22","1996","616","1110","116468490","219","5937","1","8","1","1048","4000","2","1","9225"
"183888","5077","#P8JY0LR2C","RNA ⚔{Th8}","95","185","2","#9CYPQRLR","CLASS TRAITOR V","LP2BVgoVdSRw0Z20bNK5rVvKDqH14JT6DrQeipf4ge4","5158","1926","8","NULL","5","152","424","77","2018-10","183888","5077","2018-10","183888","5077","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","9","10","9","5","4","NULL","3","NULL","8","NULL","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","1","11","NULL","8","2043","1","372598014","417668182","5158","4","18766","2384","8294","2925","141","4590","4564","2273997","22","915","224","424","92264441","45","87","1","5","1","124","1926","1","1","2445"
"194366","5055","#8V99LYGP2","#snakehead","92","137","0","#JQ9Y2CPV","FACÇÃO EIGHT™","JVqVoGLkFwRRxN-Sl3qXivtDHshhhYbxizTAFh9L83A","5064","1414","8","NULL","4","69","326","55","2018-10","194366","5055","2018-10","194366","5055","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","8","8","4","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","NULL","11","NULL","8","1289","1","190738419","199697705","5064","4","9206","911","2797","1054","206","20083","1869","1065902","22","465","76","326","77504782","25","796","1","4","1","99","1414","1","1","7525"
"200094","5042","#90R2QV08C","PlayForVictory","92","192","1","#Y2UCPL0","A.O.S.","FoeBKgf5I2Ow7tbVKhmqr9BDn1y0i-jXkQ8rMZaUr7g","5106","3023","8","NULL","7","360","423","42","2018-10","200094","5042","2018-10","200094","5042","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","12","12","14","8","8","NULL","1","NULL","12","1","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","8","11","NULL","8","792","1","510378353","533529321","5106","4","49947","3241","8554","3445","129","12772","5140","4344024","22","2396","646","423","195627718","174","171","1","7","1","351","3023","0","1","13500"
"200185","5042","#YYPJVRJ22","疯一样的男人","70","210","2","#LPY90GRC","匆匆那年","KQenaW3qXR_ZdaOJUNAg-Ylhllyoe1aWF1YiE2fCOwA","5163","1084","8","NULL","3","51","26","42","2018-10","200185","5042","2018-10","200185","5042","NULL","NULL","NULL","NULL","NULL","NULL","5","5","2","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","6","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","5","5","NULL","NULL","1","2","NULL","NULL","NULL","10","NULL","NULL","NULL","11","NULL","8","1073","1","318875606","348624275","5163","4","29478","1968","5411","2057","17","984","3091","2436514","22","1423","385","26","90094668","59","62","1","3","1","149","1084","0","0","12255"
"208316","5026","#9YVRLR9JV","New Generation","130","147","1","#RYRP0JRV","Destiny şkull ✌","8EQBE6OT2lO2k7IAB6UnIZFU_duNd9iJG0kSvlZHi4Y","5203","4251","8","NULL","8","1904","535","179","2018-06","147378","5013","2018-10","208316","5026","2018-10","336353","4225","2018-10","336353","4225","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","14","14","14","16","16","13","16","14","14","14","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","20","11","NULL","8","2171","1","504161978","517866015","5203","4","31144","3088","7032","3256","35","79723","4497","3715815","22","1620","656","535","100252900","259","4114","1","8","1","2719","4251","2","1","15595"
"217906","5007","#9GL20U089","M`URAT Ş`AHAN","145","115","0","#C2YV2QYY","___ELBİSTAN----","CA5Wbb0u_guAvM00fbdx8qUclAK9Z-Wq09UZu6VEaIU","5238","3900","8","NULL","7","1721","1065","260","2018-09","101654","5223","2018-10","217906","5007","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","12","12","12","12","12","NULL","12","1","12","12","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","10","11","162","8","3773","1","874843558","904873169","5238","4","51086","4121","13384","4772","423","193862","8963","4944169","22","2118","364","1065","100199875","93","4610","1","7","1","1539","3900","2","1","14345"
"226363","4989","#Y9VL22RQP","⚡️JOHN WICK⚡️","120","208","2","#VLPQQ0P9","I DON'T CARE !!","SYVA93oc2KmokhNnoNXDOMYkVL-58BrKnkEYEVkp6L8","5020","3202","8","NULL","8","1205","282","0","2018-08","208556","4936","2018-10","226363","4989","NULL","NULL","NULL","NULL","NULL","NULL","5","5","5","5","5","5","5","3","3","3","4","4","2","2","NULL","NULL","NULL","NULL","NULL","15","14","10","9","9","4","2","1","8","14","NULL","NULL","NULL","5","5","5","NULL","NULL","2","2","NULL","NULL","NULL","10","NULL","NULL","10","11","153","8","1714","1","379854004","396606727","5020","4","21037","2164","6775","2386","34","82114","3430","2472517","22","1052","375","282","106511434","88","3211","1","8","1","1178","3202","2","1","43270"
