"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL","bestTrophies","bestVersusTrophies","townHallLevel","townHallWeaponLevel","builderHallLevel","versusBattleWins","warStars","legendTrophies","bestSeasonID","bestSeasonRank","bestSeasonTrophies","previousSeasonID","previousSeasonRank","previousSeasonTrophies","bestVersusSeasonID","bestVersusSeasonRank","bestVersusSeasonTrophies","previousVersusSeasonID","previousVersusSeasonRank","previousVersusSeasonTrophies","barbarian","archer","goblin","giant","wallBreaker","balloon","wizard","healer","dragon","pekka","minion","hogRider","valkyrie","golem","witch","lavaHound","bowler","babyDragonDay","miner","ragedBarbarian","sneakyArcher","betaMinion","boxerGiant","bomber","superPekka","cannonCart","dropShip","babyDragonNight","nightWitch","wallWrecker","battleBlimp","electroDragon","lightningSpell","healingSpell","rageSpell","jumpSpell","freezeSpell","poisonSpell","earthquakeSpell","hasteSpell","cloneSpell","skeletonSpell","barbarianKing","archerQueen","grandWarden","battleMachine","biggerCoffers","getThoseGoblins","biggerAndBetter","niceAndTidy","releaseTheBeasts","goldGrab","elixirEscapade","sweetVictory","empireBuilder","wallBuster","humiliator","unionBuster","conqueror","unbreakable","friendInNeed","mortarMauler","heroicHeist","leagueAllStar","xbowExterminator","firefighter","warHero","treasurer","antiArtillery","sharingIsCaring","keepYourVillageSafe","masterEngineering","nextGenerationModel","unBuildIt","championBuilder","highGear","hiddenTreasures","gamesChampion"
"8783","5920","#9JRP0QULP","N.o.v.a 3.0","163","289","0","#YR2P8L9R","Anti Terrorisme","80Z8kgpKFcpmTpUeFppKiYl9bqDQAJse2ebXkePTKOs","5937","3374","10","NULL","8","1532","520","3134","2018-07","4828","5920","2018-10","8783","5920","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","6","6","6","4","5","6","6","6","5","5","2","3","2","4","3","15","13","14","13","12","NULL","12","5","14","12","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","3","40","40","NULL","10","11","150","10","3600","1","2000000000","2000000000","5937","6","53593","5273","26639","7909","439","164608","17755","13716547","22","6186","1572","520","265251454","361","2770","1","8","1","1750","3374","2","1","11940"
"9371","5906","#2Q0Y0YJP9","※ Jąh Łovē ※","163","327","1","#8JR2YYPL","wazacrew2","ow_omnRsZ6htNBECmdyhKsYgdP62l8iMoRycooqDcz0","5972","4362","10","NULL","8","1669","838","4119","2018-09","6013","5972","2018-10","9371","5906","2017-11","104535","4200","2018-10","265803","4292","7","7","7","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","16","16","16","16","16","1","16","16","14","14","NULL","NULL","NULL","7","7","5","3","5","4","3","4","3","NULL","40","40","NULL","17","11","NULL","10","4674","1","1314923991","1307600719","5972","6","36723","3265","14610","4358","699","136913","11277","7324253","22","5634","1683","838","298204900","602","3454","1","8","1","2213","4362","1","1","49630"
"12383","5841","#9GRQVU0YL","Wampireash","179","381","1","#9P8P09P8","Shadow ¥ Legend","qdsDu69YuMUoxOV7zme6ewRVJFkePcTD-DSlf8H-ekw","5930","4345","10","NULL","8","2709","780","2373","2018-07","5354","5900","2018-10","12383","5841","2018-08","275083","4246","2018-10","456357","4129","7","7","6","7","6","6","6","4","5","5","6","6","5","5","2","3","2","4","3","16","12","16","13","16","1","16","16","14","14","NULL","NULL","NULL","7","7","5","3","5","4","4","4","2","2","40","40","NULL","25","11","150","10","4345","1","1497025039","1562497269","5930","6","42116","3958","24547","6656","170","257333","16811","10929629","22","6395","1938","780","299859503","492","6132","1","8","1","3119","4345","2","1","52470"
"13330","5824","#8V8LRCGYL","BONZ 99","160","366","0","#L0RPQVJ","Special ID","C7XKVZnPspVnVM_wtUWvqdNEj8ot-WoADUWeu6PL_z0","5867","2131","10","NULL","5","257","822","1098","2018-10","13330","5824","2018-10","13330","5824","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","9","8","10","7","2","NULL","1","NULL","4","NULL","NULL","NULL","NULL","6","7","5","2","5","4","3","2","2","1","40","40","NULL","5","11","NULL","10","3724","1","1490599811","1612522114","5867","6","30653","4127","25273","6840","328","194134","18587","9674076","22","7667","1748","822","288806334","523","4399","1","5","1","242","2131","1","1","35260"
"13915","5815","#2GRQ0P28C","LtNull","156","260","0","#YR2P8L9R","Anti Terrorisme","80Z8kgpKFcpmTpUeFppKiYl9bqDQAJse2ebXkePTKOs","5886","3288","10","NULL","7","1049","399","3714","2018-08","11107","5755","2018-10","13915","5815","NULL","NULL","NULL","NULL","NULL","NULL","7","6","7","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","1","14","12","11","12","14","NULL","14","2","12","14","NULL","NULL","NULL","7","7","5","3","5","4","4","3","1","1","36","40","NULL","20","11","150","10","4513","1","1413857424","1457852547","5886","6","44312","5370","21628","7208","608","106663","12756","9103689","22","5031","1361","399","218097979","420","1881","1","7","1","1261","3288","2","1","36600"
"14035","5813","#P802G989Y","Beowulf","169","259","0","#299009P",""InvictusTeam"","NWLu1KNpLOp7H1tfrRU7tMGG_1iMwkZI6Wu-2mGiOi8","5852","4280","10","NULL","8","3192","353","4714","2018-07","7117","5842","2018-10","14035","5813","2018-03","326851","4163","2018-10","444834","4139","7","7","3","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","2","16","13","16","16","14","13","16","16","15","14","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","1","40","40","NULL","16","11","150","10","2560","1","1459155189","1529310700","5852","6","34178","3845","21879","6043","121","170942","15368","11178784","22","6750","2719","353","217126787","523","6184","1","8","1","4007","4280","3","1","44950"
"17925","5759","#99P8PLYUR","low ¥ legend","217","275","0","NULL","NULL","NULL","5815","2857","10","NULL","7","1809","475","4948","2018-07","15047","5698","2018-10","17925","5759","NULL","NULL","NULL","NULL","NULL","NULL","7","7","7","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","12","14","13","12","12","NULL","12","4","14","14","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","3","40","40","NULL","14","11","150","10","2026","1","2000000000","2000000000","5815","6","76944","6828","45822","12651","218","625505","33755","18365196","22","13126","4099","475","161475432","859","22164","1","7","1","2006","2857","2","1","41725"
"20152","5732","#2VVCY8QJU","Lucas Ribeiro","152","236","0","#PQQPY0QY","Aogiri","mFB6xc5lPvro-TR1fZxkhfNXVqsmnGFVW53uYwrNyd0","5757","2544","10","NULL","6","666","545","732","2018-10","20152","5732","2018-10","20152","5732","NULL","NULL","NULL","NULL","NULL","NULL","7","7","6","7","6","6","7","4","5","4","5","5","5","5","2","3","2","4","1","10","10","10","12","10","NULL","12","NULL","11","12","NULL","NULL","NULL","7","7","5","2","2","4","4","4","1","1","32","40","NULL","7","11","NULL","10","4453","1","1098508665","1143898104","5757","6","37502","3669","15777","4429","799","137284","11644","7547037","22","4093","890","545","230302134","97","3474","1","6","1","665","2544","2","1","36425"
"20283","5731","#9PC0YVUVU","❤️Sanya❤️","152","255","0","#G0R0GYJR","MMR","hR8Qhjwkms2ox9DtaGAmTpvDYkgBqojZM3wllqInyE8","5832","2336","10","NULL","5","578","933","2354","2018-10","20283","5731","2018-10","20283","5731","NULL","NULL","NULL","NULL","NULL","NULL","6","7","6","6","6","6","6","4","5","6","5","6","4","5","2","3","2","4","1","10","10","10","10","10","NULL","10","NULL","10","NULL","NULL","NULL","NULL","7","7","5","2","5","4","3","2","1","1","40","40","NULL","5","11","NULL","10","2264","1","1203346546","1270551355","5832","6","36530","3669","18537","5036","62","147929","12920","8187672","22","4318","1322","933","303579599","210","4898","1","5","1","704","2336","1","1","41420"
"20447","5729","#9LVULCLJ","Megan","160","502","1","#9YL08J2J","Mad RaM","lT_9H8RYghuiuaxSdF4jigMFcn4GWXUAKb1aX4Eskww","5859","2433","10","NULL","6","461","1359","729","2018-10","20447","5729","2018-10","20447","5729","NULL","NULL","NULL","NULL","NULL","NULL","7","7","7","7","5","6","7","4","5","6","6","6","5","5","2","3","2","4","3","12","11","12","9","8","NULL","4","NULL","12","NULL","NULL","NULL","NULL","6","7","5","3","5","4","4","4","3","2","40","40","NULL","5","11","150","10","5300","1","1205521844","1239611755","5859","6","25295","3670","13337","4580","928","163265","9533","9918671","22","5284","1831","1359","335533883","385","4953","1","6","1","447","2433","2","1","25925"
"22836","5705","#8CCYGRQ88","roman","178","401","0","#2YRRYPG0","Ciamis Kingdom","CtEckcJiTeT13Ktdocgw8JAGsF1fvj_dw9Zkc2cWag0","5988","3586","10","NULL","8","1783","967","1335","2018-10","22836","5705","2018-10","22836","5705","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","6","6","6","6","4","5","4","6","6","5","5","2","3","2","4","3","14","14","15","14","13","3","12","12","14","13","NULL","NULL","NULL","7","6","5","2","2","4","4","3","1","1","34","35","NULL","13","11","162","10","4120","1","1857778924","2000000000","5988","6","83929","7592","34642","10110","216","230857","24241","13457436","22","8235","1949","967","249565129","370","5778","1","8","1","1642","3586","3","1","25945"
"23122","5702","#2Q0QC9GCP","angel222","161","221","0","#82CYUUYR","noobs legendary","Rt-XKPJE0MNcfDj4uhBiDE1bM8a_8U8V3QvpLEBI_ww","5734","2715","10","NULL","6","1101","1034","1479","2018-10","23122","5702","2018-10","23122","5702","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","7","6","6","7","4","5","6","5","6","5","5","2","3","2","4","3","12","12","12","12","10","NULL","11","NULL","12","12","NULL","NULL","NULL","7","7","5","2","4","3","4","2","1","1","40","38","NULL","9","11","150","10","4402","1","1745563080","1847959595","5734","6","53535","5035","27161","7582","580","162036","18954","10198169","22","5597","1215","1034","264663063","322","3107","1","6","1","1163","2715","2","1","26195"
"23215","5701","#P22YUQLVC","wilfredo","141","332","0","#8GLLUY9Y","El salvador","fvoF2pJTtXkG7nzx6jWYwQPbK_KyECrRV8z7Mt2KRT0","5733","3970","10","NULL","8","1616","500","701","2018-10","23215","5701","2018-10","23215","5701","NULL","NULL","NULL","NULL","NULL","NULL","7","6","6","7","5","6","7","4","5","6","6","6","5","5","2","3","2","4","1","14","14","14","14","14","NULL","14","1","12","14","NULL","NULL","NULL","6","6","5","2","4","3","4","3","1","2","31","40","NULL","20","11","NULL","10","3082","1","831895989","898639865","5733","6","21106","2368","11657","3359","143","43541","8854","6441821","22","4277","1405","500","258014837","236","1046","1","8","1","1691","3970","2","1","37840"
"23920","5694","#JQL28VCR","haunt u","153","386","2","#2VLC2CQP","达达主义","w-s_7qXZ4oqDt7XI1IE-n00hfUjU_Rf2637oidCywjk","5725","2959","10","NULL","7","1121","556","694","2018-10","23920","5694","2018-10","23920","5694","NULL","NULL","NULL","NULL","NULL","NULL","7","7","7","7","5","6","7","4","4","4","6","6","5","5","2","3","2","4","2","14","12","10","12","12","NULL","12","3","9","14","NULL","NULL","NULL","6","7","5","3","1","4","3","4","1","1","40","40","NULL","20","11","171","10","3260","1","1427425861","1433557662","5725","6","41016","3580","14336","4630","578","123438","10755","10154069","22","4447","1391","556","182387266","270","2974","1","7","1","1109","2959","2","1","53640"
"24815","5685","#2P8VLCLJR","NL~花雨 為誰落?","168","401","3","#P0PQL9U8","沧溟","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg","5865","2314","10","NULL","6","216","556","4067","2018-03","16714","5733","2018-10","24815","5685","NULL","NULL","NULL","NULL","NULL","NULL","7","7","7","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","10","10","9","10","10","NULL","8","NULL","8","2","NULL","NULL","NULL","7","7","5","3","5","4","4","4","3","3","27","27","NULL","5","11","150","10","4147","1","1090650352","1112408555","5865","6","30498","3231","17807","5558","937","204703","10705","5974398","22","2989","992","556","252573919","288","4474","1","6","1","209","2314","1","1","2215"
"26028","5674","#P8UJPUUL8","dekitaysh","140","342","0","#8Y88920U","ENYGMA","0p2mH4qsvF9qHUZ3yFmPFQtlV0XS1v_VKTpFRf3mNdM","5763","4329","10","NULL","8","1084","882","674","2018-10","26028","5674","2018-10","26028","5674","2017-11","113625","4177","NULL","NULL","NULL","7","7","6","7","5","6","7","4","5","6","5","6","5","4","2","3","2","4","3","14","16","16","12","13","1","2","15","14","12","NULL","NULL","NULL","7","7","5","3","4","4","2","4","1","NULL","31","40","NULL","16","11","150","10","2201","1","1293331574","1318212750","5763","6","11652","2170","11956","2974","304","23778","8344","6542892","22","3550","1227","882","222341694","169","530","1","8","1","1097","4329","2","1","33110"
"28045","5656","#9J0999U2","౸౸౸౸౸౸౸౸౸౸","181","225","2","#299009P",""InvictusTeam"","NWLu1KNpLOp7H1tfrRU7tMGG_1iMwkZI6Wu-2mGiOi8","5672","2415","10","NULL","6","642","1605","1751","2018-07","23180","5605","2018-10","28045","5656","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","7","6","6","7","4","5","6","5","6","5","5","2","3","2","4","1","10","10","10","11","10","NULL","11","NULL","10","9","NULL","NULL","NULL","7","7","5","3","4","3","3","3","1","1","38","40","NULL","5","11","165","10","3951","1","1267911870","1267239072","5672","6","39215","3256","18763","4990","316","343007","13428","8247569","22","5061","896","1605","329945496","241","8126","1","6","1","886","2415","1","1","36185"
"28316","5654","#9UY2QRYPY","The one","166","299","1","#88Q2CPGU","Jkt Bergaye 2","FZwJEOBTPtByJDhxEE33iSBK8O88DOyKiiF7Ehg1i_U","5671","2029","10","NULL","5","160","553","1611","2018-08","24782","5581","2018-10","28316","5654","NULL","NULL","NULL","NULL","NULL","NULL","7","7","5","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","2","9","7","6","4","5","NULL","1","NULL","10","NULL","NULL","NULL","NULL","7","7","5","2","5","4","4","4","1","1","25","26","NULL","4","11","150","10","2589","1","909769186","1044133312","5671","6","27940","2687","15133","4359","886","243258","9460","6372692","22","3245","818","553","266019046","196","4912","1","5","1","145","2029","1","1","32630"
"29581","5643","#88900VYYJ","Drii","166","232","1","#L0PVLC2Y","KricoCrew","vVaIdwIsRqEywyLpHQr7R5GnsYsgykEwAfjAhjFPbWI","5668","4037","10","NULL","8","1971","669","2865","2018-09","25589","5635","2018-10","29581","5643","NULL","NULL","NULL","NULL","NULL","NULL","6","6","6","7","6","6","7","4","5","4","6","6","5","5","2","3","2","4","1","12","12","15","11","4","1","2","15","14","14","NULL","NULL","NULL","7","7","5","3","2","3","4","4","1","1","40","40","NULL","24","11","150","10","5005","1","1918757515","1966979883","5668","6","45943","4657","27537","7688","363","175360","20184","11814116","22","5693","1034","669","225752320","343","2697","1","8","1","2506","4037","2","1","58225"
"30625","5635","#20RYY0G9P","Emrahツ","140","166","2","#8U9V2V9R","#ASİLER#","Vs_blw9UbuT3GwqOLI5uik_YhP_xlYhoxdAJFwuksZc","5705","3021","10","NULL","7","793","492","1162","2018-10","30625","5635","2018-10","30625","5635","NULL","NULL","NULL","NULL","NULL","NULL","7","7","6","7","6","6","7","4","5","6","5","6","5","5","2","3","2","4","3","14","12","13","12","10","NULL","11","NULL","10","2","NULL","NULL","NULL","7","7","5","2","2","3","4","2","1","1","30","32","NULL","5","11","200","10","2951","1","1073006826","1037347226","5705","6","25327","3161","11516","4023","1311","69250","7917","4692738","22","2404","670","492","233364416","108","1007","1","7","1","949","3021","1","1","18570"
"30650","5635","#8P0JGY0PQ","hegix777","164","210","1","#Q8GJQPCR","HorasMejuahjuah","hQ9ncqzPTj0T4IYwdglMKWeF4lvL3BUlIuE-5KAUyqM","5663","3161","10","NULL","7","957","770","3375","2018-08","17683","5655","2018-10","30650","5635","NULL","NULL","NULL","NULL","NULL","NULL","7","7","6","7","6","6","7","4","5","6","5","6","5","5","2","3","2","4","3","14","14","12","14","14","NULL","14","NULL","12","14","NULL","NULL","NULL","7","7","5","3","5","3","3","2","2","1","35","40","NULL","13","11","NULL","10","2982","1","1604019117","1625833176","5663","6","100359","4419","19010","5214","469","183944","13849","11542489","22","6605","1649","770","296824066","582","3390","1","7","1","1198","3161","2","1","40875"
"31317","5630","#8G0P92R0V","Yessica","210","171","2","#8GGGRYG2","DarkWarriors","NuX2Jq6C3mKytjmyASOCjNMx0iU5dpSfjy3IP4XPdJc","5687","3191","10","NULL","7","2119","702","3432","2018-07","19326","5644","2018-10","31317","5630","NULL","NULL","NULL","NULL","NULL","NULL","7","7","7","7","6","6","7","4","5","6","6","6","5","5","2","3","2","4","3","14","14","14","14","14","NULL","14","14","14","14","NULL","NULL","NULL","7","7","5","3","5","4","4","4","2","3","40","40","NULL","20","11","165","10","3289","1","1116003165","1205685131","5687","6","57449","4199","21018","6318","49","561993","13314","8846575","22","4274","1134","702","446988628","289","14071","1","7","1","2789","3191","2","1","68115"
